match_id,match_date,kick_off,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_id,competition_country_name,competition_name,competition,season_id,season,home_team_id,home_team,home_team_gender,home_team_group,home_team_country_id,home_team_country_name,away_team_id,away_team,away_team_gender,away_team_group,away_team_country_id,away_team_country_name,competition_stage_id,competition_stage,stadium_id,stadium,stadium_country_id,stadium_country_name,referee_id,referee,referee_country_id,referee_country_name,home_managers,away_managers,home_manager_id,home_manager_name,home_manager_nickname,home_manager_dob,home_manager_country_id,home_manager_country_name,away_manager_id,away_manager_name,away_manager_nickname,away_manager_dob,away_manager_country_id,away_manager_country_name,data_version,shot_fidelity_version,xy_fidelity_version
3920403,2024-01-20,17:00:00.000,2,3,available,unscheduled,2026-05-02T05:59:58.227373,,2,1267,Africa,African Cup of Nations,Africa - African Cup of Nations,107,2023,4932,Mauritania,male,,144,Mauritania,4901,Angola,male,,7,Angola,10,Group Stage,1001316,Stade de Bouaké,55,Côte d'Ivoire,2688,Mohamed Maarouf Eid Mansour,66,Egypt,Amir Abdou,Pedro Valdemar Soares Gonçalves,1000971,Amir Abdou,,1972-07-08,50,Comoros,1000419,Pedro Valdemar Soares Gonçalves,Pedro Gonçalves,1976-02-07,183,Portugal,1.1.0,2,2
3920394,2024-01-17,17:00:00.000,3,0,available,unscheduled,2026-05-02T05:54:46.548766,,1,1267,Africa,African Cup of Nations,Africa - African Cup of Nations,107,2023,788,Morocco,male,,154,Morocco,4953,Tanzania,male,,225,"Tanzania, United Republic of",10,Group Stage,1001497,Stade Laurent Pokou,55,Côte d'Ivoire,1008353,Alhadi Allaou Mahamat,44,Chad,Walid Regragui,Adel Amrouche,1000518,Walid Regragui,,1975-09-23,154,Morocco,1001640,Adel Amrouche,,1968-03-07,22,Belgium,1.1.0,2,2
3920402,2024-01-20,14:00:00.000,2,2,available,unscheduled,2026-05-02T05:52:49.738082,,2,1267,Africa,African Cup of Nations,Africa - African Cup of Nations,107,2023,4898,Algeria,male,,4,Algeria,4921,Burkina Faso,male,,36,Burkina Faso,10,Group Stage,1001316,Stade de Bouaké,55,Côte d'Ivoire,2323,Abongile Tom,211,South Africa,Djamel Belmadi,Hubert Velud,1000440,Djamel Belmadi,,1976-03-25,4,Algeria,1000428,Hubert Velud,,1959-06-08,78,France,1.1.0,2,2
3920414,2024-01-23,20:00:00.000,2,0,available,unscheduled,2026-05-02T05:59:28.199337,,3,1267,Africa,African Cup of Nations,Africa - African Cup of Nations,107,2023,4901,Angola,male,,7,Angola,4921,Burkina Faso,male,,36,Burkina Faso,10,Group Stage,1000822,Stade Charles Konan Banny de Yamoussoukro,55,Côte d'Ivoire,2591,Jean Jacques Ndala Ngambo,52,"Congo, (Kinshasa)",Pedro Valdemar Soares Gonçalves,Hubert Velud,1000419,Pedro Valdemar Soares Gonçalves,Pedro Gonçalves,1976-02-07,183,Portugal,1000428,Hubert Velud,,1959-06-08,78,France,1.1.0,2,2
3920405,2024-01-21,14:00:00.000,1,1,available,unscheduled,2026-05-02T05:55:21.424403,,2,1267,Africa,African Cup of Nations,Africa - African Cup of Nations,107,2023,788,Morocco,male,,154,Morocco,4881,Congo DR,male,,52,"Congo, (Kinshasa)",10,Group Stage,1001497,Stade Laurent Pokou,55,Côte d'Ivoire,1003468,Peter Waweru Kamaku,118,Kenya,Walid Regragui,Sébastien Desabre,1000518,Walid Regragui,,1975-09-23,154,Morocco,5011,Sébastien Desabre,,1976-08-02,78,France,1.1.0,2,2
3920416,2024-01-24,17:00:00.000,0,0,available,unscheduled,2026-05-02T05:54:42.238963,,3,1267,Africa,African Cup of Nations,Africa - African Cup of Nations,107,2023,4976,South Africa,male,,211,South Africa,777,Tunisia,male,,232,Tunisia,10,Group Stage,1001609,Stade Amadou Gon Coulibaly,55,Côte d'Ivoire,1003564,Issa Sy,202,Senegal,Hugo Henri Broos,Jalel Kadri,1801,Hugo Henri Broos,,1952-04-10,22,Belgium,1001303,Jalel Kadri,,,232,Tunisia,1.1.0,2,2
3922658,2024-02-03,20:00:00.000,0,0,available,unscheduled,2026-05-02T02:04:15.076948,,5,1267,Africa,African Cup of Nations,Africa - African Cup of Nations,107,2023,4924,Cape Verde Islands,male,,41,Cape Verde,4976,South Africa,male,,211,South Africa,11,Quarter-finals,1000822,Stade Charles Konan Banny de Yamoussoukro,55,Côte d'Ivoire,2591,Jean Jacques Ndala Ngambo,52,"Congo, (Kinshasa)",Pedro Leitão Brito,Hugo Henri Broos,1000417,Pedro Leitão Brito,Bubista,1970-01-06,41,Cape Verde,1801,Hugo Henri Broos,,1952-04-10,22,Belgium,1.1.0,2,2
3920386,2024-01-14,14:00:00.000,1,1,available,unscheduled,2026-05-02T05:47:21.958847,,1,1267,Africa,African Cup of Nations,Africa - African Cup of Nations,107,2023,775,Nigeria,male,,166,Nigeria,4992,Equatorial Guinea,male,,69,Equatorial Guinea,10,Group Stage,117860,Stade Olympique Alassane Ouattara,55,Côte d'Ivoire,2323,Abongile Tom,211,South Africa,José Vítor dos Santos Peseiro,Juan Micha Obiang Bicogo,523,José Vítor dos Santos Peseiro,José Peseiro,1960-04-04,183,Portugal,1000467,Juan Micha Obiang Bicogo,Juan Micha,1975-07-28,69,Equatorial Guinea,1.1.0,2,2
3920408,2024-01-22,17:00:00.000,4,0,available,unscheduled,2026-01-11T17:14:45.479345,,3,1267,Africa,African Cup of Nations,Africa - African Cup of Nations,107,2023,4992,Equatorial Guinea,male,,69,Equatorial Guinea,3374,Côte d'Ivoire,male,,55,Côte d'Ivoire,10,Group Stage,117860,Stade Olympique Alassane Ouattara,55,Côte d'Ivoire,1003531,Mahmood Ali Mahmood Ismail,216,Sudan,Juan Micha Obiang Bicogo,Jean-Louis Gasset,1000467,Juan Micha Obiang Bicogo,Juan Micha,1975-07-28,69,Equatorial Guinea,368,Jean-Louis Gasset,,1953-12-09,78,France,1.1.0,2,2
3920397,2024-01-18,14:00:00.000,4,2,available,unscheduled,2026-05-02T05:55:36.901610,,2,1267,Africa,African Cup of Nations,Africa - African Cup of Nations,107,2023,4992,Equatorial Guinea,male,,69,Equatorial Guinea,4894,Guinea-Bissau,male,,96,Guinea-Bissau,10,Group Stage,117860,Stade Olympique Alassane Ouattara,55,Côte d'Ivoire,1003479,Samuel Uwikunda,189,Rwanda,Juan Micha Obiang Bicogo,Baciro Candé,1000467,Juan Micha Obiang Bicogo,Juan Micha,1975-07-28,69,Equatorial Guinea,1000429,Baciro Candé,,1967-04-06,96,Guinea-Bissau,1.1.0,2,2
3920410,2024-01-22,20:00:00.000,2,2,available,unscheduled,2026-05-12T21:18:08.827431,,3,1267,Africa,African Cup of Nations,Africa - African Cup of Nations,107,2023,4978,Mozambique,male,,155,Mozambique,4885,Ghana,male,,86,Ghana,10,Group Stage,117860,Stade Olympique Alassane Ouattara,55,Côte d'Ivoire,1003537,Ibrahim Mutaz,130,Libya,Francisco Queriol Conde Júnior,Chris Hughton,1001646,Francisco Queriol Conde Júnior,Chiquinho Conde,1965-11-22,155,Mozambique,395,Chris Hughton,,1958-12-11,109,Ireland,1.1.0,2,2
