50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.196097,,,,,,,,,,,bdd380b7-7ca5-4504-9abd-142611d394c5,2795,,"[97.2, 55.8]",3920419,80,,,,,0.1362474,,Left Foot,,,,"[109.6, 57.5]",Ground Pass,,12.515989,,,Achraf Hakimi Mouh,5245.0,,,,,,2,From Counter,Amine Adli,33401.0,Right Midfield,131,Morocco,788,['da3a6ef2-c948-4387-bb57-6774caf659bf'],23,,,,,,,,,,,,,,,,,Morocco,788,00:35:23.745,Pass,
,,,,,,,,,,,,,,,,,0.58096,,,,,,,,,,,48fe23b2-c680-4659-95c3-239b7cbadedb,2800,,"[5.8, 28.2]",3920419,81,,True,,,-0.44237423,,Left Foot,,,,"[34.3, 14.7]",Ground Pass,,31.535694,,,Emmanuel Justine Rabby Banda,23260.0,,,,,Free Kick,2,From Free Kick,Frankie Musonda,47979.0,Left Center Back,132,Zambia,4963,['3e98437c-938d-4277-a42b-c1883b7c3fd3'],1,,,,,,,,,,,,,,,,,Zambia,4963,00:36:01.831,Pass,
,,,,,,,,,,,,,,,,,1.767615,,,,,,,,,,,c0d217ae-22b9-4326-8edb-d35a65d8d1c6,2802,,"[39.4, 26.3]",3920419,81,,True,,,1.5055624,,Left Foot,,,,"[40.7, 46.2]",Ground Pass,,19.942417,,,Miguel Changa Chaiwa,160904.0,,,,,,2,From Free Kick,Emmanuel Justine Rabby Banda,23260.0,Left Defensive Midfield,132,Zambia,4963,['d08a6b44-102a-4c1d-a7e4-a9130cf2f852'],2,,,,,,,,,,,,,,,,,Zambia,4963,00:36:02.847,Pass,
,,,,,,,,,,,,,,,,,1.269064,,,,,,,,,,,b4606469-971f-4f55-9e58-3655653ba03c,2804,,"[40.0, 45.7]",3920419,81,,,,,-1.9322373,,Right Foot,,,,"[33.8, 29.3]",Ground Pass,,17.532825,,,Frankie Musonda,47979.0,,,,,,2,From Free Kick,Miguel Changa Chaiwa,160904.0,Right Defensive Midfield,132,Zambia,4963,['102f139f-1860-412e-b1f8-d9762c88f9e6'],4,,,,,,,,,,,,,,,,,Zambia,4963,00:36:04.853,Pass,
,,,,,,,,,,,,,,,,,1.618061,,,,,,,,,,,83153e01-3ed0-49a0-b281-8ed177bc5eb6,2807,,"[33.4, 28.4]",3920419,81,,,,,-1.1688234,,Right Foot,,,,"[42.2, 7.7]",Ground Pass,,22.492887,,,Lubambo Musonda,23420.0,,,,,,2,From Free Kick,Frankie Musonda,47979.0,Left Center Back,132,Zambia,4963,['46f31877-ccb1-4bc5-98fc-90bc5d20ef9f'],6,,,,,,,,,,,,,,,,,Zambia,4963,00:36:06.712,Pass,
,,,,,,,,,,,,,,,,,1.406868,,,,,,,,,,,d32709b3-2082-41d4-8aa9-e5b3198decf6,2810,,"[42.4, 8.9]",3920419,81,,,,,1.4842364,,Right Foot,,,,"[44.5, 33.1]",Ground Pass,,24.290945,,,Miguel Changa Chaiwa,160904.0,,,,,,2,From Free Kick,Lubambo Musonda,23420.0,Left Back,132,Zambia,4963,['d3e453f6-b8e9-49ad-a923-c13bdfb869f6'],10,,,,,,,,,,,,,,,,,Zambia,4963,00:36:10.330,Pass,
,,,,,,,,,,,,,,,,,1.382373,,,,,,,,,,,5fadf036-e320-40b5-ba59-aaaedda94676,2813,,"[44.1, 33.8]",3920419,81,,,,,1.6922611,,Right Foot,,,,"[41.5, 55.1]",Ground Pass,,21.4581,,,Stopilla Sunzu,23203.0,,,,,,2,From Free Kick,Miguel Changa Chaiwa,160904.0,Right Defensive Midfield,132,Zambia,4963,['cea98fc1-d8a9-431a-89e1-7b67bbddccc5'],13,,,,,,,,,,,,,,,,,Zambia,4963,00:36:13.078,Pass,
,,,,,,,,,,,,,,,,,1.643849,,,,,,,,,,,42225b4f-73f5-4221-b305-c7620c36e9de,2816,,"[53.9, 54.3]",3920419,81,,,,,-1.4396846,,Right Foot,,,,"[56.3, 36.1]",Ground Pass,,18.35756,,,Frankie Musonda,47979.0,,,,,,2,From Free Kick,Stopilla Sunzu,23203.0,Right Center Back,132,Zambia,4963,['2510948d-a319-441c-8480-ab0247ef5c31'],19,,,,,,,,,,,,,,,,,Zambia,4963,00:36:19.594,Pass,
,,,,,,,,,,,,,,,,,1.880996,,,,,,,,,,,1a21b891-9c54-4345-80fb-774ce0a7b16d,2819,,"[63.4, 31.8]",3920419,81,,,,,-1.4955419,,Right Foot,,,,"[65.3, 6.6]",Ground Pass,,25.271526,,,Lubambo Musonda,23420.0,,,,,,2,From Free Kick,Frankie Musonda,47979.0,Left Center Back,132,Zambia,4963,['65858869-2d57-4161-bea7-46c222011a4e'],22,,,,,,,,,,,,,,,,,Zambia,4963,00:36:22.637,Pass,
,,,,,,,,,,,,,,,,,3.935609,,,,,,,,,,,c824aa85-7036-4b28-9ed6-255bbefb380f,2822,,"[72.1, 8.1]",3920419,81,,,,,0.5140165,,Right Foot,,,,"[110.0, 29.5]",High Pass,,43.52436,Incomplete,,,,,,,,,2,From Free Kick,Lubambo Musonda,23420.0,Left Back,132,Zambia,4963,['d76d7247-3850-423c-9037-c9d6dd060db7'],25,,,,,,,,,,,,,,,,,Zambia,4963,00:36:25.430,Pass,
,,,,,,,,,,,,,,,,,3.210384,,,,,,,,,,,e71977be-4661-4fe0-ad4a-955035cabe64,2825,,"[13.7, 37.8]",3920419,81,,,,,-0.5020418,,Drop Kick,,,,"[76.0, 3.6]",High Pass,,71.06989,Incomplete,,Abdessamad Ezzalzouli,149714.0,,,,,,2,Regular Play,Yassine Bounou,6785.0,Goalkeeper,133,Morocco,788,"['daa9a0dc-efe5-48f4-8d33-173e597eb6cd', '2bcc426f-20c0-45d7-89c0-1441931d33aa']",50,,,,,,,,,,,,,,,,,Morocco,788,00:36:50.447,Pass,
,,,,,,,,,,,,,,,,,1.842917,,,,,,,,,,,5586ec55-4415-4645-bc7a-6c1d89e8efc3,2830,,"[87.3, 0.1]",3920419,82,,,,,0.83988965,,,,,,"[102.9, 17.5]",High Pass,,23.369211,Incomplete,,Amir Richardson,118368.0,,,,,Throw-in,2,From Throw In,Yahia Attiyat allah,31295.0,Left Back,134,Morocco,788,"['4b649d40-18fd-4d52-a382-0f983159cf41', '592791d7-4d5e-476c-98df-4d8b401cf98f']",41,,,,,,,,,,,,,,,,,Morocco,788,00:37:41.936,Pass,
,,,,,,,,,,,,,,,,,1.269408,,,,,,,,,,,a6b96829-a83c-49f7-892a-438e89040e11,2842,,"[7.1, 40.6]",3920419,82,,True,,,0.48070353,,Keeper Arm,,,,"[62.9, 69.7]",Ground Pass,,62.932106,,,Miguel Changa Chaiwa,160904.0,,,,,,2,Regular Play,Tresford Lawrence Mulenga,389156.0,Goalkeeper,135,Zambia,4963,['154addbe-1c9d-4e95-a849-65bd1713606c'],58,,,,,,,,,,,,,,,,,Zambia,4963,00:37:58.192,Pass,
,,,,,,,,,,,,,,,,,1.37178,,,,,,,,,,,8aba2bce-4b38-409c-9f01-7cf4db824c19,2844,,"[27.4, 73.1]",3920419,82,,,,,-1.9088203,,Right Foot,,,,"[21.6, 56.6]",Ground Pass,,17.489712,,,Stopilla Sunzu,23203.0,,,,,,2,Regular Play,Miguel Changa Chaiwa,160904.0,Right Back,135,Zambia,4963,['f3b6fd83-5b4a-4d08-9188-0cbf4d0a39b7'],59,,,,,,,,,,,,,,,,,Zambia,4963,00:37:59.747,Pass,
,,,,,,,,,,,,,,,,,2.220451,,,,,,,,,,,76cff0af-a9de-429d-8152-3463738157b4,2848,,"[21.6, 58.3]",3920419,83,,,,,0.73927706,,Left Foot,,,,"[45.4, 80.0]",Low Pass,,32.207607,Out,,Fashion Sakala,23708.0,,,,,,2,Regular Play,Stopilla Sunzu,23203.0,Right Center Back,135,Zambia,4963,"['a06b4117-6fdb-4cc1-bb87-5642c49e7b36', '6c307d23-ebdb-431a-9336-f25226434be7']",1,,,,,,,,,,,,,,,,,Zambia,4963,00:38:01.159,Pass,True
,,,,,,,,,,,,,,,,,1.698172,,,,,,,,,,,a01c1915-6732-4642-ab6e-075d5700354b,2851,,"[73.2, 0.1]",3920419,84,,,,,0.5293963,,,,,,"[92.0, 11.1]",High Pass,,21.781643,Incomplete,,Amir Richardson,118368.0,,,,,Throw-in,2,From Throw In,Yahia Attiyat allah,31295.0,Left Back,136,Morocco,788,"['217be397-a82a-47f7-9c2b-23fc54fb5b64', '905f7a05-0b9b-4c1a-847d-18989bbd8c0a']",1,,,,,,,,,,,,,,,,,Morocco,788,00:39:01.026,Pass,
