50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.887665,,,,,,,,,7db4f443-c11b-438b-a756-fda8ad4082e6,61,,"[57.1, 14.1]",3920397,0,,,,-1.0452125,,Right Foot,,,"[62.9, 4.1]",,Ground Pass,,11.560277,,,,Fali Candé,41052.0,,,,,,1,From Kick Off,Manconi Soriano Mané,30104.0,Left Center Back,2,Guinea-Bissau,4894,['1bb30a9f-d392-44bd-a6b9-ab7316bee93b'],41,,,,,,,,,,,,,,,,,,,Guinea-Bissau,4894,00:00:41.560,Pass,
,,,,,,,,,,,,,,,,,,0.774153,,,,,,,,,4b061e66-434f-4fa4-9aad-108a0c9685ba,64,,"[62.9, 4.1]",3920397,0,,,,0.43535328,,Left Foot,,,"[75.8, 10.1]",,Ground Pass,,14.227087,,,,Moreto Moro Cassamã,24909.0,,,,,,1,From Kick Off,Fali Candé,41052.0,Left Back,2,Guinea-Bissau,4894,['457ee9d2-c634-421d-be23-c4b9acd44e94'],42,,,,,,,,,,,,,,,,,,,Guinea-Bissau,4894,00:00:42.528,Pass,
,,,,,,,,,,,,,,,,,,1.077142,,,,,,,,,55659d06-08cd-4c67-9649-9a942cf4d803,68,,"[76.0, 9.5]",3920397,0,,,,1.218752,,Left Foot,,,"[79.6, 19.3]",,Ground Pass,,10.440307,,,,Mama Samba Baldé,12064.0,,,,,,1,From Kick Off,Moreto Moro Cassamã,24909.0,Left Center Midfield,2,Guinea-Bissau,4894,"['7890c9d8-e499-4d95-b8a1-a654136c65c3', '882b5b17-54dc-4faa-84e3-2916c763d604']",43,,,,,,,,,,,,,,,,,,,Guinea-Bissau,4894,00:00:43.342,Pass,True
,,,,,,,,,,,,,,,,,,1.967397,,,,,,,,,5dba162c-6b83-4901-8fc7-f865b8fe39d9,79,,"[6.0, 37.3]",3920397,1,True,,,-1.1230625,,Right Foot,,,"[13.3, 22.1]",,Ground Pass,,16.862087,,,,Saúl Basilio Coco-Bassey Oubiña,52324.0,,,,,Goal Kick,1,From Goal Kick,Jesús Lázaro Owono Ngua Akeng,105765.0,Goalkeeper,3,Equatorial Guinea,4992,['204678cb-a8b3-4a63-9364-315ed6e81b53'],12,,,,,,,,,,,,,,,,,,,Equatorial Guinea,4992,00:01:12.802,Pass,
,,,,,,,,,,,,,,,,,,1.692962,,,,,,,,,0a28ed50-0dbc-4732-858f-bd522b36d8f7,81,,"[20.4, 21.2]",3920397,1,,,,1.7642237,,Right Foot,,,"[16.6, 40.6]",,Ground Pass,,19.768661,,,,Esteban Orozco Fernández,482851.0,,,,,,1,From Goal Kick,Saúl Basilio Coco-Bassey Oubiña,52324.0,Left Center Back,3,Equatorial Guinea,4992,['070aceb4-fc85-4833-a3aa-bed55c5fd1ef'],20,,,,,,,,,,,,,,,,,,,Equatorial Guinea,4992,00:01:20.076,Pass,
,,,,,,,,,,,,,,,,,,1.34044,,,,,,,,,8d17111e-d8ed-4813-8388-a1e4dfafea70,83,,"[16.6, 40.6]",3920397,1,,,,-2.9689112,,Right Foot,,,"[8.0, 39.1]",,Ground Pass,,8.729834,,,,Jesús Lázaro Owono Ngua Akeng,105765.0,,,,,,1,From Goal Kick,Esteban Orozco Fernández,482851.0,Right Center Back,3,Equatorial Guinea,4992,['91708c75-3059-4992-a8a6-1aca8a1c5d11'],21,,,,,,,,,,,,,,,,,,,Equatorial Guinea,4992,00:01:21.769,Pass,
,,,,,,,,,,,,,,,,,,1.816725,,,,,,,,,08901fd2-ecef-4942-9389-4222ebb5e8f9,86,,"[8.3, 39.7]",3920397,1,,,,-0.2894067,,Right Foot,,,"[48.6, 27.7]",,High Pass,,42.048664,,Incomplete,,Emilio Nsue López,13581.0,,,,,,1,From Goal Kick,Jesús Lázaro Owono Ngua Akeng,105765.0,Goalkeeper,3,Equatorial Guinea,4992,"['d40eaee4-9c0d-41aa-82bd-366074350a39', '10e57b5b-8fd4-4ed1-a1cc-86d2444a7a9a', 'bc7c7315-8082-4813-aab3-8811e8efe154']",23,,,,,,,,,,,,,,,,,,,Equatorial Guinea,4992,00:01:23.110,Pass,True
,,,,,,,,,,,,,,,,,,1.162579,,,,,,,,,7b3b2b36-bdda-45ab-8e28-2cdbc7d034c2,90,,"[84.1, 64.2]",3920397,1,,,,-1.4261819,,Right Foot,,,"[85.6, 53.9]",,Ground Pass,,10.40865,,,,Franculino Gluda Djú,143863.0,,,,,,1,Regular Play,Alfa Semedo Esteves,10323.0,Right Center Midfield,4,Guinea-Bissau,4894,['af8b6a16-dbf7-4d71-a262-2e9174f77b2e'],28,,,,,,,,,,,,,,,,,,,Guinea-Bissau,4894,00:01:28.396,Pass,
,,,,,,,,,,,,,,,,,,4.922857,,,,,,,,,f5f58ff4-4b0a-4d71-8dbb-c53988eaaa29,97,,"[91.4, 60.9]",3920397,1,,,,-1.0663242,,Left Foot,,,"[120.0, 9.1]",,High Pass,,59.17094,,Out,,Mama Samba Baldé,12064.0,,True,,,,1,Regular Play,Franculino Gluda Djú,143863.0,Center Forward,4,Guinea-Bissau,4894,['5d19f570-a5ed-4dff-993d-9f525881fddc'],34,,,,,,,,,,,,,,,,,,,Guinea-Bissau,4894,00:01:34.277,Pass,
,,,,,,,,,,,,,,,,,,1.263649,,,,,,,,,fd7e6f86-dc84-4e3d-a111-b867f609ee35,99,,"[6.0, 46.2]",3920397,2,True,,,0.649315,,Right Foot,,,"[47.1, 77.4]",,High Pass,,51.600872,,,,Carlos Akapo Martínez,17618.0,,,,,Goal Kick,1,From Goal Kick,Jesús Lázaro Owono Ngua Akeng,105765.0,Goalkeeper,5,Equatorial Guinea,4992,['bc0f960f-61cc-4af7-874e-87a90de48ac5'],2,,,,,,,,,,,,,,,,,,,Equatorial Guinea,4992,00:02:02.341,Pass,
