50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,1.367506,,,,,,,,,,,,,4b6040e1-1ecd-435f-8805-5e2775ae2faf,56,,"[98.7, 0.1]",3920409,0,,,,1.752264,,,,"[96.7, 11.0]",Low Pass,,11.081967,,,Joe Aribo,3856.0,,,,,Throw-in,1,From Throw In,Temitayo Olufisayo Olaoluwa Aina,11492.0,Left Wing Back,3,Nigeria,775,['1c9b80fb-0852-4a03-a948-f1f7fe8c04bd'],54,,,,,,,,,,,,,,,,,,Nigeria,775,00:00:54.585,Pass,
,,,,,,,,,,,,,,,,,,,1.109243,,,,,,,,,,,,,1549dfd9-6777-4e93-8c5b-198117f31b6a,60,,"[96.1, 10.3]",3920409,0,,,,-2.078969,,Left Foot,,"[91.7, 2.4]",Ground Pass,,9.042677,,,Temitayo Olufisayo Olaoluwa Aina,11492.0,,,,,,1,From Throw In,Joe Aribo,3856.0,Left Defensive Midfield,3,Nigeria,775,"['36ed45f8-782d-48f9-aed9-5ef0bc7d011c', 'e34af9ec-b0e3-4e96-8bea-e2a9792de710']",56,,,,,,,,,,,,,,,,,,Nigeria,775,00:00:56.605,Pass,True
,,,,,,,,,,,,,,,,,,,1.658972,,,,,,,,,,,,,99d31ace-d3ff-4fd8-b8aa-2a54528302e0,69,,"[91.8, 3.0]",3920409,1,,,,1.0386156,,Left Foot,True,"[108.7, 31.7]",High Pass,,33.306156,Incomplete,,Joe Aribo,3856.0,,,,,Free Kick,1,From Free Kick,Samuel Chimerenka Chukwueze,16335.0,Right Attacking Midfield,4,Nigeria,775,"['29a66ea8-1aeb-4598-a4fa-6d288f5e5c24', '976ffbf3-2461-4a88-b29b-7803958a63c1']",39,,,,,,,,,,,,,,,,,,Nigeria,775,00:01:39.917,Pass,
,,,,,,,,,,,,,,,,,,,0.831664,,,,,,,,,,,,,3da3eb1a-70d2-480a-94a4-cc115ec78162,73,,"[96.8, 39.7]",3920409,1,,,,-1.2220253,5dc9cf57-8655-4e50-b74c-3aa2e6791eee,Right Foot,,"[97.6, 37.5]",Ground Pass,,2.34094,,,Moses Daddy-Ajala Simon,18163.0,True,,,,Recovery,1,From Free Kick,Bright Osayi-Samuel,3806.0,Right Wing Back,4,Nigeria,775,['5b78dab8-9a2e-4e6e-855d-13e61938a9c0'],43,,,,,,,,,,,,,,,,,,Nigeria,775,00:01:43.040,Pass,
,,,,,,,,,,,,,,,,,,,0.867735,,,,,,,,,,,,,7ad0150a-5395-496c-94d3-ea93fb01e7ac,86,,"[94.8, 38.5]",3920409,1,,,,1.00748,,Left Foot,,"[102.0, 49.9]",Ground Pass,,13.483323,Pass Offside,,Victor James Osimhen,11277.0,,,,,,1,From Free Kick,Samuel Chimerenka Chukwueze,16335.0,Right Attacking Midfield,4,Nigeria,775,['0af1e1b5-368e-4d5a-9547-f2121a484591'],48,,,,,,,,,,,,,,,,,,Nigeria,775,00:01:48.698,Pass,
,,,,,,,,,,,,,,,,,,,3.631246,,,,,,,,,,,,,2a102564-a8d5-4a6f-9d12-892cd00f3e11,88,,"[20.6, 33.5]",3920409,2,,,,0.6662114,,Left Foot,,"[75.3, 76.5]",High Pass,,69.57794,,,Famana Quizera,46312.0,,True,,,Free Kick,1,From Free Kick,Jonas Asvedo Mendes,68500.0,Goalkeeper,5,Guinea-Bissau,4894,['efa6729f-15f2-4f5d-af6a-46d8ecf9fb9c'],22,,,,,,,,,,,,,,,,,,Guinea-Bissau,4894,00:02:22.810,Pass,
,,,,,,,,,,,,,,,,,,,3.851518,,,,,,,,,,,,,02d638b0-a10d-408a-ac06-393fdcba0f40,90,,"[75.3, 76.5]",3920409,2,,,,0.117304094,,Head,,"[105.0, 80.0]",High Pass,,29.905518,Out,,,,,,,,,1,From Free Kick,Famana Quizera,46312.0,Right Wing,5,Guinea-Bissau,4894,,26,,,,,,,,,,,,,,,,,,Guinea-Bissau,4894,00:02:26.441,Pass,
,,,,,,,,,,,,,,,,,,,2.368252,,,,,,,,,,,,,e0af7424-51be-477b-a8a5-463ba013b749,91,,"[23.7, 0.1]",3920409,2,,,,0.0,,,,"[61.5, 0.1]",High Pass,,37.8,Out,,Victor James Osimhen,11277.0,,,,,Throw-in,1,From Throw In,Temitayo Olufisayo Olaoluwa Aina,11492.0,Left Wing Back,6,Nigeria,775,['416c06b3-f517-4c2b-92a5-288b3bb1aa28'],41,,,,,,,,,,,,,,,,,,Nigeria,775,00:02:41.695,Pass,
,,,,,,,,,,,,,,,,,,,0.960992,,,,,,,,,,,,,15389e50-cdaa-4fbe-81d5-49f16360a2aa,93,,"[63.6, 80.0]",3920409,2,True,,,-1.4614778,,,,"[64.5, 71.8]",Low Pass,,8.249243,,,Fernando de Lacerda Gomes,363738.0,,,,,Throw-in,1,From Throw In,Houboulang Mendes,9361.0,Right Back,7,Guinea-Bissau,4894,['c06afcbd-91b6-4ea8-9fba-a08cdbecacfd'],50,,,,,,,,,,,,,,,,,,Guinea-Bissau,4894,00:02:50.729,Pass,
,,,,,,,,,,,,,,,,,,,0.69962,,,,,,,,,,,,,42e7f725-b7e1-43ae-b980-8fb6d6da9271,95,,"[64.5, 71.8]",3920409,2,,,,2.0005586,,Right Foot,,"[61.2, 79.0]",Ground Pass,,7.920227,,,Houboulang Mendes,9361.0,,,,,,1,From Throw In,Fernando de Lacerda Gomes,363738.0,Right Defensive Midfield,7,Guinea-Bissau,4894,['1bdf2ee2-30fb-4419-9936-d94900086456'],51,,,,,,,,,,,,,,,,,,Guinea-Bissau,4894,00:02:51.710,Pass,
