50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,"[60.6, 74.3]",,,,,,,,,,,,1.105527,,,,,,,,,,,,a1a4afc3-0d21-4445-bfcc-1ea6e203bb76,34,,,"[59.8, 77.3]",3920412,0,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Pape Gueye,21026.0,Center Defensive Midfield,2,Senegal,787,"['d966207f-d22c-42a1-9f8f-727f4009510c', 'f51a637f-bfbb-40f6-9655-ed5eb6568f8d']",26,,,,,,,,,,,,,,,,,Senegal,787,00:00:26.683,Carry,
,,,,,"[49.2, 43.8]",,,,,,,,,,,,1.677002,,,,,,,,,,,,9b0f5ac0-3823-48fe-b8eb-3426bb0a3166,37,,,"[48.2, 54.3]",3920412,0,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Abdoulaye Seck,25759.0,Right Center Back,2,Senegal,787,"['0ac2e7d7-51e2-42e5-b468-2d4625f1ecbd', 'd0645b30-7567-4d68-8658-b89e8b97b3e4']",29,,,,,,,,,,,,,,,,,Senegal,787,00:00:29.192,Carry,
,,,,,"[57.6, 16.7]",,,,,,,,,,,,1.314715,,,,,,,,,,,,33ebd24c-e165-47cc-b5ea-a5e0f09644f3,40,,,"[54.6, 23.5]",3920412,0,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Kalidou Koulibaly,5675.0,Left Center Back,2,Senegal,787,"['86b82fd4-a9ac-4fb3-a27d-0cc150b75f94', 'deff7fe7-68e2-44cd-8d20-1debd70183d2']",32,,,,,,,,,,,,,,,,,Senegal,787,00:00:32.176,Carry,
,,,,,"[75.6, 5.4]",,,,,,,,,,,,0.513192,,,,,,,,,,,,7e4e0f8b-5103-4a15-82af-ae48d344b6ba,44,,,"[75.9, 5.4]",3920412,0,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Ismail Jakobs,32915.0,Left Back,2,Senegal,787,"['ca4a55ad-66d8-467f-a5ed-ff9c535947c7', '801c56e5-f051-4427-9f4e-6ac4b912264e', '9295d14d-a9bb-4df0-8dde-384ae08b16cb']",34,,,,,,,,,,,,,,,,,Senegal,787,00:00:34.607,Carry,True
,,,,,"[56.0, 26.5]",,,,,,,,,,,,2.678869,,,,,,,,,,,,e96e470b-2ff7-4dc2-a3e0-2d425f4ae820,51,,,"[53.7, 18.9]",3920412,1,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Pape Gueye,21026.0,Center Defensive Midfield,3,Senegal,787,"['47b519dd-9305-4b0a-ba26-8c9713df1a66', 'f8d8c898-163b-45e2-b667-5264a8e73f95']",11,,,,,,,,,,,,,,,,,Senegal,787,00:01:11.974,Carry,
,,,,,"[60.2, 16.7]",,,,,,,,,,,,1.384706,,,,,,,,,,,,386fbe9a-9afb-4943-81fe-392db4d64b30,54,,,"[58.3, 17.4]",3920412,1,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Kalidou Koulibaly,5675.0,Left Center Back,3,Senegal,787,"['76400769-6c46-4017-8f61-04d880cd6838', 'ea051593-36ed-45be-9bf9-6530ec537ff3', '26dd8c22-9f71-470a-a0f7-1e85c5126664']",15,,,,,,,,,,,,,,,,,Senegal,787,00:01:15.592,Carry,True
,,,,,"[68.9, 5.4]",,,,,,,,,,,,0.079999,,,,,,,,,,,,1167777e-0797-42a9-b688-ec7c5f910010,59,,,"[67.4, 5.4]",3920412,1,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Ismail Jakobs,32915.0,Left Back,3,Senegal,787,"['e31f6cdd-06ed-467e-a672-a851714ee611', '29ff1b22-2d88-4614-8173-606f24b2a728', '37e55e33-0772-482e-bc5c-219ccf506b34']",18,,,,,,,,,,,,,,,,,Senegal,787,00:01:18.357,Carry,True
,,,,,"[56.5, 74.7]",,,,,,,,,,,,2.369535,,,,,,,,,,,,f2bad3eb-8909-44d5-812d-551f25e16a41,66,,,"[54.3, 69.1]",3920412,1,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Moriba Kourouma Kourouma,39073.0,Left Defensive Midfield,4,Guinea,4892,"['7d342e12-3d9d-46af-8939-526977d94fc7', '46b97568-697e-41f7-aff0-80525d9bf6e2', '95425bad-0f37-476d-b185-dc9e3492d8a1']",29,,,,,,,,,,,,,,,,,Guinea,4892,00:01:29.845,Carry,True
,,,,,"[34.3, 27.6]",,,,,,,,,,,,1.66256,,,,,,,,,,,,30b1905a-245f-42b6-ae13-00271f5b4b61,74,,,"[31.6, 36.3]",3920412,1,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Mohamed Aly Camara,16025.0,Left Center Back,5,Guinea,4892,"['78730aa1-d875-487d-85d0-7b1de49677d4', 'b5ccf347-e686-40bc-8666-740f4b7d6cea']",43,,,,,,,,,,,,,,,,,Guinea,4892,00:01:43.183,Carry,
,,,,,"[39.2, 6.6]",,,,,,,,,,,,0.034673,,,,,,,,,,,,23b34a59-d3ad-4849-a62c-47861fbd91d8,77,,,"[37.7, 5.8]",3920412,1,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Issiaga Sylla,4352.0,Left Back,5,Guinea,4892,"['e6f9d586-f247-445e-8520-6febd1e84d95', '571fef0b-7351-4bcf-9a78-f5c6e700032d']",46,,,,,,,,,,,,,,,,,Guinea,4892,00:01:46.495,Carry,
