50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.824041,,,,,,,,,,,,,,,c158fd44-4ba2-48d7-878e-1800f9a410fb,43,,,"[48.7, 23.6]",3920390,0,,,,-2.7498927,,Other,,,,"[44.1, 21.7]",,High Pass,,4.976947,,Incomplete,,Rayan Aït Nouri,12111.0,,,,,,,1,From Kick Off,Mohamed Youcef Belaïli,103464.0,Left Wing,2,Algeria,4898,"['a755323d-c449-4bc8-b0d2-0c56f0a32fe9', '9fb588f1-d9ea-4c84-9579-a5340a5fb5ef']",35,,,,,,,,,,,,,,,,Algeria,4898,00:00:35.962,Pass,
,,,,,,,,,,,,,,,,,,0.612362,,,,,,,,,,,,,,,a755323d-c449-4bc8-b0d2-0c56f0a32fe9,45,,,"[76.0, 58.4]",3920390,0,,,,0.65342635,,Right Foot,,,,"[82.4, 63.3]",,Low Pass,,8.060397,,,,Loide António Augusto,103207.0,,,,,,Recovery,1,From Kick Off,Alfredo Kulembe Ribeiro,10844.0,Right Center Midfield,2,Algeria,4898,"['c158fd44-4ba2-48d7-878e-1800f9a410fb', '2cb9600e-bffa-45a9-9e32-41e7f3eb5914']",36,,,,,,,,,,,,,,,,Angola,4901,00:00:36.786,Pass,
,,,,,,,,,,,,,,,,,,0.528808,,,,,,,,,,,,,,,6abd03ab-7cbf-411f-9c1b-565f15a7ebec,52,,,"[48.7, 7.5]",3920390,0,,,,-0.012657552,,Left Foot,,,,"[64.5, 7.3]",,Ground Pass,,15.801266,,Incomplete,,Mohamed Youcef Belaïli,103464.0,,,,,,,1,From Kick Off,Ismael Bennacer,11515.0,Left Center Midfield,2,Algeria,4898,"['7ccf3f48-5edc-4ff6-901e-1ebb771cf689', 'b2f1dfac-0636-45c6-8124-1224858455da']",40,,,,,,,,,,,,,,,,Algeria,4898,00:00:40.974,Pass,
,,,,,,,,,,,,,,,,,,0.646149,,,,,,,,,,,,,,,b2f1dfac-0636-45c6-8124-1224858455da,54,,,"[55.6, 72.8]",3920390,0,,,,-0.09169616,,Right Foot,,,,"[64.3, 72.0]",,Ground Pass,,8.736704,,Incomplete,,Alfredo Kulembe Ribeiro,10844.0,,,,,,Recovery,1,From Kick Off,Jonathan Buatu Mananga,10573.0,Right Center Back,2,Algeria,4898,"['f9b900e4-c14e-4d6f-919d-13670b8df9b5', '6abd03ab-7cbf-411f-9c1b-565f15a7ebec', '231e93ba-6948-4218-a102-65b8b13f0ee4']",41,,,,,,,,,,,,,,,,Angola,4901,00:00:41.502,Pass,
,,,,,,,,,,,,,,,,,,0.71142,,,,,,,,,,,,,,,41f149da-b3b6-4b3a-90ac-e2c4f3f82a4b,59,,,"[55.8, 5.7]",3920390,0,,,,-1.8399638,,Left Foot,,,,"[55.0, 2.8]",,Ground Pass,,3.0083218,,,,Rayan Aït Nouri,12111.0,,,,,,,1,From Kick Off,Ismael Bennacer,11515.0,Left Center Midfield,2,Algeria,4898,"['65fd95dd-8ff2-4a6b-a98a-99753024ff19', '8fbcad30-20f2-4154-b28d-c934f96bd887']",43,,,,,,,,,,,,,,,,Algeria,4898,00:00:43.798,Pass,True
,,,,,,,,,,,,,,,,,,0.283351,,,,,,,,,,,,,,,8822bde0-3abe-47a8-8733-d95819238791,63,,,"[62.5, 3.7]",3920390,0,,,,1.2870022,,Left Foot,,,,"[63.2, 6.1]",,Ground Pass,,2.5,,Incomplete,,Baghdad Bounedjah,103465.0,,,,,,,1,From Kick Off,Rayan Aït Nouri,12111.0,Left Back,2,Algeria,4898,"['e66a70ba-c343-4a01-bcc8-b99c2770d262', 'e2196a22-d8a2-4125-b1e5-029e34e7996f']",49,,,,,,,,,,,,,,,,Algeria,4898,00:00:49.057,Pass,
,,,,,,,,,,,,,,,,,,0.733241,,,,,,,,,,,,,,,220d9d03-9335-48a0-a757-e4319e8f6fad,67,,,"[63.8, 9.2]",3920390,0,,,,-2.8250234,,Left Foot,,,,"[58.0, 7.3]",,Ground Pass,,6.1032777,,,,Rayan Aït Nouri,12111.0,,,,,,Recovery,1,From Kick Off,Ismael Bennacer,11515.0,Left Center Midfield,2,Algeria,4898,"['9a69a869-cf97-4fdf-96e7-9248980531f2', 'a14df427-5162-4e26-a89b-827574e8e1c1']",50,,,,,,,,,,,,,,,,Algeria,4898,00:00:50.068,Pass,True
,,,,,,,,,,,,,,,,,,1.199999,,,,,,,,,,,,,,,c8557038-4f37-4862-9ba7-29503fc83925,71,,,"[56.7, 6.1]",3920390,0,,,,2.730239,,Left Foot,,,,"[41.8, 12.6]",,Ground Pass,,16.256075,,,,Ramy Bensebaini,3191.0,,,,,,,1,From Kick Off,Rayan Aït Nouri,12111.0,Left Back,2,Algeria,4898,['0a4e5842-46c1-4cb0-a4f7-17f7a44a2fb3'],54,,,,,,,,,,,,,,,,Algeria,4898,00:00:54.982,Pass,
,,,,,,,,,,,,,,,,,,1.199999,,,,,,,,,,,,,,,5b5d31f7-daf7-4b8a-a7a6-d286229ea994,74,,,"[41.6, 24.1]",3920390,0,,,,1.7988274,,Left Foot,,,,"[36.1, 47.8]",,Ground Pass,,24.329817,,,,Aïssa Mandi,6648.0,,,,,,,1,From Kick Off,Ramy Bensebaini,3191.0,Left Center Back,2,Algeria,4898,['f3085793-4642-46e3-a4f6-f0a3024b1a96'],57,,,,,,,,,,,,,,,,Algeria,4898,00:00:57.898,Pass,
,,,,,,,,,,,,,,,,,,1.599999,,,,,,,,,,,,,,,e467744a-0db4-41e0-8612-299d7944546b,77,,,"[35.5, 50.4]",3920390,0,,,,0.8809963,,Right Foot,,,,"[48.7, 66.4]",,Ground Pass,,20.742228,,,,Youcef Atal,10040.0,,,,,,,1,From Kick Off,Aïssa Mandi,6648.0,Right Center Back,2,Algeria,4898,['d325a26d-57e5-4102-ab30-22ab2bdb9b14'],59,,,,,,,,,,,,,,,,Algeria,4898,00:00:59.786,Pass,
