50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,02a42c22-66f9-4306-b3ce-fe6dc9bae996,61,,,"[33.6, 3.1]",3920400,1,,,,2.5168102,,Left Foot,,,"[23.2, 10.6]",,Ground Pass,,12.822247,,,Abdou Diallo,8553.0,,,,,,1,Regular Play,Ismail Jakobs,32915.0,Left Back,5,Senegal,787,['114d1e3e-27ca-4c1d-99e1-a1da72d42814'],51,,,,,,,,,,,,,,,,,,Senegal,787,00:01:51.786,Pass,
,,,,,,,,,,,,,,,,,1.254269,,,,,,,,,,b33ec0c0-7e90-4cef-a180-185206cef775,64,,,"[26.8, 12.6]",3920400,1,,,,1.868991,,Left Foot,,,"[19.7, 35.7]",,Ground Pass,,24.166506,,,Pape Gueye,21026.0,,,,,,1,Regular Play,Abdou Diallo,8553.0,Left Center Back,5,Senegal,787,['8bdb49ce-e640-4e9f-80e4-e0622aa7a51f'],54,,,,,,,,,,,,,,,,,,Senegal,787,00:01:54.384,Pass,
,,,,,,,,,,,,,,,,,0.997529,,,,,,,,,,7c9b1ded-cb50-4d96-9d27-ddec04708ad3,67,,,"[19.7, 37.2]",3920400,1,,,,1.4089589,,Left Foot,,,"[22.1, 51.9]",,Ground Pass,,14.8946295,,,Kalidou Koulibaly,5675.0,,,,,,1,Regular Play,Pape Gueye,21026.0,Center Defensive Midfield,5,Senegal,787,['df9bb03a-d45c-4da3-91a7-1f70cee189e8'],57,,,,,,,,,,,,,,,,,,Senegal,787,00:01:57.005,Pass,
,,,,,,,,,,,,,,,,,0.109305,,,,,,,,,,eb7b19af-e70e-45f5-88da-dddc121e8cdd,77,,,"[114.1, 23.1]",3920400,2,,,,1.6839473,,Left Foot,,True,"[113.6, 27.5]",,Ground Pass,,4.428318,Incomplete,,Frank Magri,189348.0,,,,,,1,Regular Play,Georges-Kévin Nkoudou Mbida,3639.0,Left Midfield,6,Cameroon,2722,"['3f28f584-487a-49b0-a1e5-169622170284', '0b60cd38-0b55-4caa-a1ad-5f80019b738a', 'c591a274-6d75-46ee-80d6-4727e63f3328']",2,,,,,,,,,,,,,,,,,,Cameroon,2722,00:02:02.543,Pass,True
,,,,,,,,,,,,,,,,,1.657099,,,,,,,,,,20b389cd-5370-4b2d-9105-81b7dd4ea590,80,,,"[120.0, 0.1]",3920400,2,True,,,2.493058,,Right Foot,,,"[101.0, 14.5]",,Ground Pass,,23.840302,,,Nouhou Tolo,13454.0,,,,,Corner,1,From Corner,Georges-Kévin Nkoudou Mbida,3639.0,Left Midfield,7,Cameroon,2722,['c640ea04-8cc6-471b-8ba5-86425ad91b6c'],14,,,,,,,,,,,,,,,,,,Cameroon,2722,00:02:14.788,Pass,
,,,,,,,,,,,,,,,,,1.358039,,,,,,,,,,96318aff-8bb6-40e6-81f0-43682f97c049,82,,,"[98.0, 17.3]",3920400,2,,,,0.92071635,,Left Foot,True,,"[116.4, 41.5]",,High Pass,,30.400658,Incomplete,,Frank Magri,189348.0,,,,,,1,From Corner,Nouhou Tolo,13454.0,Left Back,7,Cameroon,2722,"['615c6b0d-2f6e-46bf-b6f3-84a93302d85b', '7258ba8a-e366-4745-96c1-9a31fe7136ec']",17,,,,,,,,,,,,,,,,,,Cameroon,2722,00:02:17.515,Pass,
,,,,,,,,,,,,,,,,,1.293689,,,,,,,,,,52d6a37d-688d-43f4-8af2-d30934c7287b,88,,,"[80.5, 74.6]",3920400,2,,,,-0.9569067,,Right Foot,,,"[98.4, 49.2]",,High Pass,,31.073622,,,Frank Magri,189348.0,,,,,,1,From Corner,Nicolas Moumi Ngamaleu,16015.0,Right Midfield,7,Cameroon,2722,"['11238c40-727b-4ee3-a787-70896fd82232', 'c4b3928b-e915-4d8e-88b9-a434a36ac1b3']",26,,,,,,,,,,,,,,,,,,Cameroon,2722,00:02:26.710,Pass,True
,,,,,,,,,,,,,,,,,0.518457,,,,,,,,,,53ee36eb-5a61-4470-a1c3-dcddf1935532,93,,,"[20.2, 27.5]",3920400,2,,,,0.24497867,,Left Foot,,,"[26.2, 29.0]",,Ground Pass,,6.1846585,,,Pape Matar Sarr,50498.0,,,,,Recovery,1,Regular Play,Abdou Diallo,8553.0,Left Center Back,8,Senegal,787,['f7e6b235-9dbe-441c-b239-879e53997083'],28,,,,,,,,,,,,,,,,,,Senegal,787,00:02:28.889,Pass,
,,,,,,,,,,,,,,,,,0.600332,,,,,,,,,,d35fc3ed-e5e6-4ade-89dc-7adc16b96918,98,,,"[20.0, 36.3]",3920400,2,,,,2.1823933,,Right Foot,,,"[14.6, 44.0]",,Ground Pass,,9.404786,,,Krépin Diatta,20758.0,,,,,,1,Regular Play,Pape Matar Sarr,50498.0,Right Center Midfield,8,Senegal,787,"['a8fb462b-e21e-442f-bfb0-a4468a4cb189', '2f37abdf-a78c-4978-ba26-7c698db62cad']",31,,,,,,,,,,,,,,,,,,Senegal,787,00:02:31.245,Pass,True
,,,,,,,,,,,,,,,,,0.955349,,,,,,,,,,f52fe9f4-ae25-4479-8c0f-d4a8e2f3181a,102,,,"[24.2, 53.6]",3920400,2,,,,-0.084996514,,Right Foot,,,"[46.5, 51.7]",,Ground Pass,,22.380795,,,Sadio Mané,3629.0,,,,,,1,Regular Play,Krépin Diatta,20758.0,Right Back,8,Senegal,787,['5ba91ca9-c0a4-488c-97aa-78301c826d1f'],33,,,,,,,,,,,,,,,,,,Senegal,787,00:02:33.933,Pass,
