50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.851075,,,,,,,,,,,,,,d63e81d1-ce14-488e-9223-43da8a557bfe,51,,,"[47.6, 10.2]",3920407,0,,,,0.60374933,,Right Foot,,,,"[56.3, 16.2]",,Low Pass,,10.568349,,Incomplete,Themba Zwane,65726.0,,,,,,1,Regular Play,Sphephelo S''Miso Sithole,42527.0,Left Defensive Midfield,3,Namibia,4980,"['70bf1b27-006c-43be-b05a-12e381dc74d1', '30a8dac4-f990-4540-926b-b19511ddc0c3', '42019469-7e3f-4bd0-9d4e-b07ac4e6bb67']",28,,,,,,,,,,,,,,,,,South Africa,4976,00:00:28.576,Pass,True
,,,,,,,,,,,,,,,,0.837142,,,,,,,,,,,,,,cee2a3d7-a5bc-4963-aa0c-d0d4fba77cb2,55,,,"[65.1, 64.4]",3920407,0,,,,1.0058023,,Left Foot,,,,"[72.2, 75.6]",,Ground Pass,,13.260844,,,Petrus Shitembi,125333.0,,,,,,1,Regular Play,Aprocious Petrus,136406.0,Center Defensive Midfield,3,Namibia,4980,['cc48da36-2770-42e3-b225-6a9d76af66de'],30,,,,,,,,,,,,,,,,,Namibia,4980,00:00:30.417,Pass,
,,,,,,,,,,,,,,,,3.022907,,,,,,,,,,,,,,1c3ba7c8-0626-43ff-b030-1c8202808e11,58,,,"[78.3, 74.8]",3920407,0,,,,-0.021017926,,Left Foot,,,,"[111.6, 74.1]",,Ground Pass,,33.307358,,Incomplete,Absalom Iimbondi,103804.0,,,,,,1,Regular Play,Petrus Shitembi,125333.0,Right Center Midfield,3,Namibia,4980,"['9b6ad9ff-59f5-4f79-8735-d94f808b8c85', '26637a3e-50fd-4d6f-b065-66a86f1dff16']",33,,,,,,,,,,,,,,,,,Namibia,4980,00:00:33.224,Pass,
,,,,,,,,,,,,,,,,2.061258,,,,,,,,,,,,,,3c16f363-c58f-4fcb-8b7d-82e1a4905261,63,,,"[5.9, 3.0]",3920407,0,,,,0.047583103,,Left Foot,,,,"[37.4, 4.5]",,Low Pass,,31.535694,,,Percy Tau,29367.0,,,,,,1,Regular Play,Aubrey Maphosa Modiba,65733.0,Left Back,4,South Africa,4976,['f6e6d008-857c-4d56-b849-0b52c608dc20'],37,,,,,,,,,,,,,,,,,South Africa,4976,00:00:37.314,Pass,
,,,,,,,,,,,,,,,,1.592759,,,,,,,,,,,,,,0a2fb776-7f86-4ac2-8596-ce097a604d83,67,,,"[34.4, 4.4]",3920407,0,,,,1.8666627,,Right Foot,,,,"[28.7, 23.1]",,Ground Pass,,19.549425,,,Sphephelo S''Miso Sithole,42527.0,,,,,,1,Regular Play,Percy Tau,29367.0,Left Wing,4,South Africa,4976,"['beffebc0-8c32-4c0e-9128-2a14af4f3d88', 'f0dce96d-c960-4d66-8041-c25961ee040f']",40,,,,,,,,,,,,,,,,,South Africa,4976,00:00:40.323,Pass,True
,,,,,,,,,,,,,,,,1.230148,,,,,,,,,,,,,,60859462-e930-4159-ae4f-f20677ae9770,73,,,"[26.8, 30.5]",3920407,0,,,,-2.6098685,,Right Foot,,,,"[18.3, 25.5]",,Ground Pass,,9.861542,,,Mothobi Mvala,65732.0,,,,,Recovery,1,Regular Play,Teboho Mokoena,66716.0,Right Defensive Midfield,4,South Africa,4976,"['482250c3-71ff-4d10-8475-f3c5f6a4fa9f', '28c1979b-6992-43b6-ae47-ae305eb188fd']",43,,,,,,,,,,,,,,,,,South Africa,4976,00:00:43.659,Pass,True
,,,,,,,,,,,,,,,,1.569331,,,,,,,,,,,,,,d5ac5332-774c-44ff-a593-216d39fe21b1,76,,,"[19.1, 24.3]",3920407,0,,,,-0.5777799,,Right Foot,,,,"[44.1, 8.0]",,Ground Pass,,29.844429,,Incomplete,Percy Tau,29367.0,,,,,,1,Regular Play,Mothobi Mvala,65732.0,Left Center Back,4,South Africa,4976,"['8b2c5c2e-ad3c-4582-ad32-2cbd1dc6d23f', 'cf068cfc-ee72-4abc-9547-859585557241']",45,,,,,,,,,,,,,,,,,South Africa,4976,00:00:45.668,Pass,
,,,,,,,,,,,,,,,,0.83149,,,,,,,,,,,,,,8b2c5c2e-ad3c-4582-ad32-2cbd1dc6d23f,78,,,"[76.0, 72.1]",3920407,0,,,,-0.22571659,,Right Foot,,,,"[89.5, 69.0]",,Low Pass,,13.851354,,,Absalom Iimbondi,103804.0,,,,,Recovery,1,Regular Play,Ryan Nyambe,4218.0,Right Back,5,Namibia,4980,"['d5ac5332-774c-44ff-a593-216d39fe21b1', 'aab73601-5e81-4dcd-9229-539584db262f']",47,,,,,,,,,,,,,,,,,Namibia,4980,00:00:47.237,Pass,
,,,,,,,,,,,,,,,,0.866932,,,,,,,,,,,,,,ffa04e6a-489f-4898-a35b-54e5d11ac93a,81,,,"[85.9, 68.3]",3920407,0,,,,-1.7681919,,Right Foot,,,,"[84.8, 62.8]",,Ground Pass,,5.6089215,,Incomplete,Petrus Shitembi,125333.0,,,,,,1,Regular Play,Absalom Iimbondi,103804.0,Right Midfield,5,Namibia,4980,"['c06da6f1-2bc8-4e07-9e62-b13f05d4bcb6', '0c60ec2d-9a85-4945-8284-58f8de7b3289']",48,,,,,,,,,,,,,,,,,Namibia,4980,00:00:48.818,Pass,
,,,,,,,,,,,,,,,,1.054663,,,,,,,,,,,,,,53ce5864-c9d3-47d8-b449-0d386109a03e,86,,,"[74.9, 78.1]",3920407,0,,,,0.13800602,,Head,,,,"[82.1, 79.1]",,Low Pass,,7.2691126,,,Ryan Nyambe,4218.0,,,,,Recovery,1,Regular Play,Aprocious Petrus,136406.0,Center Defensive Midfield,5,Namibia,4980,['940c5a88-84b5-4b91-8c37-67b0a613a5bb'],52,,,,,,,,,,,,,,,,,Namibia,4980,00:00:52.303,Pass,
