50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.19345,,,,,,,,,,,,,,5a5f73c7-fb79-4a99-929e-8cca66f2e73e,1097,,"[90.0, 77.0]",3922243,35,,,,-0.83988965,,Right Foot,,,"[92.6, 74.1]",,Low Pass,,3.8948684,Incomplete,,Evidence Makgopa,65853.0,,,,,,1,From Free Kick,Khuliso Johnson Mudau,65719.0,Right Back,51,South Africa,4976,"['36b3f4b9-03f7-47d3-8f35-97c75add3022', '8c1f8564-505c-49e3-98ce-3280d2ac9970']",5,,,,,,,,,,,,,,,,,South Africa,4976,00:35:05.554,Pass,
,,,,,,,,,,,,,,1.889229,,,,,,,,,,,,,,a97f1d49-02eb-4874-af9b-5c772e59ac26,1103,,"[11.2, 9.5]",3922243,35,,,,0.4447224,,Left Foot,,,"[49.6, 27.8]",,High Pass,,42.537632,,,Youssef En-Nesyri,6301.0,,,,,,1,Regular Play,Noussair Mazraoui,15890.0,Left Back,52,Morocco,788,"['18556345-eae0-4f2e-96a5-c1ae44640717', 'efda8bfe-45cf-4a8c-b573-ffbb6e9c88e6']",9,,,,,,,,,,,,,,,,,Morocco,788,00:35:09.344,Pass,True
,,,,,,,,,,,,,,1.805438,,,,,,,,,,,,,,84f5f3ee-5f5a-4def-8f09-9d82482c0ffd,1109,,"[50.3, 26.9]",3922243,36,True,,,1.5271999,,Right Foot,,,"[51.6, 56.7]",,Ground Pass,,29.828342,,,Nayef Aguerd,12149.0,,,,,Free Kick,1,From Free Kick,Sofyan Amrabat,5234.0,Center Defensive Midfield,53,Morocco,788,['82649df9-7791-4dc8-852e-8c2346106d28'],2,,,,,,,,,,,,,,,,,Morocco,788,00:36:02.281,Pass,
,,,,,,,,,,,,,,1.204337,,,,,,,,,,,,,,fb1b5428-41eb-411d-a6b4-8233b3c31560,1111,,"[51.6, 56.7]",3922243,36,True,,,-1.4161958,,Left Foot,,,"[54.0, 41.3]",,Ground Pass,,15.585891,,,Sofyan Amrabat,5234.0,,,,,,1,From Free Kick,Nayef Aguerd,12149.0,Right Center Back,53,Morocco,788,['5ef5aa4b-cce0-4e48-89fc-e12b146107f7'],5,,,,,,,,,,,,,,,,,Morocco,788,00:36:05.298,Pass,
,,,,,,,,,,,,,,1.129901,,,,,,,,,,,,,,014a1868-bec6-4366-9df1-efa4e5b2e33e,1113,,"[60.7, 38.8]",3922243,36,,,,1.3350058,,Right Foot,,,"[64.4, 54.2]",,Ground Pass,,15.838244,,,Azzedine Ounahi,46258.0,,,,,,1,From Free Kick,Sofyan Amrabat,5234.0,Center Defensive Midfield,53,Morocco,788,['93b61aee-cb2f-4b73-8848-9f98636fef23'],9,,,,,,,,,,,,,,,,,Morocco,788,00:36:09.303,Pass,
,,,,,,,,,,,,,,1.05421,,,,,,,,,,,,,,a689a37b-1508-4064-9724-12c4e3b2b9d9,1116,,"[64.4, 55.1]",3922243,36,,,,2.9889433,,Right Foot,,,"[51.4, 57.1]",,Ground Pass,,13.152946,,,Nayef Aguerd,12149.0,,,,,,1,From Free Kick,Azzedine Ounahi,46258.0,Right Center Midfield,53,Morocco,788,['10bfce7c-347a-4ffb-9ffd-c2d3a689600c'],11,,,,,,,,,,,,,,,,,Morocco,788,00:36:11.302,Pass,
,,,,,,,,,,,,,,1.425285,,,,,,,,,,,,,,6c4a7e51-799d-4e2c-ac37-867f847a7163,1118,,"[51.4, 57.5]",3922243,36,,,,0.9643505,,Left Foot,,,"[63.4, 74.8]",,Ground Pass,,21.054453,,,Achraf Hakimi Mouh,5245.0,,,,,,1,From Free Kick,Nayef Aguerd,12149.0,Right Center Back,53,Morocco,788,['902fea33-9cfc-47d2-9b4c-b9bbaa3107d5'],12,,,,,,,,,,,,,,,,,Morocco,788,00:36:12.356,Pass,
,,,,,,,,,,,,,,1.669662,,,,,,,,,,,,,,0138b622-ced9-4ad0-a084-a686fe41d9bc,1121,,"[63.6, 74.1]",3922243,36,,,,-2.2612429,,Right Foot,,,"[56.0, 64.9]",,Ground Pass,,11.933147,,,Nayef Aguerd,12149.0,,,,,,1,From Free Kick,Achraf Hakimi Mouh,5245.0,Right Back,53,Morocco,788,['6ff8c2f2-6af0-4c6e-b15f-3d699e3ea03f'],15,,,,,,,,,,,,,,,,,Morocco,788,00:36:15.785,Pass,
,,,,,,,,,,,,,,2.662952,,,,,,,,,,,,,,0323ee43-00b0-4d74-9a2d-c3555c92c010,1124,,"[55.2, 63.2]",3922243,36,,,,-1.610219,,Left Foot,,,"[53.5, 20.1]",,Ground Pass,,43.133514,,,Romain Saïss,5219.0,,True,,,,1,From Free Kick,Nayef Aguerd,12149.0,Right Center Back,53,Morocco,788,['0a2f39af-49e7-48b9-9b2b-a2682aab6c81'],18,,,,,,,,,,,,,,,,,Morocco,788,00:36:18.512,Pass,
,,,,,,,,,,,,,,1.603067,,,,,,,,,,,,,,9705dae9-4313-45b7-b870-899268661403,1127,,"[62.9, 14.6]",3922243,36,,,,-0.49782234,,Left Foot,,,"[85.9, 2.1]",,Ground Pass,,26.17728,,,Noussair Mazraoui,15890.0,,,,,,1,From Free Kick,Romain Saïss,5219.0,Left Center Back,53,Morocco,788,['6b4acbe9-ce13-47c9-8ab3-99e2b2b1a733'],23,,,,,,,,,,,,,,,,,Morocco,788,00:36:23.116,Pass,
