ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,"[42.6, 6.0]",,,,,,,,,,,0.24505,,,,,,,,,,,,1ab776b5-1001-4421-8bed-1cda7a0d4e02,1108,,"[42.6, 5.9]",3920417,38,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Nene Dorgeles,199653.0,Left Midfield,71,Mali,4930,"['e9f044bc-de84-4d97-8eb3-4b7e62641660', 'ac9d7983-7866-4cdc-ba9a-2374658493a6']",19,,,,,,,,,,,,,,,,,,Mali,4930,00:38:19.569,Carry,
,,"[41.5, 30.6]",,,,,,,,,,,1.563509,,,,,,,,,,,,347228f3-8200-4b1b-8013-6b7de76cbf8a,1111,,"[41.1, 32.4]",3920417,38,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Aliou Dieng,67714.0,Right Defensive Midfield,71,Mali,4930,"['4cbce707-b69c-431e-ad04-8376130bfc90', 'b5d9c373-0f85-40a9-b450-3b99ee7435b8']",21,,,,,,,,,,,,,,,,,,Mali,4930,00:38:21.432,Carry,
,,"[56.4, 60.2]",,,,,,,,,,,2.148853,,,,,,,,,,,,ee520913-6c21-4424-b276-c1e4a604c030,1114,,"[49.4, 62.6]",3920417,38,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Hamari Traoré,3248.0,Right Back,71,Mali,4930,"['6ea90fe6-8e1d-476e-92f8-834e1e5a290b', 'c941585b-b7a5-4544-abf5-916109129b46']",24,,,,,,,,,,,,,,,,,,Mali,4930,00:38:24.597,Carry,
,,"[92.9, 75.2]",,,,,,,,,,,7.038555,,,,,,,,,,,,350b2b97-bcf3-4468-bf1f-23c897b75832,1117,,"[82.8, 77.3]",3920417,38,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Fousseni Diabaté,3710.0,Right Midfield,71,Mali,4930,"['3d2b64ea-1a0f-4c77-8ca2-27da06806f0f', 'b62b80e5-ed08-43c4-9f49-e5bc1124960e', '8828a246-119e-488d-b853-8dacd08b4074']",29,,,,,,,,,,,,,,,,,,Mali,4930,00:38:29.068,Carry,True
,,"[77.0, 71.0]",,,,,,,,,,,1.724063,,,,,,,,,,,,214e8d09-1f53-4923-9d1f-3022bfbe624e,1121,,"[77.0, 71.0]",3920417,38,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Aliou Dieng,67714.0,Right Defensive Midfield,71,Mali,4930,"['8f620989-f8f3-46b6-a3f1-916b3f90d8ac', '40648180-2916-4c5b-8518-2d0a55ab70d5']",37,,,,,,,,,,,,,,,,,,Mali,4930,00:38:37.975,Carry,
,,"[63.3, 61.8]",,,,,,,,,,,1.14275,,,,,,,,,,,,c52db416-5c12-474d-a64f-530619ed1e76,1124,,"[63.3, 62.0]",3920417,38,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Boubakar Kouyate,23331.0,Right Center Back,71,Mali,4930,"['4f0b7656-bb35-4b85-8ac9-f707eabfd8b5', '864f2a9f-9e0c-406e-90b5-e2563295d7e7']",41,,,,,,,,,,,,,,,,,,Mali,4930,00:38:41.125,Carry,
,,"[68.6, 57.4]",,,,,,,,,,,1.449823,,,,,,,,,,,,39d02360-82cd-4c49-bf2f-36656c04160c,1127,,"[68.3, 57.3]",3920417,38,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Yves Bissouma,4385.0,Left Defensive Midfield,71,Mali,4930,"['fca30a49-051a-4808-a2eb-b7c280150469', '0c6d6958-3ce9-4105-9f42-121aec392f39']",43,,,,,,,,,,,,,,,,,,Mali,4930,00:38:43.115,Carry,
,,"[70.8, 68.4]",,,,,,,,,,,0.690698,,,,,,,,,,,,16cdf4d1-05f1-43b7-8952-27d661619cdf,1130,,"[69.8, 69.9]",3920417,38,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Hamari Traoré,3248.0,Right Back,71,Mali,4930,"['7d816841-cd27-429a-b600-8995bcd35c28', 'a6549363-f58c-4a00-a17a-80046d71a03f']",45,,,,,,,,,,,,,,,,,,Mali,4930,00:38:45.314,Carry,
,,"[57.9, 54.6]",,,,,,,,,,,5.327685,,,,,,,,,,,,e6acee67-472d-448d-a149-9188ce51509d,1133,,"[57.5, 63.5]",3920417,38,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Boubakar Kouyate,23331.0,Right Center Back,71,Mali,4930,"['8d0e4408-3235-41cd-b46d-e30e8fc9fc01', '028da7ae-8d73-4960-9bc5-5a6fd8cb5d55']",47,,,,,,,,,,,,,,,,,,Mali,4930,00:38:47.515,Carry,
,,"[63.6, 72.6]",,,,,,,,,,,1.651107,,,,,,,,,,,,f9886450-89dd-4da8-8f3f-9c39359039be,1136,,"[63.9, 72.9]",3920417,38,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Hamari Traoré,3248.0,Right Back,71,Mali,4930,"['9c80a91f-106b-4cc6-9d4b-8f58bfd94c50', '9ad62715-7347-4d0c-b89d-37033579d8f4']",54,,,,,,,,,,,,,,,,,,Mali,4930,00:38:54.260,Carry,
