50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.536557,,,,,,,,,,,,,95b2c356-7b6a-4497-861c-ed3324951781,46,,,"[47.3, 5.2]",3920405,0,,,,0.0,,Head,,,"[65.3, 5.2]",,High Pass,,18.0,,,,,Yoane Wissa,7294.0,,,,,Recovery,1,From Kick Off,Arthur Masuaku,3587.0,Left Back,2,Morocco,788,"['ceda6a34-4069-4ec5-9f7a-6d0f21c5a383', '38d7763e-c533-47e4-9b27-5e9a94656256']",41,,,,,,,,,,,,,,,,,Congo DR,4881,00:00:41.822,Pass,
,,,,,,,,,,,,,,,,0.543574,,,,,,,,,,,,,ce2f0cfd-3171-4461-9b58-7d90e43bdc29,51,,,"[55.8, 74.2]",3920405,0,,,,3.1415927,,Left Foot,,,"[53.0, 74.2]",,Ground Pass,,2.8,,,,,Achraf Hakimi Mouh,5245.0,,,,,Recovery,1,From Kick Off,Hakim Ziyech,5237.0,Right Midfield,2,Morocco,788,['468c203d-d57d-46a7-84c6-4d5113644aa5'],45,,,,,,,,,,,,,,,,,Morocco,788,00:00:45.388,Pass,
,,,,,,,,,,,,,,,,1.162952,,,,,,,,,,,,,21cf3e2d-538b-40b7-b971-5e4226373d32,55,,,"[49.0, 76.9]",3920405,0,,,,-2.4798212,,Left Foot,,,"[39.5, 69.5]",,Ground Pass,,12.042009,,,,,Nayef Aguerd,12149.0,,,,,,1,From Kick Off,Achraf Hakimi Mouh,5245.0,Right Back,2,Morocco,788,"['65bffe68-b67d-4be5-b91d-44d0a5bb8d6b', 'b6eaa2be-2155-4bf7-9547-f8f484f7169c']",46,,,,,,,,,,,,,,,,,Morocco,788,00:00:46.976,Pass,True
,,,,,,,,,,,,,,,,0.83382,,,,,,,,,,,,,17317ba1-ecfd-4b53-8936-7d3138de308e,57,,,"[38.8, 69.5]",3920405,0,,,,0.0489804,,Left Foot,,,"[49.0, 70.0]",,Ground Pass,,10.212248,,,,,Hakim Ziyech,5237.0,,,,,,1,From Kick Off,Nayef Aguerd,12149.0,Right Center Back,2,Morocco,788,['2c8804ee-befb-495e-bc37-c3f785189447'],48,,,,,,,,,,,,,,,,,Morocco,788,00:00:48.139,Pass,
,,,,,,,,,,,,,,,,0.96885,,,,,,,,,,,,,af13882e-c68a-4ed7-babf-cfd708a57592,60,,,"[49.0, 70.0]",3920405,0,,,,-1.5142529,,Left Foot,,,"[49.6, 59.4]",,Low Pass,,10.616967,,,,,Sofyan Amrabat,5234.0,,,,,,1,From Kick Off,Hakim Ziyech,5237.0,Right Midfield,2,Morocco,788,['9acb76d0-7d1b-4f01-b4a0-6fb725e85fa2'],48,,,,,,,,,,,,,,,,,Morocco,788,00:00:48.996,Pass,
,,,,,,,,,,,,,,,,2.244194,,,,,,,,,,,,,b5897459-73a7-4038-b217-1a8a7085b3fb,64,,,"[51.1, 51.8]",3920405,0,,,,-1.4619842,,Right Foot,,,"[56.3, 4.2]",,High Pass,,47.88319,,,,,Mohamed Chibi,143165.0,,True,,,,1,From Kick Off,Sofyan Amrabat,5234.0,Center Defensive Midfield,2,Morocco,788,"['03af3658-3667-404d-8210-2f33ff85ebe2', '775374de-7f8c-434c-8be8-5dd1e0e56f69']",51,,,,,,,,,,,,,,,,,Morocco,788,00:00:51.029,Pass,True
,,,,,,,,,,,,,,,,2.314197,,,,,,,,,,,,,7a6ee698-a2ef-4cca-b2f3-b809be6be935,67,,,"[61.7, 5.5]",3920405,0,,,,-0.28728145,,Right Foot,,,"[74.9, 1.6]",,Ground Pass,,13.764084,,,,,Sofiane Boufal,3625.0,,,,,,1,From Kick Off,Mohamed Chibi,143165.0,Left Back,2,Morocco,788,['39be5349-6fc9-4fb9-b614-290a12213b2d'],54,,,,,,,,,,,,,,,,,Morocco,788,00:00:54.851,Pass,
,,,,,,,,,,,,,,,,2.736158,,,,,,,,,,,,,2a3f33e2-781e-4d96-87a9-e78faae82700,70,,,"[84.4, 20.3]",3920405,1,,,,1.1572797,,Right Foot,,,"[105.2, 67.7]",,High Pass,,51.76292,,,,,Hakim Ziyech,5237.0,,True,,,,1,From Kick Off,Sofiane Boufal,3625.0,Left Midfield,2,Morocco,788,['7731ae64-78f8-468f-b4f9-5c56b43fba63'],1,,,,,,,,,,,,,,,,,Morocco,788,00:01:01.316,Pass,
,,,,,,,,,,,,,,,,1.537021,,,,,,,,,,,,,cad920e1-27f1-4996-b192-1a0f7c60e91f,74,,,"[105.2, 68.8]",3920405,1,,,,-2.8937812,,Left Foot,,,"[96.9, 66.7]",,Ground Pass,,8.561542,,,,,Achraf Hakimi Mouh,5245.0,,,,,,1,From Kick Off,Hakim Ziyech,5237.0,Right Midfield,2,Morocco,788,"['3c6f4b7b-da3b-4747-817f-a8707143daa1', '4bf38a1b-1168-427f-800e-fa5bfe1b196b']",4,,,,,,,,,,,,,,,,,Morocco,788,00:01:04.397,Pass,True
,,,,,,,,,,,,,,,,1.441563,,,,,,,,,,,,,0c6693e4-99ff-4a9b-97d5-d165cac992ec,77,,,"[97.9, 66.1]",3920405,1,,,,-1.0721979,6d35703c-e06b-40a8-98a8-9ce536cc3996,Right Foot,True,,"[113.2, 38.0]",,High Pass,,31.995312,,,,,Youssef En-Nesyri,6301.0,True,,,,,1,From Kick Off,Achraf Hakimi Mouh,5245.0,Right Back,2,Morocco,788,['6b161178-b700-40af-92b5-762173522b89'],5,,,,,,,,,,,,,,,,,Morocco,788,00:01:05.970,Pass,
