50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,1.10215,,,,,,,,,,,,,533a6dd0-ee8f-480d-ba0c-c98eb3710764,1015,,"[50.9, 35.2]",3922242,32,,,,,0.27609703,,Other,,,"[56.9, 36.9]",,Low Pass,,6.2361846,,,,Lamine Camara,392153.0,,,,,Recovery,1,Regular Play,Moussa Niakhate,3198.0,Left Center Back,52,Senegal,787,"['20a5057a-a8ed-4ccf-b3a1-e88b0e2dbd5d', '0973ec3e-e05d-4d05-a021-b4ac722ed590']",50,,,,,,,,,,,,,,,,,Senegal,787,00:32:50.777,Pass,
,,,,,,,,,,,,,,,,,,,4.167657,,,,,,,,,,,,,2f6ee526-ace1-435e-922f-b8cc50c57680,1017,,"[56.9, 36.9]",3922242,32,,True,,,2.976444,,Right Foot,,,"[16.1, 43.7]",,High Pass,,41.362785,,,,Edouard Mendy,7379.0,,,,,,1,Regular Play,Lamine Camara,392153.0,Left Defensive Midfield,52,Senegal,787,['5ed10adc-36c0-4828-ad6f-dfdc660c14aa'],51,,,,,,,,,,,,,,,,,Senegal,787,00:32:51.953,Pass,
,,,,,,,,,,,,,,,,,,,1.266125,,,,,,,,,,,,,0fb1a270-7f10-4fd4-a263-4992104ac9f8,1019,,"[16.5, 44.2]",3922242,32,,True,,,-1.1861916,,Right Foot,,,"[19.9, 35.8]",,Ground Pass,,9.062009,,,,Abdou Diallo,8553.0,,,,,,1,Regular Play,Edouard Mendy,7379.0,Goalkeeper,52,Senegal,787,['594436ae-7be8-4d15-9a2d-abab3da40598'],57,,,,,,,,,,,,,,,,,Senegal,787,00:32:57.120,Pass,
,,,,,,,,,,,,,,,,,,,1.247724,,,,,,,,,,,,,9e128f03-53db-4622-ad39-898b160c6b1b,1021,,"[21.3, 33.6]",3922242,33,,,,,-0.7853982,,Left Foot,,,"[35.9, 19.0]",,Ground Pass,,20.647518,,,,Moussa Niakhate,3198.0,,,,,,1,Regular Play,Abdou Diallo,8553.0,Center Back,52,Senegal,787,['ab104107-e317-493e-9826-3115d6ffa17b'],0,,,,,,,,,,,,,,,,,Senegal,787,00:33:00.172,Pass,
,,,,,,,,,,,,,,,,,,,1.107,,,,,,,,,,,,,54f16b73-9639-40ab-bdb4-d5b343d81dc8,1024,,"[37.5, 19.0]",3922242,33,,,,,1.4749372,,Left Foot,,,"[39.0, 34.6]",,Ground Pass,,15.671949,,,,Lamine Camara,392153.0,,,,,,1,Regular Play,Moussa Niakhate,3198.0,Left Center Back,52,Senegal,787,['a2cead93-33db-4ea6-b134-99fcaff733b1'],3,,,,,,,,,,,,,,,,,Senegal,787,00:33:03.020,Pass,
,,,,,,,,,,,,,,,,,,,1.638762,,,,,,,,,,,,,91730810-3c59-4212-8632-e74e2ba9213b,1026,,"[39.0, 34.6]",3922242,33,,,,,-2.8894966,,Right Foot,,,"[25.8, 31.2]",,Ground Pass,,13.630847,,,,Abdou Diallo,8553.0,,,,,,1,Regular Play,Lamine Camara,392153.0,Left Defensive Midfield,52,Senegal,787,['1c0db987-f360-4229-83bf-a8d62544debf'],4,,,,,,,,,,,,,,,,,Senegal,787,00:33:04.127,Pass,
,,,,,,,,,,,,,,,,,,,1.774455,,,,,,,,,,,,,05556980-33f6-491e-8e28-b916a09d3b5a,1029,,"[25.0, 31.2]",3922242,33,,,,,2.201414,,Left Foot,,,"[13.1, 47.5]",,Ground Pass,,20.181675,,,,Edouard Mendy,7379.0,,,,,,1,Regular Play,Abdou Diallo,8553.0,Center Back,52,Senegal,787,['459dec55-486c-4b8b-934a-ef02ec3726e0'],5,,,,,,,,,,,,,,,,,Senegal,787,00:33:05.827,Pass,
,,,,,,,,,,,,,,,,,,,1.363961,,,,,,,,,,,,,554445af-b8b8-45f9-aaf7-da1160ed52a2,1033,,"[12.9, 48.2]",3922242,33,,,,,-0.36792234,,Right Foot,,,"[30.8, 41.3]",,Ground Pass,,19.183847,,,,Lamine Camara,392153.0,,,,,,1,Regular Play,Edouard Mendy,7379.0,Goalkeeper,52,Senegal,787,"['9dfc4f62-88c4-4c2b-b353-4abe2e179c06', 'ee70461e-02be-4ec0-8ce1-748f269d7fc4']",8,,,,,,,,,,,,,,,,,Senegal,787,00:33:08.455,Pass,True
,,,,,,,,,,,,,,,,,,,1.787948,,,,,,,,,,,,,5f006673-c9f4-4900-a859-2be8cf1a6600,1036,,"[29.1, 40.0]",3922242,33,,,,,-1.2645656,,Right Foot,,,"[37.7, 12.8]",,Ground Pass,,28.52718,,,,Moussa Niakhate,3198.0,,,,,,1,Regular Play,Lamine Camara,392153.0,Left Defensive Midfield,52,Senegal,787,['9d5cb67a-aa2b-4535-ad63-449d7074e8f3'],10,,,,,,,,,,,,,,,,,Senegal,787,00:33:10.521,Pass,
,,,,,,,,,,,,,,,,,,,0.852033,,,,,,,,,,,,,c7df6126-3b0b-41a3-81a3-644084da7b47,1039,,"[38.4, 9.0]",3922242,33,,,,,0.69264185,,Left Foot,,,"[52.5, 20.7]",,Ground Pass,,18.322117,,,,Sadio Mané,3629.0,,,,,,1,Regular Play,Moussa Niakhate,3198.0,Left Center Back,52,Senegal,787,['6a7145c0-c71c-46e4-9d21-a8ce31ab48ae'],12,,,,,,,,,,,,,,,,,Senegal,787,00:33:12.591,Pass,
,,,,,,,,,,,,,,,,,,,1.034471,,,,,,,,,,,,,9018c6dd-1480-4921-ad1f-153f8b6a8e78,1045,,"[68.9, 13.6]",3922242,33,,True,,,2.5561874,,Left Foot,,,"[51.1, 25.4]",,Ground Pass,,21.35603,,,,Moussa Niakhate,3198.0,,,,,Free Kick,1,From Free Kick,Ismail Jakobs,32915.0,Left Wing Back,53,Senegal,787,['4828555d-f456-494e-a5c2-341d5b1ca77d'],43,,,,,,,,,,,,,,,,,Senegal,787,00:33:43.694,Pass,
,,,,,,,,,,,,,,,,,,,1.784297,,,,,,,,,,,,,91a5fcbe-ac55-487e-8623-d1fff7e39b35,1047,,"[58.0, 39.5]",3922242,33,,True,,,1.817375,,Left Foot,,,"[54.3, 54.2]",,Ground Pass,,15.158496,,,,Kalidou Koulibaly,5675.0,,,,,,1,From Free Kick,Moussa Niakhate,3198.0,Left Center Back,53,Senegal,787,['fd950bc3-1363-40d1-b555-9cd887300c4e'],44,,,,,,,,,,,,,,,,,Senegal,787,00:33:44.786,Pass,
,,,,,,,,,,,,,,,,,,,0.987146,,,,,,,,,,,,,5d2b0b7d-7ef8-4329-b5bd-a40a20ba2f16,1049,,"[54.3, 54.2]",3922242,33,,,,,0.15333238,,Right Foot,,,"[65.3, 55.9]",,Ground Pass,,11.130589,,,,Ismaïla Sarr,2941.0,,,,,,1,From Free Kick,Kalidou Koulibaly,5675.0,Right Center Back,53,Senegal,787,['1de159ec-a619-4c2a-8855-515a566a1cfc'],47,,,,,,,,,,,,,,,,,Senegal,787,00:33:47.672,Pass,
,,,,,,,,,,,,,,,,,,,1.621304,,,,,,,,,,,,,8a20792e-d970-4988-ad71-9ce7c6619105,1052,,"[64.0, 53.8]",3922242,33,,,,,-2.6473618,,Right Foot,,,"[43.4, 42.7]",,Ground Pass,,23.400213,,,,Abdou Diallo,8553.0,,,,,,1,From Free Kick,Ismaïla Sarr,2941.0,Right Wing,53,Senegal,787,['f1371c76-109a-4b5c-be0d-9a5d65dac728'],49,,,,,,,,,,,,,,,,,Senegal,787,00:33:49.481,Pass,
,,,,,,,,,,,,,,,,,,,1.130278,,,,,,,,,,,,,bda36ec3-73f5-4e0c-8e74-af7c1275cdee,1055,,"[40.4, 41.9]",3922242,33,,,,,-1.3258177,,Left Foot,,,"[43.8, 28.3]",,Ground Pass,,14.018559,,,,Moussa Niakhate,3198.0,,,,,,1,From Free Kick,Abdou Diallo,8553.0,Center Back,53,Senegal,787,['f1a22177-bac3-4ef3-98d3-c0e702bc10d8'],52,,,,,,,,,,,,,,,,,Senegal,787,00:33:52.505,Pass,
,,,,,,,,,,,,,,,,,,,1.334422,,,,,,,,,,,,,e311b469-5470-484b-9a7e-3f787191fb50,1058,,"[43.8, 28.3]",3922242,33,,,,,2.5886312,,Left Foot,,,"[31.0, 36.2]",,Ground Pass,,15.041609,,,,Abdou Diallo,8553.0,,,,,,1,From Free Kick,Moussa Niakhate,3198.0,Left Center Back,53,Senegal,787,['017369e4-5539-4956-9948-af23b0b73b9b'],53,,,,,,,,,,,,,,,,,Senegal,787,00:33:53.748,Pass,
