50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.159998,,,,,,,,,,,cf64019f-5416-4a22-bdf8-d7a157601c18,1623,,"[82.2, 10.2]",3920408,59,,True,,,1.5241014,,Right Foot,,,"[85.2, 74.4]",,Ground Pass,,64.27006,,,,Obite Evan Ndicka,7713.0,,,True,,,Free Kick,2,From Free Kick,Seko Fofana,7791.0,Left Center Midfield,109,Côte d'Ivoire,3374,['d08c253b-d734-4681-a5a5-f35f72766385'],35,,,,,,,,,,,,,,,,Côte d'Ivoire,3374,00:14:35.587,Pass,
,,,,,,,,,,,,,,,,,2.68,,,,,,,,,,,59561d1e-97ba-4894-9b6b-d66b54cba13b,1625,,"[84.1, 17.5]",3920408,59,,True,,,-1.483639,,Right Foot,,,"[85.0, 7.2]",,Ground Pass,,10.339246,,,,Wilfried Stephane Singo,36539.0,,,,,,,2,From Free Kick,Obite Evan Ndicka,7713.0,Left Center Back,109,Côte d'Ivoire,3374,['c386ac3c-ce4e-470c-a7d3-6b3aef042001'],36,,,,,,,,,,,,,,,,Côte d'Ivoire,3374,00:14:36.863,Pass,
,,,,,,,,,,,,,,,,,5.439992,,,,,,,,,,,dcbf5eea-1b36-4bc5-acd1-a9f8e70c7d02,1627,,"[100.2, 6.8]",3920408,59,,,,,3.1415927,,Right Foot,,,"[83.5, 6.8]",,High Pass,,16.7,,,,Obite Evan Ndicka,7713.0,,,,,,,2,From Free Kick,Wilfried Stephane Singo,36539.0,Right Back,109,Côte d'Ivoire,3374,['9584fc09-49db-4603-83b5-28b83bf6c507'],39,,,,,,,,,,,,,,,,Côte d'Ivoire,3374,00:14:39.564,Pass,
,,,,,,,,,,,,,,,,,2.879997,,,,,,,,,,,a8dc1835-90a6-4746-901b-8f0db7d3600c,1630,,"[57.8, 34.2]",3920408,59,,,,,-1.2985103,,Left Foot,,,"[62.1, 18.8]",,Ground Pass,,15.9890585,,,,Willy Boly,9933.0,,,,,,,2,From Free Kick,Obite Evan Ndicka,7713.0,Left Center Back,109,Côte d'Ivoire,3374,['3c9b62ee-6e4b-429c-9c7e-6d2f3c93b5e2'],46,,,,,,,,,,,,,,,,Côte d'Ivoire,3374,00:14:46.644,Pass,
,,,,,,,,,,,,,,,,,0.839999,,,,,,,,,,,148fc338-1d0e-4bf0-aa13-b3faa704767d,1633,,"[58.5, 33.1]",3920408,59,,,,,-1.1512377,,Right Foot,,,"[64.7, 19.2]",,Ground Pass,,15.220053,,,,Franck Yannick Kessié,7023.0,,,,,,,2,From Free Kick,Willy Boly,9933.0,Right Center Back,109,Côte d'Ivoire,3374,['8f00d9b0-1f73-4174-a268-eae407540a18'],49,,,,,,,,,,,,,,,,Côte d'Ivoire,3374,00:14:49.575,Pass,
,,,,,,,,,,,,,,,,,1.199999,,,,,,,,,,,bae95655-bc19-4e87-818f-3d53b4f8fca8,1636,,"[64.7, 19.2]",3920408,59,,,,,-1.1144478,,Right Foot,,,"[72.8, 2.7]",,Ground Pass,,18.380968,,,,Obite Evan Ndicka,7713.0,,,,,,,2,From Free Kick,Franck Yannick Kessié,7023.0,Center Defensive Midfield,109,Côte d'Ivoire,3374,['fa68c8b9-42ac-4256-ae8a-5d0c851a350f'],51,,,,,,,,,,,,,,,,Côte d'Ivoire,3374,00:14:51.095,Pass,
,,,,,,,,,,,,,,,,,0.839999,,,,,,,,,,,7fe65328-7c50-4fde-9c89-3d68cfb946cb,1639,,"[73.4, 4.0]",3920408,59,,,,,-0.06073602,,Left Foot,,,"[88.2, 3.1]",,Ground Pass,,14.827339,,,,Ghislain Konan,10039.0,,,,,,,2,From Free Kick,Obite Evan Ndicka,7713.0,Left Center Back,109,Côte d'Ivoire,3374,['e9f918e7-7dc5-4697-9103-c893d61894d3'],53,,,,,,,,,,,,,,,,Côte d'Ivoire,3374,00:14:53.446,Pass,
,,,,,,,,,,,,,,,,,1.239999,,,,,,,,,,,876039e4-36d7-41ca-a7c3-86cd574dc6c4,1642,,"[83.9, 2.9]",3920408,59,,,,,1.0587535,,Right Foot,,,"[91.6, 16.6]",,Ground Pass,,15.715597,,,,Seko Fofana,7791.0,,,,,,,2,From Free Kick,Ghislain Konan,10039.0,Left Back,109,Côte d'Ivoire,3374,['8d4cc13b-a486-4a40-a3e0-ed559d9a8a88'],55,,,,,,,,,,,,,,,,Côte d'Ivoire,3374,00:14:55.076,Pass,
,,,,,,,,,,,,,,,,,1.244333,,,,,,,,,,,97c2bcac-ef1a-4a85-8325-e5dd3273cbca,1646,,"[89.5, 14.5]",3920408,59,,,,,0.76499283,,Left Foot,,,"[99.5, 24.1]",,Ground Pass,,13.862179,,Incomplete,,Christian Kouamé,12496.0,,,,,,,2,From Free Kick,Seko Fofana,7791.0,Left Center Midfield,109,Côte d'Ivoire,3374,"['b8596daa-7b64-45a6-a8d8-a2d080669a32', '83f69dc0-7c73-43ff-ae0f-76ce1b07af5b', 'cb62b1ca-f860-4737-9afd-9328d4b07c45']",56,,,,,,,,,,,,,,,,Côte d'Ivoire,3374,00:14:56.996,Pass,True
,,,,,,,,,,,,,,,,,1.679999,,,,,,,,,,,a43c3d9d-a347-4052-a7b8-36fde2968de3,1651,,"[29.8, 39.5]",3920408,60,,,,,-1.1529431,,Right Foot,,,"[40.9, 14.5]",,Ground Pass,,27.353428,,,,Franck Yannick Kessié,7023.0,,,,,,,2,From Free Kick,Willy Boly,9933.0,Right Center Back,109,Côte d'Ivoire,3374,['e7c8bc36-febe-4d32-ab59-d865b0e113b7'],6,,,,,,,,,,,,,,,,Côte d'Ivoire,3374,00:15:06.291,Pass,
