50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,3.30437,,,,,,,,,,,30edfbf2-9718-4138-af61-0b118f2ac362,727,,,"[15.7, 34.9]",3920387,18,,,,0.16789593,,Right Foot,,,"[68.8, 43.9]",,High Pass,,53.85731,,Incomplete,,Antoine Semenyo,9286.0,,,,,,1,From Throw In,Richard Ofori Antwi,68757.0,Goalkeeper,30,Ghana,4885,"['9dbf4c9d-f93a-460e-bce4-5aee5ca12098', '065f21b1-52ca-4cbd-844d-45e3f9f360a2', 'a77c8428-e774-4a93-bb31-be087e4f6d29']",46,,,,,,,,,,,,,,,,,Ghana,4885,00:18:46.762,Pass,True
,,,,,,,,,,,,,,,,,1.685058,,,,,,,,,,,3694660f-59f2-47c7-9891-5ea9494bb33d,731,,,"[61.9, 45.4]",3920387,18,,,True,-1.0776666,,,,,"[69.8, 30.7]",,High Pass,,16.68832,,Incomplete,,Jovane Eduardo Borges Cabral,10598.0,,,,,Recovery,1,From Throw In,Deroy Duarte,8349.0,Right Center Midfield,30,Ghana,4885,"['e4b87f29-3806-4c36-96fa-80eb7772a733', 'cc8a75cc-171f-46ae-901c-56dc31b0e97a', 'e13d7cb5-5f61-47d6-8891-ede638cd1327']",52,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:18:52.149,Pass,True
,,,,,,,,,,,,,,,,,2.405129,,,,,,,,,,,e13d7cb5-5f61-47d6-8891-ede638cd1327,734,,,"[50.3, 49.4]",3920387,18,,,,-0.8058035,,Head,,,"[67.1, 31.9]",,High Pass,,24.258812,,Incomplete,,Antoine Semenyo,9286.0,,,,,Recovery,1,From Throw In,Denis Odoi,12259.0,Right Back,30,Ghana,4885,"['bcb21271-f8aa-4143-b72d-996e243ed03e', '3694660f-59f2-47c7-9891-5ea9494bb33d', '49e7bd6c-bf69-42d3-868d-cdc030a071c7']",53,,,,,,,,,,,,,,,,,Ghana,4885,00:18:53.835,Pass,
,,,,,,,,,,,,,,,,,1.878791,,,,,,,,,,,bcb21271-f8aa-4143-b72d-996e243ed03e,736,,,"[53.0, 48.2]",3920387,18,,,,-0.64130574,,Head,,,"[67.6, 37.3]",,High Pass,,18.220043,,Incomplete,,Jamiro Gregory Monteiro Alvarenga,7753.0,,,,,Recovery,1,From Throw In,Logan Costa,45557.0,Right Center Back,30,Ghana,4885,"['9a9e58dc-e1e3-4006-988c-053825f35b03', '2231fa97-7c18-4929-8875-887a66976544', 'e13d7cb5-5f61-47d6-8891-ede638cd1327']",56,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:18:56.240,Pass,
,,,,,,,,,,,,,,,,,1.508843,,,,,,,,,,,2231fa97-7c18-4929-8875-887a66976544,738,,,"[52.5, 42.8]",3920387,18,,,,0.0,,Head,,,"[73.9, 42.8]",,High Pass,,21.4,,Incomplete,,Antoine Semenyo,9286.0,,,,,Recovery,1,From Throw In,Alexander Djiku,2989.0,Right Center Back,30,Ghana,4885,"['24c014ae-d3c0-4378-8dca-e261e7c2b182', 'f1c43a69-31c0-416b-9984-5ce8ee205b5c', 'bcb21271-f8aa-4143-b72d-996e243ed03e']",58,,,,,,,,,,,,,,,,,Ghana,4885,00:18:58.118,Pass,
,,,,,,,,,,,,,,,,,3.012751,,,,,,,,,,,24c014ae-d3c0-4378-8dca-e261e7c2b182,740,,,"[46.2, 37.3]",3920387,18,,,,-1.0743736,,Head,,,"[57.9, 15.7]",,High Pass,,24.56522,,Incomplete,,João Paulo Moreira Fernandes,133038.0,,,,,Recovery,1,From Throw In,Roberto Lopes,36271.0,Left Center Back,30,Ghana,4885,"['2231fa97-7c18-4929-8875-887a66976544', '4a6f030b-bb57-4274-8a41-f7c52de78248', '4d321516-e54b-4047-8372-7af8b15e3adc']",59,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:18:59.627,Pass,
,,,,,,,,,,,,,,,,,1.293126,,,,,,,,,,,d21c1127-edf8-49eb-8b37-03701a7b9181,751,,,"[22.3, 18.7]",3920387,19,,,,-0.5994525,,Right Foot,,,"[34.3, 10.5]",,Ground Pass,,14.534098,,,,Jamiro Gregory Monteiro Alvarenga,7753.0,,,,,,1,Regular Play,Kevin Lenini Gonçalves Pereira de Pina,132800.0,Center Defensive Midfield,31,Cape Verde Islands,4924,['ebe21500-c9fb-4460-8a45-552f4012b740'],16,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:19:16.205,Pass,
,,,,,,,,,,,,,,,,,1.482207,,,,,,,,,,,7039e8eb-324e-44a8-804b-1704b3ec8bc7,753,,,"[34.3, 10.5]",3920387,19,,,,2.673358,,Left Foot,,,"[25.6, 14.9]",,Ground Pass,,9.749359,,,,Kevin Lenini Gonçalves Pereira de Pina,132800.0,,,,,,1,Regular Play,Jamiro Gregory Monteiro Alvarenga,7753.0,Left Center Midfield,31,Cape Verde Islands,4924,['0756d65f-bad0-43f6-bf19-8e2776b910e7'],17,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:19:17.498,Pass,
,,,,,,,,,,,,,,,,,0.996871,,,,,,,,,,,80b2d27d-0dba-44e1-bd6f-4d03b2ae35c2,756,,,"[27.0, 12.4]",3920387,19,,,,-0.5000687,,Right Foot,,,"[36.7, 7.1]",,Ground Pass,,11.053506,,,,Jamiro Gregory Monteiro Alvarenga,7753.0,,,,,,1,Regular Play,Kevin Lenini Gonçalves Pereira de Pina,132800.0,Center Defensive Midfield,31,Cape Verde Islands,4924,['8dcf2358-fca0-4a1b-a51c-f0dac6553ffa'],19,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:19:19.603,Pass,
,,,,,,,,,,,,,,,,,1.439479,,,,,,,,,,,6cbc9a3b-ac74-4854-aef6-7a227249a5ec,759,,,"[36.5, 6.9]",3920387,19,,,,1.1246908,,Right Foot,,,"[46.4, 27.6]",,High Pass,,22.945587,,Incomplete,,Steven Moreira,7197.0,,,,,,1,Regular Play,Jamiro Gregory Monteiro Alvarenga,7753.0,Left Center Midfield,31,Cape Verde Islands,4924,"['1370a81d-f056-44e5-bc5f-30174d1883fa', 'fe98ff23-6a53-40a1-bfa6-d499ee006066']",23,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:19:23.132,Pass,
