bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3d7a2a42-cb15-4ef7-b88f-0a2f32d37dc2,1646,,"[103.4, 43.5]",3922321,46,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Victor James Osimhen,11277.0,Center Forward,88,Nigeria,775,['4490bf20-f3f5-455f-a8b1-294bd9313118'],18,,,,,,,,,,,,,,,,,Nigeria,775,00:01:18.522,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,daaf85d2-1d79-4e65-b849-6dca22e1da28,1649,,"[93.0, 34.4]",3922321,46,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Alex Iwobi,3647.0,Left Defensive Midfield,88,Nigeria,775,['25561c5b-fbf1-4ef9-b369-bf17dd4bd041'],20,,,,,,,,,,,,,,,,,Nigeria,775,00:01:20.948,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,388c7408-fce5-4094-90b6-4672aa4c82c5,1654,,"[111.9, 24.3]",3922321,46,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Moses Daddy-Ajala Simon,18163.0,Left Attacking Midfield,89,Nigeria,775,['98c7efa5-e173-4f36-b414-0974fc4b6f8a'],52,,,,,,,,,,,,,,,,,Nigeria,775,00:01:52.290,Ball Receipt*,
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,dedf2012-3f64-4657-b93c-b8684b4c5306,1656,,"[115.7, 20.5]",3922321,46,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Zaidu Sanusi,31949.0,Left Wing Back,89,Nigeria,775,['b10bc7cc-33be-4cd7-bd65-49001a1c8566'],53,,,,,,,,,,,,,,,,,Nigeria,775,00:01:53.634,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,97cb4f96-ec34-4d4f-a1b4-45e7fa281448,1658,,"[5.2, 60.2]",3922321,46,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Deivi Miguel Vieira,389328.0,Right Wing,89,Nigeria,775,['c17b0a31-cc38-46b9-8c75-27c354f00ef0'],53,,,,,,,,,,,,,,,,,Angola,4901,00:01:53.911,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,671bda3f-d662-45cf-bf6f-b0a067541f04,1665,,"[107.1, 13.0]",3922321,47,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Ademola Lookman,3447.0,Right Attacking Midfield,89,Nigeria,775,['8374dc4a-0563-4f48-9c68-98daeaa5323a'],5,,,,,,,,,,,,,,,,,Nigeria,775,00:02:05.761,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,e38c5f6d-9bfd-49f9-90f2-177d2f8aa5b9,1668,,"[105.5, 27.6]",3922321,47,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Zaidu Sanusi,31949.0,Left Wing Back,89,Nigeria,775,['2001e3bc-c141-4687-807a-db43132d910e'],8,,,,,,,,,,,,,,,,,Nigeria,775,00:02:08.881,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,58ec7fc3-55fe-4cfd-bea8-4a5d246af53b,1672,,"[72.0, 26.2]",3922321,47,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Ambrosini Antonio Cabaça Salvador,136312.0,Left Center Midfield,90,Angola,4901,['fb2737f0-68a5-4b11-b1fc-5b43d3c2d2e7'],39,,,,,,,,,,,,,,,,,Angola,4901,00:02:39.349,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,646f9b73-83a5-49c8-bfc4-e75678f1ca0d,1679,,"[62.0, 72.9]",3922321,47,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Moses Daddy-Ajala Simon,18163.0,Left Attacking Midfield,90,Angola,4901,['93ad992d-7c46-4d49-8a9b-c9a0bfa8df83'],45,,,,,,,,,,,,,,,,,Nigeria,775,00:02:45.455,Ball Receipt*,
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,817a2a76-749a-4f9e-917a-288049fff529,1683,,"[57.0, 57.9]",3922321,47,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Alex Iwobi,3647.0,Left Defensive Midfield,90,Angola,4901,['11ec13f7-38d3-466d-af61-cf6d9c3b828b'],46,,,,,,,,,,,,,,,,,Nigeria,775,00:02:46.164,Ball Receipt*,
