50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,4.581005,,,,,,,,,,,26ebd2e1-7575-450e-a6c3-9d6c155075b5,49,,"[52.1, 3.3]",3920389,0,,,,,0.118563555,,Left Foot,,,,"[115.9, 10.9]",,High Pass,64.25107,,Incomplete,,André-Frank Zambo Anguissa,3141.0,,,,,1,From Kick Off,Darlin Zidane Yongwa Ngameni,32190.0,Left Back,2,Cameroon,2722,"['8fa5ede0-396e-4d36-8f8b-fe428eb51c7f', 'b596a6b4-9178-465d-9e02-0a8a0a985b5d']",44,,,,,,,,,,,,,,,,,Cameroon,2722,00:00:44.934,Pass,
,,,,,,,,,,,,,,,,,6.236353,,,,,,,,,,,119f77e5-a314-4bd2-99a5-c9aca4bfa52a,56,,"[7.0, 46.7]",3920389,1,,,,,0.48558766,,Right Foot,,,,"[70.1, 80.0]",,High Pass,71.34774,,Out,,Morgan Guilavogui,47351.0,,,,Goal Kick,1,From Goal Kick,Ibrahim Kone,182573.0,Goalkeeper,4,Guinea,4892,['c87f97b8-d9a6-4cf6-8112-7540351defdb'],22,,,,,,,,,,,,,,,,,Guinea,4892,00:01:22.922,Pass,
,,,,,,,,,,,,,,,,,2.109186,,,,,,,,,,,c523286b-91b2-452f-aee8-391325f13161,58,,"[45.7, 0.1]",3920389,1,,,,,0.14659186,,,,,,"[75.5, 4.5]",,High Pass,30.123081,,Incomplete,,Karl Brillant Toko Ekambi,3551.0,,,,Throw-in,1,From Throw In,Darlin Zidane Yongwa Ngameni,32190.0,Left Back,5,Cameroon,2722,"['096bd521-5be0-44ae-90d2-f8169c0831b9', 'ffa7b37e-0594-4748-97ad-4c096003b8c0']",36,,,,,,,,,,,,,,,,,Cameroon,2722,00:01:36.178,Pass,
,,,,,,,,,,,,,,,,,1.873835,,,,,,,,,,,096bd521-5be0-44ae-90d2-f8169c0831b9,60,,"[44.6, 75.6]",3920389,1,,,,,0.08314123,,Head,,,,"[67.4, 77.5]",,High Pass,22.87903,,,,Morgan Guilavogui,47351.0,,,,Recovery,1,Regular Play,Mouctar Diakhaby,4267.0,Right Center Back,6,Guinea,4892,"['241875d4-054b-4407-ad67-d9a665074ad1', 'c523286b-91b2-452f-aee8-391325f13161']",38,,,,,,,,,,,,,,,,,Guinea,4892,00:01:38.287,Pass,
,,,,,,,,,,,,,,,,,1.586297,,,,,,,,,,,cf5753ed-3f10-4fdb-bebf-b57951cfc968,62,,"[63.4, 76.6]",3920389,1,,,,,0.01625873,,Head,,,,"[75.7, 76.8]",,Low Pass,12.301626,,Incomplete,,Aguibou Camara,39559.0,,,,,1,Regular Play,Morgan Guilavogui,47351.0,Right Wing,6,Guinea,4892,"['552c4dd9-81ab-4c90-b5f7-30f6d8bb7aa7', 'd7f20c1e-157b-47d2-8d84-493c1f6aadf7']",40,,,,,,,,,,,,,,,,,Guinea,4892,00:01:40.161,Pass,
,,,,,,,,,,,,,,,,,1.08431,,,,,,,,,,,d7f20c1e-157b-47d2-8d84-493c1f6aadf7,65,,"[44.4, 3.3]",3920389,1,,,,,-0.13944006,,Left Foot,,,,"[67.2, 0.1]",,High Pass,23.023466,,Out,,Karl Brillant Toko Ekambi,3551.0,,,,Recovery,1,Regular Play,Harold Moukoudi,7386.0,Left Center Back,6,Guinea,4892,"['92c1d4a2-8969-4286-bb0b-b41fdef2bfcc', 'e015314f-088c-445e-8ef9-037a50961d2e', 'cf5753ed-3f10-4fdb-bebf-b57951cfc968']",41,,,,,,,,,,,,,,,,,Cameroon,2722,00:01:41.747,Pass,True
,,,,,,,,,,,,,,,,,0.891762,,,,,,,,,,,e5637886-9b18-4e1a-92fe-af10a55c3853,67,,"[70.5, 80.0]",3920389,1,,,,,-0.525851,,,,,,"[81.7, 73.5]",,Low Pass,12.949517,,,,Aguibou Camara,39559.0,,,,Throw-in,1,From Throw In,Antoine Conte,131849.0,Right Back,7,Guinea,4892,['17c58d9a-e1c2-4d47-8b18-dec8853cf5a5'],57,,,,,,,,,,,,,,,,,Guinea,4892,00:01:57.892,Pass,
,,,,,,,,,,,,,,,,,2.52968,,,,,,,,,,,eb5a7383-4508-4ece-8f84-3410fca9e2bd,69,,"[79.8, 74.2]",3920389,1,,,,,-0.26396373,,Right Foot,,,,"[90.9, 71.2]",,High Pass,11.4982605,,Incomplete,,Mohamed Bayo,8454.0,,,,,1,From Throw In,Aguibou Camara,39559.0,Center Attacking Midfield,7,Guinea,4892,"['08f4f212-c9b3-4ec4-b02f-69bec1605f39', '7a874820-6b8d-4454-bbb1-2dc6a5e91e20']",58,,,,,,,,,,,,,,,,,Guinea,4892,00:01:58.784,Pass,
,,,,,,,,,,,,,,,,,0.844925,,,,,,,,,,,69083c6b-bae5-4bd9-88ad-e2497d528e0b,77,,"[84.5, 70.4]",3920389,2,,,,,-2.3847582,,Right Foot,,,True,"[82.7, 68.7]",,Ground Pass,2.4758837,,,,Moriba Kourouma Kourouma,39073.0,,,,Recovery,1,From Throw In,Aguibou Camara,39559.0,Center Attacking Midfield,7,Guinea,4892,['34232dd2-9243-4e70-b015-abf6a58f057b'],2,,,,,,,,,,,,,,,,,Guinea,4892,00:02:02.563,Pass,
,,,,,,,,,,,,,,,,,1.112463,,,,,,,,,,,df0ec6ca-2e02-4102-9707-930680cf4984,83,,"[83.9, 68.7]",3920389,2,,,,,0.34738597,,Right Foot,,,,"[89.7, 70.8]",,Ground Pass,6.168468,,,,Aguibou Camara,39559.0,,,,,1,From Throw In,Moriba Kourouma Kourouma,39073.0,Left Defensive Midfield,7,Guinea,4892,"['4c48bd11-9711-4b2a-a147-24ae3a53c8cb', '2edd6216-9bc5-433b-9663-31c62c185213']",6,,,,,,,,,,,,,,,,,Guinea,4892,00:02:06.420,Pass,True
