50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,2.375925,,,,,,,,,,,a6357507-8dd2-4b1b-84ea-7443339bdf67,67,,,"[67.6, 76.0]",3920394,1,,,,,-0.6360755,,Left Foot,,,"[100.1, 52.0]",,High Pass,,40.401115,,Incomplete,,Youssef En-Nesyri,6301.0,,,,,1,Regular Play,Hakim Ziyech,5237.0,Right Midfield,5,Morocco,788,"['51d25f7c-4f9f-4a86-b9c8-4c9b10098ac0', '9077a492-b6ca-46c9-9419-00b7df1dc4ce']",25,,,,,,,,,,,,,,,,Morocco,788,00:01:25.548,Pass,
,,,,,,,,,,,,,,,,,0.764303,,,,,,,,,,,f8eb60fd-9eef-477f-afdd-229d3e0a51d3,72,,,"[22.0, 26.4]",3920394,1,,,,,0.33993036,,Right Foot,,,"[30.2, 29.3]",,Ground Pass,,8.6977005,,,,Himid Mao Mkami,86067.0,,,,,1,Regular Play,Ibrahim Abdallah Hamad,389092.0,Left Center Back,6,Tanzania,4953,['dcbd143e-9e74-41cf-8822-116418e1b682'],29,,,,,,,,,,,,,,,,Tanzania,4953,00:01:29.667,Pass,
,,,,,,,,,,,,,,,,,1.419851,,,,,,,,,,,2a65eb83-7a62-4ccb-a553-a59d0b9695d8,75,,,"[36.3, 33.1]",3920394,1,,,,,2.0191946,,Right Foot,,,"[27.4, 51.6]",,Ground Pass,,20.529491,,,,Haji Mnoga,51494.0,,,,,1,Regular Play,Himid Mao Mkami,86067.0,Center Defensive Midfield,6,Tanzania,4953,['20f0ed53-56ff-4ec1-a8c0-91ae34677c85'],32,,,,,,,,,,,,,,,,Tanzania,4953,00:01:32.840,Pass,
,,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,86a3b714-155c-4cc5-a22d-3e03bd3f44cb,79,,,"[27.4, 49.9]",3920394,1,,,,,-2.816637,,Right Foot,,,"[8.7, 43.6]",,Ground Pass,,19.732714,,,,Aishi Manula,103262.0,,,,,1,Regular Play,Haji Mnoga,51494.0,Right Back,6,Tanzania,4953,"['c3cbdc41-b631-4b0d-a8f2-765627a7a81d', 'c59399ae-8707-4737-98a3-d5555c94ea08']",34,,,,,,,,,,,,,,,,Tanzania,4953,00:01:34.300,Pass,True
,,,,,,,,,,,,,,,,,1.721831,,,,,,,,,,,dcb81612-e428-401d-8209-62c0791d73d3,82,,,"[8.7, 43.6]",3920394,1,,,,,-0.48118967,,Right Foot,,,"[42.6, 25.9]",,High Pass,,38.242645,,,,Novatus Dismas Miroshi,136055.0,,,,,1,Regular Play,Aishi Manula,103262.0,Goalkeeper,6,Tanzania,4953,['2aaa38fe-5b99-4da4-899f-f2ef4229720f'],36,,,,,,,,,,,,,,,,Tanzania,4953,00:01:36.740,Pass,
,,,,,,,,,,,,,,,,,2.853515,,,,,,,,,,,61d6d99f-d8e0-49c9-8376-3a548b626954,84,,,"[42.9, 25.9]",3920394,1,,,,,-0.5435874,,Head,,,"[70.7, 9.1]",,High Pass,,32.481995,,Incomplete,,Tarryn Allarakhia,19426.0,,,,,1,Regular Play,Novatus Dismas Miroshi,136055.0,Left Center Midfield,6,Tanzania,4953,"['fd5d5ace-46f7-42e0-84dc-ed8a01340b02', 'e1b1a7b6-e803-454c-93e1-c12862577389']",38,,,,,,,,,,,,,,,,Tanzania,4953,00:01:38.462,Pass,
,,,,,,,,,,,,,,,,,1.338142,,,,,,,,,,,28b00c26-3a4a-474d-9bc1-75a97c0ff156,88,,,"[69.7, 0.1]",3920394,1,,,,,1.6335709,,,,,"[68.6, 17.6]",,Low Pass,,17.534538,,,,Tarryn Allarakhia,19426.0,,,,Throw-in,1,From Throw In,Mohamed Hussein Mohamed,105766.0,Left Back,7,Tanzania,4953,['dca06b66-dd79-4bc0-a3c4-93437435b2fd'],57,,,,,,,,,,,,,,,,Tanzania,4953,00:01:57.854,Pass,
,,,,,,,,,,,,,,,,,0.890331,,,,,,,,,,,9ee55a47-b8e3-4fb2-80a2-2f0f08d4aa03,91,,,"[68.1, 18.6]",3920394,1,,,,,-1.7307094,,Left Foot,,,"[66.1, 6.2]",,Ground Pass,,12.560255,,,,Mohamed Hussein Mohamed,105766.0,,,,,1,From Throw In,Tarryn Allarakhia,19426.0,Left Wing,7,Tanzania,4953,"['33d4e5d8-4b16-449d-b0b2-56d2e52f7214', 'dddeaaaf-88c2-4362-82ce-279c1a1d7d8f']",59,,,,,,,,,,,,,,,,Tanzania,4953,00:01:59.192,Pass,True
,,,,,,,,,,,,,,,,,0.126433,,,,,,,,,,,90e0755e-f48f-4121-9a58-ee9ff1789cb6,95,,,"[64.5, 3.8]",3920394,2,,,,,0.0,,Left Foot,,,"[67.1, 3.8]",,Low Pass,,2.6,,Incomplete,,Charles M'Mombwa,80307.0,,,,,1,From Throw In,Mohamed Hussein Mohamed,105766.0,Left Back,7,Tanzania,4953,"['5af74264-162b-407c-bc17-83d46262c0b9', '9a5000c2-86b2-432d-9bc1-39843208213d', '50140e25-f40f-462d-a8fa-346aafb3393b']",0,,,,,,,,,,,,,,,,Tanzania,4953,00:02:00.585,Pass,True
,,,,,,,,,,,,,,,,,1.700013,,,,,,,,,,,750748b0-8cee-4734-9e44-a489f97738c6,99,,,"[44.0, 5.0]",3920394,2,,,,,0.1746722,,Left Foot,,,"[76.3, 10.7]",,High Pass,,32.799084,,Incomplete,,Charles M'Mombwa,80307.0,,,,Recovery,1,From Throw In,Ibrahim Abdallah Hamad,389092.0,Left Center Back,7,Tanzania,4953,"['e175d16b-0cbf-4fd5-aa98-87b2da95aeb6', 'e1e6d2eb-aa64-4e0f-ac16-c0ea7fe00dcc', '774e6825-653d-4f19-b71f-188e5c7eacfe']",3,,,,,,,,,,,,,,,,Tanzania,4953,00:02:03.176,Pass,True
