50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.763792,,,,,,,,,,,,,c90e4530-5255-4c17-a513-bc70fc7b704f,45,,"[31.2, 67.5]",3920403,0,,,,-2.4636223,,Right Foot,,,,"[19.9, 58.4]",,Ground Pass,,14.508618,,,Nouh Mohamed El Abd,389294.0,,,,,,,1,From Kick Off,Ibrahima Keita,264956.0,Right Back,2,Mauritania,4932,"['543bf4bb-c302-4eaa-b24f-be357ce80151', '817f8b01-ad69-48d3-b78f-b9c365ad0ad2']",38,,,,,,,,,,,,,,,,,,,Mauritania,4932,00:00:38.260,Pass,True
,,,,,,,,,,,,,,,,,2.020895,,,,,,,,,,,,,51dc591a-a57a-47b5-b8c3-138b9486311b,49,,"[22.0, 61.1]",3920403,0,,,,-0.29833397,,Right Foot,,,,"[64.6, 48.0]",,High Pass,,44.56871,,,Pape Ibnou Bâ,45064.0,,,,,,,1,From Kick Off,Nouh Mohamed El Abd,389294.0,Right Center Back,2,Mauritania,4932,"['36421d25-428f-4c1b-b6c7-e4bcbfc114e3', '6d28418a-148a-4fe0-ba0f-32ed1bdb7e35']",40,,,,,,,,,,,,,,,,,,,Mauritania,4932,00:00:40.641,Pass,True
,,,,,,,,,,,,,,,,,2.247304,,,,,,,,,,,,,b6ff7b48-95cf-457b-b113-0063483ceccc,53,,"[61.9, 51.9]",3920403,0,,,,1.660502,,Right Foot,,,,"[60.2, 70.8]",,Low Pass,,18.976301,,,Ibrahima Keita,264956.0,,,,,,,1,From Kick Off,Pape Ibnou Bâ,45064.0,Center Forward,2,Mauritania,4932,"['fffdaf73-f002-4fb3-a7d8-2a14bcae7641', '0dbeb816-ec6f-4964-83ce-f9459ac4f6ae']",45,,,,,,,,,,,,,,,,,,,Mauritania,4932,00:00:45.229,Pass,True
,,,,,,,,,,,,,,,,,0.298226,,,,,,,,,,,,,f588f57b-6da7-4055-8756-678ec64ab6c4,57,,"[64.8, 68.6]",3920403,0,,,,-0.882833,,Right Foot,,,,"[70.8, 61.3]",,Low Pass,,9.449339,Incomplete,,Aboubakary Koita,23892.0,,,,,,,1,From Kick Off,Ibrahima Keita,264956.0,Right Back,2,Mauritania,4932,"['ee0b1ed9-bc78-41da-8f04-3b152653c104', 'b4ecc7e3-37e4-48a4-960b-b44ec1018a20', '47cc024d-f0b7-4223-bbf0-0676e3947a2a']",48,,,,,,,,,,,,,,,,,,,Mauritania,4932,00:00:48.331,Pass,True
,,,,,,,,,,,,,,,,,2.584155,,,,,,,,,,,,,4a68f993-90bf-45dc-aa38-561e8234ce77,60,,"[29.2, 31.3]",3920403,0,,,,2.7246401,,Right Foot,,,,"[7.3, 41.0]",,Ground Pass,,23.952036,,,Adilson Cipriano da Cruz,135849.0,,,,,,Recovery,1,Regular Play,Kialonda Gaspar,103208.0,Right Center Back,3,Angola,4901,['a5ca0a31-dc96-4468-bbf7-ae2a93fa6607'],51,,,,,,,,,,,,,,,,,,,Angola,4901,00:00:51.404,Pass,
,,,,,,,,,,,,,,,,,1.799304,,,,,,,,,,,,,dbc47068-dada-4021-afa9-1bfd0fc96190,63,,"[8.5, 42.5]",3920403,1,,,,1.0928639,,Left Foot,,,,"[15.7, 56.4]",,Ground Pass,,15.654073,,,Kialonda Gaspar,103208.0,,,,,,,1,Regular Play,Adilson Cipriano da Cruz,135849.0,Goalkeeper,3,Angola,4901,['dc9edfe6-6527-40f0-acd6-c1ccbcf1cc73'],0,,,,,,,,,,,,,,,,,,,Angola,4901,00:01:00.208,Pass,
,,,,,,,,,,,,,,,,,2.136099,,,,,,,,,,,,,3108ebaa-dd39-4e69-bf50-b61106b0f0de,65,,"[19.3, 56.9]",3920403,1,True,,,0.9534725,,Right Foot,,,,"[30.8, 73.1]",,Ground Pass,,19.866806,,,Eddie Marcos Melo Afonso,145058.0,,,,,,,1,Regular Play,Kialonda Gaspar,103208.0,Right Center Back,3,Angola,4901,['af9bfe54-bbd6-4aca-9873-9b20adf60486'],3,,,,,,,,,,,,,,,,,,,Angola,4901,00:01:03.987,Pass,
,,,,,,,,,,,,,,,,,1.793646,,,,,,,,,,,,,11b1ff1f-1b9e-4639-a420-add0da5b0dee,67,,"[31.6, 74.3]",3920403,1,,,,-2.141291,,Right Foot,,,,"[23.9, 62.3]",,Ground Pass,,14.25798,,,Kialonda Gaspar,103208.0,,,,,,,1,Regular Play,Eddie Marcos Melo Afonso,145058.0,Right Back,3,Angola,4901,['597143ce-7340-4a10-af8c-b66d7647f66b'],6,,,,,,,,,,,,,,,,,,,Angola,4901,00:01:06.856,Pass,
,,,,,,,,,,,,,,,,,2.585531,,,,,,,,,,,,,9c8a1a8b-aaee-43e1-a51b-39e81fcbc787,70,,"[23.4, 62.7]",3920403,1,,True,,1.088058,,Left Foot,,,,"[32.1, 79.3]",,Ground Pass,,18.741665,Injury Clearance,,,,,,,,,,1,Regular Play,Kialonda Gaspar,103208.0,Right Center Back,3,Angola,4901,,9,,,,,,,,,,,,,,,,,,,Angola,4901,00:01:09.588,Pass,
,,,,,,,,,,,,,,,,,1.278092,,,,,,,,,,,,,786d3ab8-3818-4fd1-9681-50986fbac6e8,71,,"[84.7, 0.1]",3920403,1,,,,2.2250829,,,,,,"[76.8, 10.4]",,Low Pass,,12.980755,,,Bodda Mouhsine,146933.0,,,,,,Throw-in,1,From Throw In,Aboubakary Koita,23892.0,Left Midfield,4,Mauritania,4932,['a32dc394-f55b-4a30-a40b-140d592344e1'],26,,,,,,,,,,,,,,,,,,,Mauritania,4932,00:01:26.022,Pass,
