50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,1.201545,,,,,,,,,,,,,20acf540-5deb-4f7c-a1ba-2c30e5f5061d,64,,"[44.0, 51.5]",3920413,2,,,,,-1.5871882,,Left Foot,,,,"[43.7, 33.2]",,Ground Pass,,18.30246,,,,Yankuba Minteh,307271.0,,,,,Recovery,1,Regular Play,Alasana Manneh,28212.0,Right Defensive Midfield,5,Gambia,4934,"['79eb2c82-efcd-46eb-932b-3d0ec09281d4', '6e7c59b4-8efa-4e7a-886d-86bb41328ab5']",16,,,,,,,,,,,,,,,,,Gambia,4934,00:02:16.227,Pass,True
,,,,,,,,,,,,,,,,,,,,5.987515,,,,,,,,,,,,,905cc2b6-8315-4a7e-b559-765037f39ff3,70,,"[55.4, 31.9]",3920413,2,,True,,,-0.42728704,,Left Foot,,,,"[112.5, 5.9]",,High Pass,,62.740814,,,,Yankuba Minteh,307271.0,,,,,Free Kick,1,From Free Kick,Musa Barrow,6988.0,Center Attacking Midfield,6,Gambia,4934,['0ca2be11-0d34-4d47-865a-e7641cb7781f'],28,,,,,,,,,,,,,,,,,Gambia,4934,00:02:28.122,Pass,
,,,,,,,,,,,,,,,,,,,,1.158044,,,,,,,,,,,,,d7fc4657-53f9-415c-aaea-3ad78fa4e2cb,74,,"[115.9, 6.1]",3920413,2,,,,,1.6677557,,Left Foot,True,,,"[112.7, 39.0]",,High Pass,,33.055256,,Incomplete,,Ali Sowe,50938.0,,,,,,1,From Free Kick,Yankuba Minteh,307271.0,Left Midfield,6,Gambia,4934,"['0f594dd8-4548-4d4b-ab21-ba451d21b0dc', 'fbeee479-0550-4e77-822d-a3628be28878', 'a216762c-eb84-449d-95dc-672dcb49bb93']",34,,,,,,,,,,,,,,,,,Gambia,4934,00:02:34.475,Pass,True
,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,d755c2fd-89a8-4b1b-887e-ee464b965ef4,84,,"[87.7, 5.9]",3920413,2,,,,,-0.41241044,,Left Foot,,,,"[97.3, 1.7]",,Ground Pass,,10.47855,,,,Yankuba Minteh,307271.0,,,,,,1,From Free Kick,Jacob Mendy,47762.0,Left Back,6,Gambia,4934,['ff3f6d42-8a20-4d32-ab6b-6e46a195c8a2'],41,,,,,,,,,,,,,,,,,Gambia,4934,00:02:41.975,Pass,
,,,,,,,,,,,,,,,,,,,,0.401177,,,,,,,,,,,,,d0ab7603-10c4-40cc-896e-bfa43f61e626,88,,"[92.6, 7.2]",3920413,2,,,,,1.8045396,,Left Foot,,,,"[92.1, 9.3]",,Ground Pass,,2.1587033,,,,Musa Barrow,6988.0,,,,,,1,From Free Kick,Yankuba Minteh,307271.0,Left Midfield,6,Gambia,4934,"['a3bcc9d8-e621-4c66-a6dd-ba794d0b97af', 'c6411f11-3c83-4640-8ab9-29a0f7e4a5c0']",45,,,,,,,,,,,,,,,,,Gambia,4934,00:02:45.350,Pass,True
,,,,,,,,,,,,,,,,,,,,1.174607,,,,,,,,,,,,,8dbcc19a-b4da-4c4d-b493-b90271f148c9,91,,"[98.7, 21.2]",3920413,2,,,,,0.0,,Right Foot,,,,"[109.4, 21.2]",,Ground Pass,,10.7,,Incomplete,,Ablie Jallow,4471.0,,,,,,1,From Free Kick,Musa Barrow,6988.0,Center Attacking Midfield,6,Gambia,4934,"['e17c6bef-c451-4fc1-8b37-d1c9569e9f04', 'a5121d63-6da9-4ce4-8dd3-a7f34e8adb1f']",47,,,,,,,,,,,,,,,,,Gambia,4934,00:02:47.192,Pass,
,,,,,,,,,,,,,,,,,,,,2.847961,,,,,,,,,,,,,5cab536d-3188-4665-9541-2448f6f84c79,95,,"[6.2, 40.8]",3920413,3,,,,,0.30298057,,Right Foot,,,,"[65.7, 59.4]",,High Pass,,62.339474,,,,Karl Brillant Toko Ekambi,3551.0,,,,,Goal Kick,1,From Goal Kick,Joseph Fabrice Ondoa Ebogo,24670.0,Goalkeeper,7,Cameroon,2722,['8f041428-cf3a-4c0f-b97e-c2842c125928'],27,,,,,,,,,,,,,,,,,Cameroon,2722,00:03:27.579,Pass,
,,,,,,,,,,,,,,,,,,,,2.419376,,,,,,,,,,,,,23aeaffb-beb6-412b-a80a-ffd9c9acb399,97,,"[64.9, 60.2]",3920413,3,,,,,1.949017,,Right Foot,,,,"[58.9, 75.3]",,Ground Pass,,16.248384,,,,Enzo Gianni Tchato Mbiayi,135043.0,,,,,,1,From Goal Kick,Karl Brillant Toko Ekambi,3551.0,Right Wing,7,Cameroon,2722,['d0a8f2dc-8ef3-4dc2-b1d8-99c233df9808'],30,,,,,,,,,,,,,,,,,Cameroon,2722,00:03:30.427,Pass,
,,,,,,,,,,,,,,,,,,,,1.599602,,,,,,,,,,,,,1d932794-1dc3-498b-a272-5822c4b3f909,100,,"[58.9, 75.3]",3920413,3,,,,,-3.053906,,Right Foot,,,,"[40.7, 73.7]",,Ground Pass,,18.270195,,,,Jean-Charles Castelletto,7426.0,,,,,,1,From Goal Kick,Enzo Gianni Tchato Mbiayi,135043.0,Right Wing Back,7,Cameroon,2722,['9565fc6f-84a4-42bd-9820-00d83428638c'],33,,,,,,,,,,,,,,,,,Cameroon,2722,00:03:33.985,Pass,
,,,,,,,,,,,,,,,,,,,,1.513483,,,,,,,,,,,,,f379a32f-3917-4ed1-a3f9-83ed4c2e0c11,104,,"[42.9, 75.2]",3920413,3,,,,,-0.41670227,,Right Foot,,,,"[55.1, 69.8]",,Ground Pass,,13.341664,,,,Karl Brillant Toko Ekambi,3551.0,,,,,,1,From Goal Kick,Jean-Charles Castelletto,7426.0,Right Center Back,7,Cameroon,2722,"['fc24a218-35dd-4008-a1b4-da0e3596130a', '91a3b592-c26e-4be6-8009-f1c3796da2bf']",36,,,,,,,,,,,,,,,,,Cameroon,2722,00:03:36.392,Pass,True
,,,,,,,,,,,,,,,,,,,,1.096002,,,,,,,,,,,,,8dbd94f4-cd1d-478a-8069-13d2a99765e0,110,,"[49.3, 78.4]",3920413,3,,True,,,-3.0965104,,Right Foot,,,,"[36.0, 77.8]",,Ground Pass,,13.313527,,,,Jean-Charles Castelletto,7426.0,,,,,Free Kick,1,From Free Kick,Enzo Gianni Tchato Mbiayi,135043.0,Right Wing Back,8,Cameroon,2722,['787e8e90-8a4e-4d40-b610-96b85e478ced'],44,,,,,,,,,,,,,,,,,Cameroon,2722,00:03:44.400,Pass,
