50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,"[19.3, 17.9]",,,,,,,,,,,,,2.42592,,,,,,,,,,,,b7007438-dad8-4f4f-b087-69099c31e107,1246,,,"[22.3, 21.4]",3920395,38,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Emmanuel Justine Rabby Banda,23260.0,Left Center Midfield,65,Zambia,4963,"['508fbba5-632f-4564-8e56-7f16280af9f7', 'dacd8d03-e3d6-4d4c-ba62-c3d490e1b7e6']",20,,,,,,,,,,,,,,,,,Zambia,4963,00:38:20.998,Carry,
,,,,,"[45.5, 9.3]",,,,,,,,,,,,,3.989765,,,,,,,,,,,,478f705d-9397-41ab-9ad7-65b409ce2ea1,1260,,,"[34.9, 13.9]",3920395,38,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Frankie Musonda,47979.0,Left Center Back,66,Zambia,4963,"['e1c20a6a-07f3-4022-ba2a-f3cadd0fd716', '2d224df4-8288-4eaf-bba8-d98be629c862']",58,,,,,,,,,,,,,,,,,Zambia,4963,00:38:58.422,Carry,
,,,,,"[28.2, 40.4]",,,,,,,,,,,,,2.075305,,,,,,,,,,,,8fcccf6c-5e21-4c9a-a669-fda28d86463e,1263,,,"[22.5, 32.5]",3920395,39,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Tresford Lawrence Mulenga,389156.0,Goalkeeper,66,Zambia,4963,"['3075bff5-0286-43ff-997b-b754cb1dcb51', '0f5db10b-7cb6-47e3-a124-ace9b4ee09f6']",4,,,,,,,,,,,,,,,,,Zambia,4963,00:39:04.619,Carry,
,,,,,"[39.6, 61.4]",,,,,,,,,,,,,2.597075,,,,,,,,,,,,32335fe3-59f8-4f5b-8f45-a9be9281cbba,1266,,,"[39.4, 59.6]",3920395,39,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Stopilla Sunzu,23203.0,Right Center Back,66,Zambia,4963,"['05ea2840-2c76-460c-ad4a-729c9253bcf5', '5d5eb747-94de-474f-885b-888b65b132a9']",8,,,,,,,,,,,,,,,,,Zambia,4963,00:39:08.050,Carry,
,,,,,"[44.7, 23.2]",,,,,,,,,,,,,1.926315,,,,,,,,,,,,a8f540b2-7338-4cb6-a179-acec073c47fc,1269,,,"[39.0, 25.5]",3920395,39,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Frankie Musonda,47979.0,Left Center Back,66,Zambia,4963,"['24661a6d-061a-450f-828d-b326c044d305', '38b12e27-84ee-424e-bef6-1c8d9c6e5acf']",13,,,,,,,,,,,,,,,,,Zambia,4963,00:39:13.218,Carry,
,,,,,"[46.8, 74.3]",,,,,,,,,,,,,1.628872,,,,,,,,,,,,62a42903-ff78-4774-9b59-6b2557479480,1274,,,"[37.0, 72.5]",3920395,39,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Théo Bongonda Mbul'Ofeko Batombo,23785.0,Right Wing,67,Congo DR,4881,"['1dc379cb-5e9d-43b0-855b-e1121acc6ce5', '2aa995ed-ef93-4672-8ed5-1c11e0d43033', 'd5589280-eed5-43da-8e0a-906c3c20057f']",19,,,,,,,,,,,,,,,,,Congo DR,4881,00:39:19.660,Carry,True
,,,,,"[52.9, 68.3]",,,,,,,,,,,,,0.986325,,,,,,,,,,,,5668b095-85f7-4773-94a9-a09f460519be,1279,,,"[53.2, 68.1]",3920395,39,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Gaël Kakuta,3130.0,Center Attacking Midfield,67,Congo DR,4881,"['37cd6630-30e8-4cc5-8558-804b66a57201', '9462350a-e962-4a44-a362-0e1530feea4a', '995124fe-b167-4240-8999-8e86774212fe']",22,,,,,,,,,,,,,,,,,Congo DR,4881,00:39:22.607,Carry,True
,,,,,"[101.3, 56.2]",,,,,,,,,,,,,4.189257,,,,,,,,,,,,dbb471a5-048c-4324-a0c1-05d49b4b7009,1282,,,"[79.7, 74.4]",3920395,39,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Théo Bongonda Mbul'Ofeko Batombo,23785.0,Right Wing,67,Congo DR,4881,"['1bb94a73-c81b-4969-887b-f4cd43ca3366', 'b54e30b9-b092-4069-a663-272f137997c1', 'f6c41dfc-dd1f-48b5-92cc-0dc768cfc071']",25,,,,,,,,,,,,,,,,,Congo DR,4881,00:39:25.486,Carry,True
,,,,,"[95.5, 26.8]",,,,,,,,,,,,,0.904246,,,,,,,,,,,,53d0e17a-2d13-4653-bed2-8c23dd364b7b,1290,,,"[93.1, 24.4]",3920395,40,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Arthur Masuaku,3587.0,Left Back,68,Congo DR,4881,"['cd950d59-443e-4db9-823e-de442255f3c0', '3f8f2a67-81c3-4055-a2b6-a04e4c02e8b0']",9,,,,,,,,,,,,,,,,,Congo DR,4881,00:40:09.462,Carry,
,,,,,"[4.8, 66.0]",,,,,,,,,,,,,1.512437,,,,,,,,,,,,82b4f14a-99ca-4f7e-8ecf-2cbdd9d1192a,1295,,,"[2.7, 62.2]",3920395,40,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Roderick Kabwe,68505.0,Left Back,69,Zambia,4963,"['d92fcbfb-1e49-442d-935f-a7486ddf61b8', 'ca616bc5-6219-4db6-94f3-e1f0c9d8d098']",14,,,,,,,,,,,,,,,,,Zambia,4963,00:40:14.319,Carry,
