50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_redirect,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,2.720172,,,,,,,,,,,,,,679ec25e-6d1e-4ed4-a2f9-dc1c77423faa,1535,,,"[34.4, 31.3]",3920386,48,,,,,-1.085413,,Right Foot,,,,"[48.8, 4.0]",,Low Pass,30.865028,,,,,Basilio Ndong Owono Nchamaaa,105764.0,,,,,,2,Regular Play,Saúl Basilio Coco-Bassey Oubiña,52324.0,Left Center Back,98,Equatorial Guinea,4992,"['59340106-be8b-4a13-aea2-2735b8e0bb29', '9610d4ad-80a9-4978-962b-0f86ebf6d4ce']",39,,,,,,,,,,,,,,,,,,,,Equatorial Guinea,4992,00:03:39.218,Pass,True
,,,,,,,,,,,,,,,,,,1.065061,,,,,,,,,,,,,,59f7dde9-2d1b-45b5-b11e-ba8ec3aebcbc,1538,,,"[54.9, 4.8]",3920386,48,,,,,1.3352513,,Left Foot,,,,"[56.1, 9.8]",,Ground Pass,5.141984,,,,,José Ndong Machín Dicombo,23559.0,,,,,,2,Regular Play,Basilio Ndong Owono Nchamaaa,105764.0,Left Back,98,Equatorial Guinea,4992,['b37b3fb4-e381-4c66-8118-83801100903f'],44,,,,,,,,,,,,,,,,,,,,Equatorial Guinea,4992,00:03:44.693,Pass,
,,,,,,,,,,,,,,,,,,0.852745,,,,,,,,,,,,,,47aa93fd-9f92-473d-be41-54527ba9cc20,1542,,,"[66.3, 9.4]",3920386,48,,,,,2.5127964,,Right Foot,,,,"[57.5, 15.8]",,Ground Pass,10.881176,,,,,Pablo Ganet Cómitre,105942.0,,,,,,2,Regular Play,José Ndong Machín Dicombo,23559.0,Center Attacking Midfield,98,Equatorial Guinea,4992,"['acbab1bf-5507-4656-bd2c-f9e58b39fd25', '5ac6b23d-af40-4417-93e7-9ac04cf9fae5']",51,,,,,,,,,,,,,,,,,,,,Equatorial Guinea,4992,00:03:51.960,Pass,True
,,,,,,,,,,,,,,,,,,0.947345,,,,,,,,,,,,,,63ba3609-dc68-40d4-ab37-db72d06a7936,1546,,,"[57.0, 19.0]",3920386,48,,,,,1.5662509,,Right Foot,,,,"[57.1, 41.0]",,Ground Pass,22.000227,,,,,Federico Bikoro Akieme Nchama,34845.0,,,,,,2,Regular Play,Pablo Ganet Cómitre,105942.0,Left Defensive Midfield,98,Equatorial Guinea,4992,['c3af6cef-e235-4004-85be-a2150584902e'],54,,,,,,,,,,,,,,,,,,,,Equatorial Guinea,4992,00:03:54.257,Pass,
,,,,,,,,,,,,,,,,,,1.418561,,,,,,,,,,,,,,20db1c33-2de4-4995-9e93-2d4cb5c3b70a,1549,,,"[59.2, 28.7]",3920386,48,,,,,-0.72734725,,Left Foot,,,,"[85.6, 5.2]",,Ground Pass,35.344166,,,,,Basilio Ndong Owono Nchamaaa,105764.0,,,,,,2,Regular Play,Federico Bikoro Akieme Nchama,34845.0,Right Defensive Midfield,98,Equatorial Guinea,4992,['c48e328d-5177-48bd-aa81-0e35022df091'],58,,,,,,,,,,,,,,,,,,,,Equatorial Guinea,4992,00:03:58.430,Pass,
,,,,,,,,,,,,,,,,,,1.083263,,,,,,,,,,,,,,a09bb818-2a9b-46c0-a3e9-5b888e15dbf6,1552,,,"[101.4, 12.0]",3920386,49,,,,,1.7923722,,Left Foot,,,,"[97.3, 30.2]",,Ground Pass,18.656097,,,,,Jannick Buyla Sam,40128.0,,,,,,2,Regular Play,Basilio Ndong Owono Nchamaaa,105764.0,Left Back,98,Equatorial Guinea,4992,['99cb6b67-678d-4ca5-8044-32735d1383ed'],3,,,,,,,,,,,,,,,,,,,,Equatorial Guinea,4992,00:04:03.760,Pass,
,,,,,,,,,,,,,,,,,,1.25482,,,,,,,,,,,,,,6ee91626-87b6-4df9-928b-883c2b0d5bd6,1556,,,"[95.8, 25.8]",3920386,49,,,,,2.4920433,7b0affb5-5341-45b0-8db9-ac24f20acd42,Right Foot,,,,"[87.9, 31.8]",,Ground Pass,9.920181,,,,,Pablo Ganet Cómitre,105942.0,True,,,,,2,Regular Play,Jannick Buyla Sam,40128.0,Left Wing,98,Equatorial Guinea,4992,['632645ad-fd30-4095-81f8-2bbc20ec5aa2'],5,,,,,,,,,,,,,,,,,,,,Equatorial Guinea,4992,00:04:05.495,Pass,
,,,,,,,,,,,,,,,,,,1.739079,,,,,,,,,,,,,,28a1055d-d2b4-4ff7-845e-d7b8f7928994,1562,,,"[6.0, 40.2]",3920386,49,,,,,1.1254953,,Right Foot,,,,"[8.1, 44.6]",,Ground Pass,4.8754487,,,,,William Troost-Ekong,5455.0,,,,,Goal Kick,2,From Goal Kick,Stanley Bobo Nwabali,358410.0,Goalkeeper,99,Nigeria,775,['8db5db0f-534a-44a9-a190-6d60efdcf056'],21,,,,,,,,,,,,,,,,,,,,Nigeria,775,00:04:21.421,Pass,
,,,,,,,,,,,,,,,,,,3.013114,,,,,,,,,,,,,,3b3e4357-f9e9-4349-90e3-9cbe538c6c43,1565,,,"[10.1, 72.2]",3920386,49,,,,,-0.20560017,,Right Foot,,,,"[68.6, 60.0]",,High Pass,59.7586,,,Incomplete,,Victor James Osimhen,11277.0,,,,,,2,From Goal Kick,William Troost-Ekong,5455.0,Right Center Back,99,Nigeria,775,"['b37903a3-b137-49df-9684-5ebe27bcea5e', '01958370-7794-4cdc-a668-391f77ff140d']",32,,,,,,,,,,,,,,,,,,,,Nigeria,775,00:04:32.119,Pass,
,,,,,,,,,,,,,,,,,,0.852732,,,,,,,,,,,,,,20c4ca41-9fba-47a5-9357-157d3dad00cc,1570,,,"[66.8, 52.5]",3920386,49,,,,,1.0763892,,Right Foot,,,,"[73.7, 65.3]",,Ground Pass,14.541321,,,,,Alhassan Yusuf,27434.0,,,,,,2,From Goal Kick,Alex Iwobi,3647.0,Left Center Midfield,99,Nigeria,775,['2526d69e-6f0f-42b1-9982-c02560051afc'],37,,,,,,,,,,,,,,,,,,,,Nigeria,775,00:04:37.489,Pass,
