50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.676719,,,,,,,,,,,5b2f7425-ebc1-49f6-b60a-7178cd9acb17,61,,,"[115.1, 66.4]",3922238,0,,,,-1.3710179,,Right Foot,True,,"[120.0, 42.2]",,High Pass,24.691092,,Out,,Karl Brillant Toko Ekambi,3551.0,,,,,,1,From Free Kick,Nicolas Moumi Ngamaleu,16015.0,Right Wing Back,3,Cameroon,2722,"['462e1b3c-5012-4cbb-8139-7671976a42ee', '6334d67b-e016-4263-8e72-e8dd8437788e']",58,,,,,,,,,,,,,,,,Cameroon,2722,00:00:58.980,Pass,True
,,,,,,,,,,,,,,1.386885,,,,,,,,,,,48810076-8ae2-470f-beb1-0eb01c8d5030,63,,,"[6.0, 32.6]",3922238,1,,,,2.0214577,,Left Foot,,,"[3.0, 38.8]",,Ground Pass,6.88767,,,,Stanley Bobo Nwabali,358410.0,,,,,Goal Kick,1,From Goal Kick,Calvin Bassey Ughelumba,43779.0,Left Center Back,4,Nigeria,775,['0b6abace-d120-46ae-910f-9222c3ec116c'],21,,,,,,,,,,,,,,,,Nigeria,775,00:01:21.156,Pass,
,,,,,,,,,,,,,,6.422044,,,,,,,,,,,968c1d8b-93c9-40b0-9574-3a95fa2848dd,66,,,"[9.4, 43.8]",3922238,1,,,,0.3623339,,Right Foot,,,"[95.4, 76.4]",,High Pass,91.97152,,,,Victor James Osimhen,11277.0,,,,,,1,From Goal Kick,Stanley Bobo Nwabali,358410.0,Goalkeeper,4,Nigeria,775,['a00337b6-57c1-4aaf-bca6-71079b53049b'],26,,,,,,,,,,,,,,,,Nigeria,775,00:01:26.104,Pass,
,,,,,,,,,,,,,,3.855273,,,,,,,,,,,7b311353-967a-4b38-96c0-2cf5ff9a8244,73,,,"[15.2, 6.9]",3922238,2,,,,0.17144941,,Right Foot,,,"[94.9, 20.7]",,High Pass,80.88591,,Incomplete,,Georges-Kévin Nkoudou Mbida,3639.0,,,,,Free Kick,1,From Free Kick,Joseph Fabrice Ondoa Ebogo,24670.0,Goalkeeper,5,Cameroon,2722,"['a264e889-5cee-48db-b145-d9f82e4ae40e', 'edba4721-d38d-4a3e-9cad-a168bd12c7b8']",6,,,,,,,,,,,,,,,,Cameroon,2722,00:02:06.096,Pass,
,,,,,,,,,,,,,,1.806006,,,,,,,,,,,a264e889-5cee-48db-b145-d9f82e4ae40e,75,,,"[25.2, 59.4]",3922238,2,,,,-0.41071695,,Head,,,"[43.8, 51.3]",,High Pass,20.287188,,,,Ademola Lookman,3447.0,,,,,Recovery,1,Regular Play,Oluwasemilogo Adesewo Ibidapo Ajayi,3923.0,Right Center Back,6,Nigeria,775,"['7b311353-967a-4b38-96c0-2cf5ff9a8244', '30338afb-7440-4442-bd7e-0323132f8f15']",9,,,,,,,,,,,,,,,,Nigeria,775,00:02:09.951,Pass,
,,,,,,,,,,,,,,0.894104,,,,,,,,,,,34808c32-e41f-4ac5-9147-9e56eb10fb26,78,,,"[43.6, 50.4]",3922238,2,,,,2.5959375,,Other,,,"[38.0, 53.8]",,Low Pass,6.551336,,,,Frank Onyeka,24467.0,,,,,,1,Regular Play,Ademola Lookman,3447.0,Left Wing,6,Nigeria,775,['23cb63b2-cd45-460c-97b7-e69be5c0b8b1'],11,,,,,,,,,,,,,,,,Nigeria,775,00:02:11.759,Pass,
,,,,,,,,,,,,,,2.608962,,,,,,,,,,,c883bdc7-6f82-4f2e-8b9b-60c8ab7e633b,81,,,"[38.3, 54.3]",3922238,2,,,,0.05986529,,Right Foot,,,"[70.0, 56.2]",,High Pass,31.75689,,Incomplete,,Victor James Osimhen,11277.0,,,,,,1,Regular Play,Frank Onyeka,24467.0,Right Defensive Midfield,6,Nigeria,775,"['c8e865d2-c9a1-4527-92ca-c903eb659170', 'c4cef6bb-0899-47a2-89cc-f84636c6347e', 'b03772b9-cb6e-4d72-940e-ddf26c840cb9']",12,,,,,,,,,,,,,,,,Nigeria,775,00:02:12.653,Pass,True
,,,,,,,,,,,,,,1.669369,,,,,,,,,,,b03772b9-cb6e-4d72-940e-ddf26c840cb9,84,,,"[50.1, 23.9]",3922238,2,,,True,-1.2731599,,,,,"[55.1, 7.6]",,Low Pass,17.049633,,,,Nouhou Tolo,13454.0,,,,,Recovery,1,Regular Play,Christopher Wooh,74588.0,Left Center Back,6,Nigeria,775,"['9c398f8f-db53-4abe-a218-fc1d926bc028', 'c883bdc7-6f82-4f2e-8b9b-60c8ab7e633b', '5a628d2c-bd98-41a2-9726-6518a7c2d7c4']",15,,,,,,,,,,,,,,,,Cameroon,2722,00:02:15.262,Pass,True
,,,,,,,,,,,,,,0.691361,,,,,,,,,,,3e89fbd6-233e-4089-b7af-6f6813fed6dd,86,,,"[56.1, 7.6]",3922238,2,,,,-0.56012136,,Left Foot,,,"[67.9, 0.2]",,Low Pass,13.928389,,Out,,Georges-Kévin Nkoudou Mbida,3639.0,,,,,,1,Regular Play,Nouhou Tolo,13454.0,Left Wing Back,6,Nigeria,775,['ea3a34fb-729d-4ea1-a434-5726e273fb4a'],16,,,,,,,,,,,,,,,,Cameroon,2722,00:02:16.931,Pass,
,,,,,,,,,,,,,,0.991468,,,,,,,,,,,9542e48d-c894-406a-a8ca-0fef98914da0,88,,,"[48.8, 80.0]",3922238,2,True,,,-0.7913505,,,,,"[65.5, 63.1]",,Low Pass,23.759209,,,,Oluwasemilogo Adesewo Ibidapo Ajayi,3923.0,,,,,Throw-in,1,From Throw In,Temitayo Olufisayo Olaoluwa Aina,11492.0,Right Wing Back,7,Nigeria,775,['c3fe066e-1dda-4582-b4e6-93cdb493dc30'],31,,,,,,,,,,,,,,,,Nigeria,775,00:02:31.231,Pass,
