50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.88577,,,,,,,,,,,,,,9258d3da-1e19-4107-9d37-fbf7063e8b58,1918,,"[33.1, 24.6]",3920391,46,,,,,-0.57320714,,Right Foot,,,,"[52.0, 12.4]",,Ground Pass,,22.495556,,,,Kamory Doumbia,162132.0,,,,,,2,Regular Play,Yves Bissouma,4385.0,Center Defensive Midfield,90,Mali,4930,"['b9f6d164-1674-4c2d-a6e3-5b45af8d9818', '94725c4e-53d3-4a5b-846a-dc28eee86140']",24,,,,,,,,,,,,,,,,,,,,Mali,4930,00:01:24.208,Pass,True
,,,,,,,,,,,,,,,,,,1.282962,,,,,,,,,,,,,,9b7bb038-7ad9-49c7-ad88-951658866a71,1922,,"[52.3, 10.7]",3920391,46,,,,,-0.65900373,,Right Foot,,,,"[62.5, 2.8]",,Ground Pass,,12.90155,,,,Amadou Haïdara,8774.0,,,,,,2,Regular Play,Kamory Doumbia,162132.0,Center Attacking Midfield,90,Mali,4930,"['a62efb5f-ff74-4c95-ac84-2ff74a2ca252', '36818e9d-cf47-4581-8636-762194ec9c06']",25,,,,,,,,,,,,,,,,,,,,Mali,4930,00:01:25.949,Pass,True
,,,,,,,,,,,,,,,,,,1.008121,,,,,,,,,,,,,,184636c1-b699-4f13-849a-c1207973fb86,1926,,"[59.0, 4.6]",3920391,46,,,,,-3.051946,,Right Foot,,,,"[50.1, 3.8]",,Ground Pass,,8.935883,,,,Falaye Sacko,12557.0,,,,,,2,Regular Play,Amadou Haïdara,8774.0,Left Center Midfield,90,Mali,4930,"['63200339-1150-4daf-94bc-8877fde082e7', 'f69bdb0f-c2bd-431a-a37f-ec41389d4976']",29,,,,,,,,,,,,,,,,,,,,Mali,4930,00:01:29.131,Pass,True
,,,,,,,,,,,,,,,,,,0.289978,,,,,,,,,,,,,,67a3600f-353a-4ec7-a431-490a9cb7b6c7,1929,,"[80.3, 5.2]",3920391,46,,,,,0.69702137,,Right Foot,,,,"[84.6, 8.8]",,Low Pass,,5.60803,,Incomplete,,Lassine Sinayoko,105182.0,,,,,,2,Regular Play,Falaye Sacko,12557.0,Left Back,90,Mali,4930,"['6b411991-757f-4c9a-9929-70be25646522', '1422de77-3765-462f-bb94-ac95374b2519']",34,,,,,,,,,,,,,,,,,,,,Mali,4930,00:01:34.639,Pass,
,,,,,,,,,,,,,,,,,,1.005939,,,,,,,,,,,,,,9be889cc-08be-419e-b9df-b9d86d05c545,1935,,"[98.7, 5.2]",3920391,46,,,,,1.4655961,,Left Foot,,,,"[100.4, 21.3]",,Ground Pass,,16.189503,,Incomplete,,Lassine Sinayoko,105182.0,,,,,,2,Regular Play,Sekou Koita,23623.0,Left Center Forward,90,Mali,4930,"['ed74332d-258b-4514-85ea-48a406c5e076', '1abaead9-82e9-47ed-b9fa-bf3684be50d1']",36,,,,,,,,,,,,,,,,,,,,Mali,4930,00:01:36.871,Pass,
,,,,,,,,,,,,,,,,,,1.405359,,,,,,,,,,,,,,3542f315-e5c4-45df-ae63-e4fd37a394bf,1939,,"[21.1, 57.6]",3920391,46,,,,,-0.210138,,Right Foot,,,,"[49.7, 51.5]",,Low Pass,,29.24329,,Incomplete,,Themba Zwane,65726.0,,,,,,2,Regular Play,Mothobi Mvala,65732.0,Left Center Back,90,Mali,4930,"['1fe20939-c48f-4faf-996e-5b23570bc11b', '92d26f68-6695-4f76-9153-32598b7185ec']",39,,,,,,,,,,,,,,,,,,,,South Africa,4976,00:01:39.283,Pass,
,,,,,,,,,,,,,,,,,,2.37904,,,,,,,,,,,,,,92d26f68-6695-4f76-9153-32598b7185ec,1941,,"[70.4, 28.6]",3920391,46,,,,,0.4013781,,Right Foot,,,,"[87.6, 35.9]",,Low Pass,,18.68502,,,,Kamory Doumbia,162132.0,,,,,Recovery,2,Regular Play,Yves Bissouma,4385.0,Center Defensive Midfield,90,Mali,4930,"['3542f315-e5c4-45df-ae63-e4fd37a394bf', 'e7404ca8-564b-44fe-961f-0c0bb04d7f46']",40,,,,,,,,,,,,,,,,,,,,Mali,4930,00:01:40.688,Pass,
,,,,,,,,,,,,,,,,,,3.147104,,,,,,,,,,,,,,22e8c3ed-1262-4186-8b3b-2be93a9e7028,1945,,"[89.0, 43.8]",3920391,46,,,,,0.921136,,Right Foot,,,,"[116.5, 80.0]",,Ground Pass,,45.46086,,Out,,Hamari Traoré,3248.0,,,,,,2,Regular Play,Kamory Doumbia,162132.0,Center Attacking Midfield,90,Mali,4930,"['5cb29052-300f-4c46-b463-09b88450eb6d', 'c03fc5a2-b940-43ca-a41f-a5e8db4f8df8']",44,,,,,,,,,,,,,,,,,,,,Mali,4930,00:01:44.038,Pass,True
,,,,,,,,,,,,,,,,,,1.643698,,,,,,,,,,,,,,928e0ed2-e30c-4292-bb45-8f2747551cfe,1947,,"[14.4, 0.1]",3920391,46,,,,,0.5377168,,,,,,"[36.2, 13.1]",,Low Pass,,25.381884,,Incomplete,,Themba Zwane,65726.0,,,,,Throw-in,2,From Throw In,Aubrey Maphosa Modiba,65733.0,Left Back,91,South Africa,4976,"['7229102a-db89-4677-9dde-61ba0b3c6056', 'f99ac056-a099-488e-a0c4-35f12977b82c']",58,,,,,,,,,,,,,,,,,,,,South Africa,4976,00:01:58.604,Pass,
,,,,,,,,,,,,,,,,,,3.833959,,,,,,,,,,,,,,17927cb6-637c-4e60-8333-90f4fff186bb,1953,,"[35.9, 2.0]",3920391,47,,,,,0.25828674,,Left Foot,,,,"[87.0, 15.5]",,Ground Pass,,52.85319,,Incomplete,,,,,,,,,2,From Throw In,Aubrey Maphosa Modiba,65733.0,Left Back,91,South Africa,4976,"['e2794bd8-54a6-4cb4-aea6-a7d0df017a90', '986f7659-ff79-4fb6-8597-8d78f824e608']",4,,,,,,,,,,,,,,,,,,,,South Africa,4976,00:02:04.989,Pass,True
