50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.523553,,,,,,,,,,,5ce7c110-92a6-40f7-9f5c-fd83f4160bb5,730,,,"[62.3, 30.3]",3920399,16,,,,,-1.0851742,,Left Foot,,,,"[75.6, 5.1]",,Low Pass,,28.494385,,,João Paulo Moreira Fernandes,133038.0,,,,,,1,From Throw In,Jamiro Gregory Monteiro Alvarenga,7753.0,Left Center Midfield,36,Cape Verde Islands,4924,['62fdf47f-c332-47ae-8b68-6c4c0afcdcee'],7,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:16:07.976,Pass,
,,,,,,,,,,,,,,,,,1.166955,,,,,,,,,,,72962a28-4c1a-4ae9-867a-3839514b7efe,733,,,"[80.1, 4.4]",3920399,16,,,,,2.83354,,Left Foot,,,,"[71.3, 7.2]",,Ground Pass,,9.234717,,,Jamiro Gregory Monteiro Alvarenga,7753.0,,,,,,1,From Throw In,João Paulo Moreira Fernandes,133038.0,Left Back,36,Cape Verde Islands,4924,['9af5123f-08d8-47f4-a872-7d0f00f38045'],11,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:16:11.670,Pass,
,,,,,,,,,,,,,,,,,1.622173,,,,,,,,,,,cbe8e1e2-77b9-43a4-b6e5-367dccf84808,737,,,"[72.8, 14.3]",3920399,16,,,,,1.9125135,,Left Foot,,,,"[65.9, 33.7]",,Ground Pass,,20.590532,,,Deroy Duarte,8349.0,,,,,,1,From Throw In,Jamiro Gregory Monteiro Alvarenga,7753.0,Left Center Midfield,36,Cape Verde Islands,4924,['f7109737-50ab-43f1-a08b-381aad8c0443'],14,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:16:14.725,Pass,
,,,,,,,,,,,,,,,,,2.0474,,,,,,,,,,,34d1c45f-f6c9-4faf-8a50-53632c60072c,740,,,"[64.7, 35.9]",3920399,16,,,,,1.6539376,,Right Foot,,,,"[63.4, 51.5]",,Ground Pass,,15.654073,,,Logan Costa,45557.0,,,,,,1,From Throw In,Deroy Duarte,8349.0,Right Center Midfield,36,Cape Verde Islands,4924,['366b7620-b0b5-4ee5-9339-7cad86d3f0b6'],17,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:16:17.647,Pass,
,,,,,,,,,,,,,,,,,1.583146,,,,,,,,,,,8e8fa125-fb94-42b7-87e8-8347634408be,743,,,"[64.4, 54.5]",3920399,16,,,,,0.6556956,,Right Foot,,,,"[85.2, 70.5]",,Ground Pass,,26.241951,,,Steven Moreira,7197.0,,,,,,1,From Throw In,Logan Costa,45557.0,Right Center Back,36,Cape Verde Islands,4924,['249f10bf-704c-4fa7-add7-75d86b62c1d7'],19,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:16:19.980,Pass,
,,,,,,,,,,,,,,,,,0.65672,,,,,,,,,,,3586df90-6987-4fd8-be71-79ca55c010ed,746,,,"[85.2, 70.5]",3920399,16,,,,,-1.1820086,,Right Foot,,,,"[88.6, 62.2]",,Ground Pass,,8.969393,,,Ryan Isaac Mendes da Graça,40485.0,,,,,,1,From Throw In,Steven Moreira,7197.0,Right Back,36,Cape Verde Islands,4924,['3c656f69-461a-4ae6-aa46-f7a83cc02f4c'],21,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:16:21.732,Pass,
,,,,,,,,,,,,,,,,,1.122743,,,,,,,,,,,6ed494f8-0041-42b7-85fc-9369846ade81,753,,,"[16.5, 12.1]",3920399,16,,,,,2.3388553,,Left Foot,,,,"[8.0, 20.9]",,Ground Pass,,12.234786,,,Edmilson Gabriel Dove,65742.0,,,,,Free Kick,1,From Free Kick,Reinildo Isnard Mandava,10848.0,Left Center Back,37,Mozambique,4978,['0c813a5c-7a1b-4089-b1f8-a735fc7a3b2d'],37,,,,,,,,,,,,,,,,,Mozambique,4978,00:16:37.378,Pass,
,,,,,,,,,,,,,,,,,1.46421,,,,,,,,,,,aa5c556f-ad1a-49da-b4d5-9dac5d39149e,756,,,"[8.0, 20.9]",3920399,16,,,,,-0.9738853,,Right Foot,,,,"[15.0, 10.6]",,Ground Pass,,12.453513,,,Reinildo Isnard Mandava,10848.0,,,,,,1,From Free Kick,Edmilson Gabriel Dove,65742.0,Center Back,37,Mozambique,4978,['7f2d3f7e-9a3e-4abc-af5d-14352e86fcd1'],40,,,,,,,,,,,,,,,,,Mozambique,4978,00:16:40.979,Pass,
,,,,,,,,,,,,,,,,,1.481472,,,,,,,,,,,4549774f-aa0d-4a23-8255-1353987eb0a3,759,,,"[19.7, 10.9]",3920399,16,,,,,0.3660565,,Left Foot,,,,"[43.7, 20.1]",,High Pass,,25.702919,,,Witiness Chimoio João Quembo,10865.0,,,,,,1,From Free Kick,Reinildo Isnard Mandava,10848.0,Left Center Back,37,Mozambique,4978,['ac2d97a3-2952-4498-8f31-b4cfdc0bded9'],45,,,,,,,,,,,,,,,,,Mozambique,4978,00:16:45.722,Pass,
,,,,,,,,,,,,,,,,,1.980545,,,,,,,,,,,0451e753-fb68-46cb-b6fa-2ab6415248c4,764,,,"[77.3, 55.1]",3920399,16,,,,,0.15478039,,Left Foot,,,,"[91.4, 57.3]",,Low Pass,,14.270599,Incomplete,,Deroy Duarte,8349.0,,,,,Recovery,1,From Free Kick,Logan Costa,45557.0,Right Center Back,37,Mozambique,4978,"['ec735afb-0edb-43f2-8787-1c4e5af0371a', '98ec7e88-fabd-4c91-bfdb-2de72e560d4b', 'c6049bdd-f39b-43d0-8dee-83f6f469d637']",47,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:16:47.969,Pass,True
,,,,,,,,,,,,,,,,,0.858958,,,,,,,,,,,f1af0c9c-e8df-4a77-abd1-8760875fef8e,771,,,"[15.4, 0.1]",3920399,17,,,,,1.2364678,,,,,,"[18.7, 9.6]",,Low Pass,,10.056838,,,Ricardo Martins Guimarães,29482.0,,,,,Throw-in,1,From Throw In,Reinildo Isnard Mandava,10848.0,Left Center Back,38,Mozambique,4978,['86223509-7d7b-4596-af6a-648b25ab8a57'],17,,,,,,,,,,,,,,,,,Mozambique,4978,00:17:17.321,Pass,
,,,,,,,,,,,,,,,,,1.074545,,,,,,,,,,,994eb9cc-ae7b-4d65-ae20-3d1b3a32017a,775,,,"[18.9, 10.6]",3920399,17,,,,,-2.1708465,,Left Foot,,,,"[15.0, 4.9]",,Low Pass,,6.9065185,,,Reinildo Isnard Mandava,10848.0,,,,,,1,From Throw In,Ricardo Martins Guimarães,29482.0,Left Defensive Midfield,38,Mozambique,4978,"['2fc3db47-7009-413a-a947-21ff768b5fbd', '1814701a-d944-4e1b-b115-0d49c936f237']",18,,,,,,,,,,,,,,,,,Mozambique,4978,00:17:18.833,Pass,True
,,,,,,,,,,,,,,,,,1.298549,,,,,,,,,,,337a6125-417d-4b49-9328-78c9a061a2aa,778,,,"[15.0, 4.9]",3920399,17,,,,,0.30092025,,Right Foot,,,,"[26.6, 8.5]",,High Pass,,12.1457815,,,Stanley Ratifo,127547.0,,,,,,1,From Throw In,Reinildo Isnard Mandava,10848.0,Left Center Back,38,Mozambique,4978,['12d21f6e-c692-4740-88ea-9dc983fe4b1e'],20,,,,,,,,,,,,,,,,,Mozambique,4978,00:17:20.175,Pass,
,,,,,,,,,,,,,,,,,1.04605,,,,,,,,,,,1688b9c4-fb50-460e-8737-32dc6c9ab763,786,,,"[97.0, 72.0]",3920399,17,,,,,-1.096539,,Right Foot,,,,"[104.7, 57.0]",,Ground Pass,,16.8609,,,Tiago Manuel Dias Correia,7900.0,,,,,,1,Regular Play,Ryan Isaac Mendes da Graça,40485.0,Right Midfield,39,Cape Verde Islands,4924,['3c05aee8-0fa8-4b43-a808-afa209be9828'],24,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:17:24.806,Pass,
,,,,,,,,,,,,,,,,,1.121156,,,,,,,,,,,c9cc0a3d-3c3c-4ec9-82a8-e21b46d7d6b8,790,,,"[104.7, 54.7]",3920399,17,,,,,1.170172,,Right Foot,,,,"[108.3, 63.2]",,Ground Pass,,9.2309265,,,Ryan Isaac Mendes da Graça,40485.0,,,,,,1,Regular Play,Tiago Manuel Dias Correia,7900.0,Center Forward,39,Cape Verde Islands,4924,['95456cbe-3b0c-47d0-a735-3d7f4fb530ed'],27,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:17:27.311,Pass,
