50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,True,,,,,0.68,,,,,,,,,,48c46779-8c29-4284-a85a-2d179d5fe840,3269,,"[91.7, 4.9]",3920418,87,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Aaron Tshibola,4753.0,Right Defensive Midfield,166,Tanzania,4953,"['f180067f-9c77-4322-a2cc-ac63cd9b6597', '774da4d5-e504-4e0c-8844-c631e8a8b154']",4,,,,,,,,,,,,,,,,Congo DR,4881,00:42:04.605,Pressure,
,,,,,,,,,,,,,,,3.70189,,,,,,,,,,9d09f1d5-5fbe-46d1-aa9e-fe672928a641,3274,,"[76.1, 5.0]",3920418,87,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Omenuke Mfulu,18783.0,Left Defensive Midfield,166,Tanzania,4953,['d59cbb7e-f6ca-416d-913c-8260a4dd1ddb'],8,,,,,,,,,,,,,,,,Congo DR,4881,00:42:08.908,Pressure,
,,,,,,,,,,,,,,,0.8,,,,,,,,,,f27de143-dd60-4196-b161-ce89df2966e2,3281,,"[69.3, 48.3]",3920418,87,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Meschak Elia,35684.0,Right Wing,166,Tanzania,4953,"['7699d631-75c0-490f-9526-0372fa01fb46', '814e58b6-9b90-4b73-9ae0-c3a64db1453d']",17,,,,,,,,,,,,,,,,Congo DR,4881,00:42:17.647,Pressure,
,,,,,,,,,,,,,,,0.8,,,,,,,,,,91fac8a9-6361-4082-952a-a21f2b651d0f,3307,,"[35.0, 48.0]",3920418,87,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Yoane Wissa,7294.0,Left Wing,168,Tanzania,4953,"['a15150a3-6552-489b-a4b8-486b652de323', 'ae935524-b3f4-4f36-8a05-1015f0474694']",58,,,,,,,,,,,,,,,,Congo DR,4881,00:42:58.611,Pressure,
,,,,,,,,,,,,,,,0.393142,,,,,,,,,,1df914db-5cb2-48f4-8577-ecbe8c6f5127,3316,,"[75.7, 68.9]",3920418,88,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Haji Mnoga,51494.0,Right Center Back,168,Tanzania,4953,"['6c3cf41c-9ae9-423d-8ea4-77bce3c47b29', 'f26e4d2a-26b7-458e-800b-f6f01ad4c7c8', '2e35db07-e66e-40c5-9245-fef3654fc7c7']",5,,,,,,,,,,,,,,,,Tanzania,4953,00:43:05.588,Pressure,
,,,,,,,,,,True,,,,,0.328114,,,,,,,,,,fbdecfdd-136b-4e1c-8457-f1a4438a63c5,3324,,"[84.2, 71.0]",3920418,88,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Morice Michael Abraham,138493.0,Right Attacking Midfield,169,Congo DR,4881,['014a904b-8b31-4c5b-a1ae-bd53b53e2238'],7,,,,,,,,,,,,,,,,Tanzania,4953,00:43:07.505,Pressure,
,,,,,,,,,,,,,,,1.2,,,,,,,,,,88b776f6-0cb2-4aa3-bdc1-258b30441daf,3337,,"[68.9, 20.8]",3920418,88,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Cédric Bakambu,6862.0,Center Forward,170,Tanzania,4953,"['50e56850-2121-4f85-a003-fd732cd64a13', '11f36c0d-7388-48fb-beec-a69f5f5d8b7e']",30,,,,,,,,,,,,,,,,Congo DR,4881,00:43:30.460,Pressure,
,,,,,,,,,,,,,,,0.8,,,,,,,,,,fbb0e47c-fc9e-4254-9aba-3fbd056090b4,3341,,"[68.2, 61.9]",3920418,88,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Meschak Elia,35684.0,Right Wing,170,Tanzania,4953,"['2b3503d5-748d-406f-8292-f75e34914988', 'f7155704-47ac-4906-89d1-c80933ef9271']",34,,,,,,,,,,,,,,,,Congo DR,4881,00:43:34.360,Pressure,
,,,,,,,,,,,,,,,0.8,,,,,,,,,,0ddf98a0-fffb-4109-8b2d-e72339981468,3343,,"[55.4, 73.6]",3920418,88,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Gedeon Kalulu Kyatengwa,30193.0,Right Back,170,Tanzania,4953,"['b4cd3668-7f29-4e6a-bdc5-f73d15d4fb4e', 'dce792ff-fc85-450c-b9b1-2865e9f967db']",35,,,,,,,,,,,,,,,,Congo DR,4881,00:43:35.492,Pressure,
,,,,,,,,,,,,,,,1.4,,,,,,,,,,f6d23eb3-5d33-4c3f-857b-ffd0d7a8fbad,3348,,"[56.2, 65.6]",3920418,88,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Meschak Elia,35684.0,Right Wing,170,Tanzania,4953,['34f21371-5935-41c2-9060-db2e4a409fee'],37,,,,,,,,,,,,,,,,Congo DR,4881,00:43:37.428,Pressure,
