50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.921229,,,,,,,,,,e69c1c27-adb0-46fb-b8f8-2660f7c88d61,52,,,"[46.8, 74.6]",3920416,0,,,,,-1.3590648,,Right Foot,,,"[49.1, 63.9]",Ground Pass,,10.944405,,,,,Ellyes Joris Skhiri,3767.0,,,,,,1,From Throw In,Wajdi Kechrida,105944.0,Right Back,3,Tunisia,777,['d827e749-5c66-41f6-b41d-a0e44900d8eb'],46,,,,,,,,,,,,,,,,Tunisia,777,00:00:46.222,Pass,
,,,,,,,,,,,,,,,,,,4.083307,,,,,,,,,,722b2a7f-dd4b-403b-807c-6c3a5ee19d47,54,,,"[49.1, 63.9]",3920416,0,,,,,0.0085468,,Right Foot,,,"[107.6, 64.4]",High Pass,,58.502136,,,,,Seifeddine Jaziri,68749.0,,,,,,1,From Throw In,Ellyes Joris Skhiri,3767.0,Right Defensive Midfield,3,Tunisia,777,['cad7c71d-3f19-49e1-8498-37677182c2f7'],47,,,,,,,,,,,,,,,,Tunisia,777,00:00:47.144,Pass,
,,,,,,,,,,,,,,,,,,0.993278,,,,,,,,,,cdb548a9-d0f4-45b0-80ff-67fa7ab6c3a5,57,,,"[114.7, 60.7]",3920416,0,,,,,-2.1369207,,Right Foot,True,True,"[107.9, 50.0]",Low Pass,,12.677934,,,,,Mohamed Elias Achouri,132461.0,,,,,,1,From Throw In,Seifeddine Jaziri,68749.0,Center Forward,3,Tunisia,777,['999246d0-ebf7-499c-86b0-7cb6966d8543'],52,,,,,,,,,,,,,,,,Tunisia,777,00:00:52.506,Pass,
,,,,,,,,,,,,,,,,,,3.84874,,,,,,,,,,7243c2eb-cea4-4ca3-8f0c-048810a7fbf9,60,,,"[107.9, 50.0]",3920416,0,,,,,1.4214736,,Right Foot,,,"[111.3, 72.6]",High Pass,,22.85432,,,,,Hamza Rafia,50442.0,,,,,,1,From Throw In,Mohamed Elias Achouri,132461.0,Left Wing,3,Tunisia,777,"['ade71038-0441-44a3-8a45-6aaac82c3369', '78699b3c-3019-46e7-b7ef-24db02f0baba']",53,,,,,,,,,,,,,,,,Tunisia,777,00:00:53.500,Pass,True
,,,,,,,,,,,,,,,,,,1.769209,,,,,,,,,,eab5fc38-be01-4af7-beac-85fc32f26671,64,,,"[117.5, 73.0]",3920416,0,,,,,-1.7741324,,Right Foot,True,,"[109.5, 34.2]",High Pass,,39.616158,,,Incomplete,,,,,,,,,1,From Throw In,Hamza Rafia,50442.0,Right Wing,3,Tunisia,777,"['73d0d774-2eb9-4010-b6ac-a072cea81c08', '222616b3-dc50-4050-8586-e4f630318871']",59,,,,,,,,,,,,,,,,Tunisia,777,00:00:59.714,Pass,True
,,,,,,,,,,,,,,,,,,2.015949,,,,,,,,,,80937cfa-ee7b-4128-a9a6-90331c8d2d5e,71,,,"[71.0, 12.0]",3920416,1,,,,,2.4293773,,Right Foot,,,"[52.7, 27.8]",Ground Pass,,24.177055,,,,,Montassar Omar Talbi,32450.0,,,,,Recovery,1,From Throw In,Ali Abdi,30681.0,Left Back,3,Tunisia,777,['11f197d3-fcef-4388-8a9b-bb6857ff4e8d'],9,,,,,,,,,,,,,,,,Tunisia,777,00:01:09.082,Pass,
,,,,,,,,,,,,,,,,,,1.314939,,,,,,,,,,9acb64c5-6d05-4f25-94cc-9a4c3f413751,74,,,"[53.6, 31.0]",3920416,1,,,,,1.8015823,,Left Foot,,,"[49.3, 49.3]",Ground Pass,,18.798405,,,,,Yassine Meriah,5651.0,,,,,,1,From Throw In,Montassar Omar Talbi,32450.0,Left Center Back,3,Tunisia,777,['4ac0771d-eaa0-4456-a2e8-403fb3fef33c'],13,,,,,,,,,,,,,,,,Tunisia,777,00:01:13.251,Pass,
,,,,,,,,,,,,,,,,,,1.134853,,,,,,,,,,b7642dbd-85f2-48f6-b200-7d0fb6910165,77,,,"[54.5, 53.2]",3920416,1,,,,,1.2417467,,Right Foot,,,"[58.7, 65.5]",Ground Pass,,12.997308,,,,,Hamza Rafia,50442.0,,,,,,1,From Throw In,Yassine Meriah,5651.0,Right Center Back,3,Tunisia,777,['36f52478-fa4a-4694-b2b5-43dde8b8cfd4'],19,,,,,,,,,,,,,,,,Tunisia,777,00:01:19.641,Pass,
,,,,,,,,,,,,,,,,,,2.508099,,,,,,,,,,a677fafd-38b1-4b5a-a861-edada25dd13f,81,,,"[64.0, 76.2]",3920416,1,,,,,0.043450896,,Right Foot,,,"[84.7, 77.1]",High Pass,,20.719557,,,,,Anis Ben Slimane,35592.0,,,,,,1,From Throw In,Hamza Rafia,50442.0,Right Wing,3,Tunisia,777,"['7555e888-f917-4740-9b57-deed03b80548', '9bac868e-b836-4649-af4f-5bbec1736516']",23,,,,,,,,,,,,,,,,Tunisia,777,00:01:23.361,Pass,True
,,,,,,,,,,,,,,,,,,0.957873,,,,,,,,,,5dbf8a8b-4f5d-47cd-ba98-3d4a8308f978,91,,,"[22.8, 3.4]",3920416,1,,,,,2.3561945,,Left Foot,,,"[17.8, 8.4]",Ground Pass,,7.071068,,,,,Aubrey Maphosa Modiba,65733.0,,,,,,1,Regular Play,Sphephelo S''Miso Sithole,42527.0,Left Defensive Midfield,4,South Africa,4976,"['49e303b3-0469-4444-8163-e74dd6b76ad4', 'cc6afa49-0f4c-4a05-83a7-fb997eafa8a3']",31,,,,,,,,,,,,,,,,South Africa,4976,00:01:31.662,Pass,True
