50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,1.372351,,,,,,,,,,,cd413806-201e-451f-b301-aec47ca630bf,60,,"[11.3, 14.0]",3920404,1,,,,,-0.5465977,,Right Foot,,,,"[27.9, 3.9]",,Ground Pass,,19.43116,,,Amadou Haïdara,8774.0,,,,,,1,Regular Play,Falaye Sacko,12557.0,Left Back,6,Mali,4930,['4d320c87-3d58-411a-995c-f5315571744d'],43,,,,,,,,,,,,,,,,Mali,4930,00:01:43.166,Pass,
,,,,,,,,,,,,,,,1.923845,,,,,,,,,,,5cf35b50-06f8-49ba-ac86-0d4f36551ec9,62,,"[30.3, 5.3]",3920404,1,,True,,,0.78059053,,Right Foot,,,,"[51.2, 26.0]",,Ground Pass,,29.415981,,,Lassine Sinayoko,105182.0,,,,,,1,Regular Play,Amadou Haïdara,8774.0,Left Center Midfield,6,Mali,4930,['3692222f-12e0-4767-893f-89077b7a358e'],46,,,,,,,,,,,,,,,,Mali,4930,00:01:46.001,Pass,
,,,,,,,,,,,,,,,2.678374,,,,,,,,,,,bb1c55ae-9de3-4897-a852-87d7a048dc48,70,,"[54.5, 61.7]",3920404,2,,True,,,-0.77728474,,Right Foot,,,,"[104.2, 12.8]",,High Pass,,69.72302,Incomplete,,,,,True,,,Free Kick,1,From Free Kick,Yassine Meriah,5651.0,Right Center Back,7,Tunisia,777,['8a385cb5-d467-4958-8668-765cf5df6396'],5,,,,,,,,,,,,,,,,Tunisia,777,00:02:05.762,Pass,
,,,,,,,,,,,,,,,1.480242,,,,,,,,,,,d8b5e3e2-e82e-4827-a816-0861a9df79db,72,,"[103.6, 0.1]",3920404,2,,True,,,1.8585794,,,,,,"[99.9, 12.6]",,Low Pass,,13.036103,,,Anis Ben Slimane,35592.0,,,,,Throw-in,1,From Throw In,Ali Abdi,30681.0,Left Back,8,Tunisia,777,['1b432ad0-f40a-4cc2-b644-01bd9c27609b'],13,,,,,,,,,,,,,,,,Tunisia,777,00:02:13.829,Pass,
,,,,,,,,,,,,,,,0.929478,,,,,,,,,,,fb63d50a-2ab1-4dc6-a0cd-d2526e708a6b,75,,"[99.7, 12.0]",3920404,2,,True,,,-0.9772536,,Right Foot,,,,"[105.3, 3.7]",,Ground Pass,,10.012492,,,Ali Abdi,30681.0,,,,,,1,From Throw In,Anis Ben Slimane,35592.0,Left Center Forward,8,Tunisia,777,"['228805f6-781c-43a3-a391-cb43f53af10d', '47f53fb2-baf1-4523-9b36-bea08df05ee4']",15,,,,,,,,,,,,,,,,Tunisia,777,00:02:15.910,Pass,True
,,,,,,,,,,,,,,,0.687033,,,,,,,,,,,0ed2471e-1df7-40c6-8b91-3fab5efe8edc,77,,"[105.2, 5.3]",3920404,2,,,,,1.929567,,Left Foot,,,,"[104.0, 8.5]",,Ground Pass,,3.4176016,,,Anis Ben Slimane,35592.0,,,,,,1,From Throw In,Ali Abdi,30681.0,Left Back,8,Tunisia,777,['ddec2003-8db9-474b-91f6-21be6c679248'],17,,,,,,,,,,,,,,,,Tunisia,777,00:02:17.625,Pass,
,,,,,,,,,,,,,,,0.605904,,,,,,,,,,,85b6ed36-8009-40d3-9557-77fa61b96510,81,,"[105.7, 8.1]",3920404,2,,,,,1.5188949,,Left Foot,,,,"[106.5, 23.5]",,Low Pass,,15.420765,,,Youssef Msakni,23910.0,,,,,,1,From Throw In,Anis Ben Slimane,35592.0,Left Center Forward,8,Tunisia,777,['5e2cb3d1-d645-4ee9-a2c4-0a39b5603837'],20,,,,,,,,,,,,,,,,Tunisia,777,00:02:20.064,Pass,
,,,,,,,,,,,,,,,0.729088,,,,,,,,,,,9b0c789c-fe51-4510-b505-616e405edd22,84,,"[112.5, 7.2]",3920404,2,,,,,-2.8286915,,Right Foot,,,,"[105.7, 5.0]",,Ground Pass,,7.1470275,,,Anis Ben Slimane,35592.0,,,,,,1,From Throw In,Youssef Msakni,23910.0,Right Center Forward,8,Tunisia,777,['786d12df-60c6-4d6e-accc-5fe4ae1aa2d6'],25,,,,,,,,,,,,,,,,Tunisia,777,00:02:25.508,Pass,
,,,,,,,,,,,,,,,0.363113,,,,,,,,,,,62f516f5-c37d-4eec-9c2f-9d79e34d4dac,88,,"[105.6, 6.8]",3920404,2,,,,,1.6262949,,Right Foot,,,,"[105.3, 12.2]",,Ground Pass,,5.408327,,,Mohamed Elias Achouri,132461.0,,,,,,1,From Throw In,Anis Ben Slimane,35592.0,Left Center Forward,8,Tunisia,777,"['b7b61c2d-aa1b-4267-8b04-936877748a26', '8fc27a67-4ffe-4dcb-9575-d8c368414e27']",26,,,,,,,,,,,,,,,,Tunisia,777,00:02:26.741,Pass,True
,,,,,,,,,,,,,,,1.388762,,,,,,,,,,,844c22b0-8480-42d3-b822-2dbf365f87cb,91,,"[105.3, 12.2]",3920404,2,,,,,-2.6914577,,Right Foot,,,,"[90.4, 5.0]",,Ground Pass,,16.548414,,,Aïssa Bilal Laïdouni,44955.0,,,,,,1,From Throw In,Mohamed Elias Achouri,132461.0,Left Midfield,8,Tunisia,777,"['3d5a6f56-23d8-4571-bcd9-b129c7fa729a', '35291086-0984-4bdd-b71e-33d087cb5faa']",27,,,,,,,,,,,,,,,,Tunisia,777,00:02:27.104,Pass,True
