50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,"[63.7, 20.1]",,,,,,,,,,,,0.017998,,,,,,,,,,,,,7010be66-d8ab-47f9-bf47-0f253bddbe23,2641,,,"[63.7, 20.1]",3923881,94,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Jean Thierry Lazare Amani,23957.0,Right Center Midfield,160,Nigeria,775,"['17db881b-747e-48fc-9952-c57c79c06cc5', '6c383062-79b5-4eaa-863d-a7caabd85807']",29,,,,,,,,,,,,,,,,,Côte d'Ivoire,3374,00:49:29.841,Carry,
,,,,,,"[51.2, 52.8]",,,,,,,,,,,,0.24,,,,,,,,,,,,,402fbe7a-c563-4f02-bf8e-03aacbdb9f11,2645,,,"[51.1, 55.0]",3923881,94,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Joe Aribo,3856.0,Left Defensive Midfield,160,Nigeria,775,"['9f950d67-fa30-465a-8fd2-27344765a72c', 'cf36c3cd-103d-4c2f-9f09-226cf31b63ab', '95a681ce-31e5-4347-a539-c59e06ea49f3']",32,,,,,,,,,,,,,,,,,Nigeria,775,00:49:32.253,Carry,True
,,,,,,"[48.8, 16.4]",,,,,,,,,,,,1.599796,,,,,,,,,,,,,f1c4e093-6be9-4069-a089-06fa2ec8bfe4,2648,,,"[49.1, 23.4]",3923881,94,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Calvin Bassey Ughelumba,43779.0,Left Back,160,Nigeria,775,"['ed839c3c-335f-4289-a10f-4407fc47be9d', '03df1f33-2efe-496d-8b0b-539b971c804f', 'ef053006-8a54-4f5a-8df3-90ed42af0b5f']",34,,,,,,,,,,,,,,,,,Nigeria,775,00:49:34.656,Carry,True
,,,,,,"[41.5, 19.1]",,,,,,,,,,,,2.469052,,,,,,,,,,,,,20901663-7b26-47d5-9e16-aa0a3307083a,2672,,,"[28.8, 21.3]",3923881,95,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Franck Yannick Kessié,7023.0,Left Center Midfield,161,Nigeria,775,"['a974729d-abe3-4b82-a07b-224daa6a5a96', 'ac1f9bf6-0ed0-460f-a7f5-4beac9d82edb']",34,,,,,,,,,,,,,,,,,Côte d'Ivoire,3374,00:50:34.674,Carry,
,,,,,,"[35.7, 24.8]",,,,,,,,,,,,0.795408,,,,,,,,,,,,,96144e3f-afb6-47cf-9bfc-24433a9c805d,2688,,,"[35.5, 23.3]",3923881,96,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ibrahim Sangaré,3017.0,Center Defensive Midfield,163,Côte d'Ivoire,3374,"['6f39cc1e-fd8e-45d0-9e5b-0c09d6871779', 'd7472674-3237-4dae-9d84-cc0ad16e02c6', '19b0f24f-68ac-4077-851b-cae1cefd5d24']",0,,,,,,,,,,,,,,,,,Côte d'Ivoire,3374,00:51:00.887,Carry,True
,,,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,11b6d843-350e-4308-b09c-5024055a7c09,14,,,"[23.0, 23.6]",3923881,0,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Obite Evan Ndicka,7713.0,Left Center Back,2,Nigeria,775,['189248d8-7c52-46db-938c-60843c9bb47a'],9,,,,,,,,,,,,,,,,,Côte d'Ivoire,3374,00:00:09.250,Duel,True
,,,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,b890e088-e503-41a0-85ae-5c4f6fce7007,135,,,"[13.4, 38.0]",3923881,3,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Oluwasemilogo Adesewo Ibidapo Ajayi,3923.0,Right Center Back,10,Côte d'Ivoire,3374,['67752bf0-0163-4e41-b273-0da02bff7a47'],36,,,,,,,,,,,,,,,,,Nigeria,775,00:03:36.334,Duel,True
,,,,,,,,,,,,True,,,,Success In Play,Tackle,0.0,,,,,,,,,,,,,7ade8319-d028-4db3-bf3c-8e84c53e2cd5,152,,,"[41.8, 5.1]",3923881,4,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jean Michaël Seri,3359.0,Center Defensive Midfield,12,Côte d'Ivoire,3374,['74a5dd12-6fc4-4cf1-b4bf-669687b7c0f2'],13,,,,,,,,,,,,,,,,,Côte d'Ivoire,3374,00:04:13.785,Duel,True
,,,,,,,,,,,,,,,,Lost Out,Tackle,0.0,,,,,,,,,,,,,205a6409-1aa1-43bd-b217-634d8bf8eb1c,257,,,"[58.2, 77.2]",3923881,7,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Serge Aurier,3481.0,Right Back,18,Nigeria,775,['a6fa5c7d-4b6b-4ba6-a941-79b370c15e94'],59,,,,,,,,,,,,,,,,,Côte d'Ivoire,3374,00:07:59.589,Duel,True
,,,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,7704d3b9-e6bf-4b55-8198-62cea0c2a145,300,,,"[111.2, 39.1]",3923881,10,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Obite Evan Ndicka,7713.0,Left Center Back,21,Côte d'Ivoire,3374,['254fee86-8611-4dc2-929d-dfc2b0e791df'],55,,,,,,,,,,,,,,,,,Côte d'Ivoire,3374,00:10:55.764,Duel,True
