50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.608019,,,,,,,,,,,,,,2de1b31e-70c2-4695-8b72-dc96d068af97,53,,,"[91.7, 80.0]",3922241,0,,,,-0.50806284,,,,,,"[109.3, 70.2]",Low Pass,,20.144478,,,,Ryan Isaac Mendes da Graça,40485.0,,,,Throw-in,1,From Throw In,Steven Moreira,7197.0,Right Back,3,Cape Verde Islands,4924,['6e6598c9-8044-472f-9028-02c42ea989c2'],47,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:47.314,Pass,
,,,,,,,,,,,,,,,,,1.503672,,,,,,,,,,,,,,ce8557f7-c9f5-4d04-85d4-5e8187deea9c,56,,,"[109.3, 70.2]",3922241,0,,,,-1.138662,,Right Foot,True,,,"[120.0, 47.0]",High Pass,,25.548582,,Out,,,,,,,,1,From Throw In,Ryan Isaac Mendes da Graça,40485.0,Right Wing,3,Cape Verde Islands,4924,,49,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:49.318,Pass,
,,,,,,,,,,,,,,,,,3.100379,,,,,,,,,,,,,,2a2f05ff-26c9-499b-8800-d9ec8b92e607,57,,,"[6.0, 39.6]",3922241,1,,,,0.33953252,,Right Foot,,,,"[71.4, 62.7]",High Pass,,69.35972,,Incomplete,,,,,,,Goal Kick,1,From Goal Kick,Babacar Niasse,36951.0,Goalkeeper,4,Mauritania,4932,['5f5a8608-59c0-421b-9dc5-371cb386c563'],21,,,,,,,,,,,,,,,,Mauritania,4932,00:01:21.819,Pass,
,,,,,,,,,,,,,,,,,1.453911,,,,,,,,,,,,,,5f5a8608-59c0-421b-9dc5-371cb386c563,58,,,"[48.7, 17.4]",3922241,1,,,,0.44292518,,Head,,,,"[56.5, 21.1]",High Pass,,8.633076,,Incomplete,,Jovane Eduardo Borges Cabral,10598.0,,,,Recovery,1,From Goal Kick,João Paulo Moreira Fernandes,133038.0,Left Back,4,Mauritania,4932,"['2a2f05ff-26c9-499b-8800-d9ec8b92e607', '873e5748-81e5-4f3b-af02-b1fcb461acb1', 'bd6fccfd-03c4-4620-93a5-ad053e1794b3']",24,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:01:24.920,Pass,
,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,873e5748-81e5-4f3b-af02-b1fcb461acb1,60,,,"[63.6, 59.0]",3922241,1,,,True,-1.2277724,,,,,,"[64.1, 57.6]",Low Pass,,1.4866068,,Incomplete,,Souleymane Anne,49763.0,,,,Recovery,1,From Goal Kick,Bodda Mouhsine,146933.0,Right Center Midfield,4,Mauritania,4932,"['6c818188-7c19-4a73-bef1-3afe91d49969', 'bc57f348-c869-4730-aef4-7dbdbb097215', '5f5a8608-59c0-421b-9dc5-371cb386c563', '0dd65962-abfd-43b2-b3a6-e8b2a4009967']",26,,,,,,,,,,,,,,,,Mauritania,4932,00:01:26.374,Pass,True
,,,,,,,,,,,,,,,,,0.77805,,,,,,,,,,,,,,8da5c954-c5ca-4051-ac28-fcc9a4c87f62,64,,,"[57.1, 23.4]",3922241,1,,,,2.9694018,,Left Foot,,,,"[54.8, 23.8]",Ground Pass,,2.3345234,,,,Jovane Eduardo Borges Cabral,10598.0,,,,Recovery,1,Regular Play,Jamiro Gregory Monteiro Alvarenga,7753.0,Center Attacking Midfield,5,Cape Verde Islands,4924,['d5eabba4-c30f-4a75-a132-786b23e3f788'],27,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:01:27.839,Pass,
,,,,,,,,,,,,,,,,,2.20794,,,,,,,,,,,,,,9a9dd2cb-47f9-480d-a152-7bebbc4ab42a,68,,,"[63.4, 17.7]",3922241,1,,,,-0.4195304,,Right Foot,,,,"[84.7, 8.2]",Ground Pass,,23.322521,,,,Tiago Manuel Dias Correia,7900.0,,,,,1,Regular Play,Jovane Eduardo Borges Cabral,10598.0,Left Wing,5,Cape Verde Islands,4924,['910275ec-2394-4aac-89f2-1d3fe35b5abd'],30,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:01:30.221,Pass,
,,,,,,,,,,,,,,,,,2.907413,,,,,,,,,,,,,,f8b2ebd0-b593-45de-99e5-f26c8dfe28c4,75,,,"[27.9, 72.4]",3922241,2,,,,-0.400297,,Right Foot,,,,"[85.8, 47.9]",High Pass,,62.870182,,Incomplete,,,,,,,Free Kick,1,From Free Kick,Babacar Niasse,36951.0,Goalkeeper,6,Mauritania,4932,['d28418a9-fcfb-4be4-9341-1f121237f02a'],3,,,,,,,,,,,,,,,,Mauritania,4932,00:02:03.540,Pass,
,,,,,,,,,,,,,,,,,1.639963,,,,,,,,,,,,,,4bd076a5-a028-48cc-9dd8-cb3fcbb7acda,77,,,"[83.0, 16.5]",3922241,2,,,,-3.0742102,,Right Foot,,,,"[66.7, 15.4]",Low Pass,,16.337074,,,,Khadim Diaw,389292.0,,,,Recovery,1,From Free Kick,Hemeya Tanjy,102667.0,Left Midfield,6,Mauritania,4932,['3a93f286-a190-4377-bde5-e10f7bde58c6'],9,,,,,,,,,,,,,,,,Mauritania,4932,00:02:09.540,Pass,
,,,,,,,,,,,,,,,,,0.519995,,,,,,,,,,,,,,a0e03488-c3a7-415e-b293-1f7bff4e8689,80,,,"[66.7, 15.4]",3922241,2,,,,0.8826514,,Left Foot,,,,"[70.4, 19.9]",Ground Pass,,5.8258047,,,,Omaré Gassama,341163.0,,,,,1,From Free Kick,Khadim Diaw,389292.0,Left Back,6,Mauritania,4932,['3439b2fb-7e3f-408e-ab5f-094a2623824c'],11,,,,,,,,,,,,,,,,Mauritania,4932,00:02:11.260,Pass,
