50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,5c84429f-f137-43ce-8977-a70dc144a781,1886,,,"[31.4, 76.1]",3922837,51,,,,0.40890783,,Right Foot,,,"[40.4, 80.0]",Ground Pass,,9.80867,,Out,,Alex Iwobi,3647.0,,,,,,2,From Keeper,Stanley Bobo Nwabali,358410.0,Goalkeeper,90,Nigeria,775,['a8b7e593-4f79-4091-b2f6-9efd9ad3f2b5'],9,,,,,,,,,,,,,,,,,Nigeria,775,00:06:09.795,Pass,
,,,,,,,,,,,,,,,,,0.884346,,,,,,,,,,,,d92373c7-4de3-494a-9bf3-4730cec29f1f,1888,,,"[89.0, 0.1]",3922837,51,,,,3.0435474,,,,,"[76.8, 1.3]",Low Pass,,12.258874,,,,Themba Zwane,65726.0,,,,,Throw-in,2,From Throw In,Percy Tau,29367.0,Right Wing,91,South Africa,4976,['65a82323-ce93-4563-8475-99910c2e00de'],16,,,,,,,,,,,,,,,,,South Africa,4976,00:06:16.206,Pass,
,,,,,,,,,,,,,,,,,2.235849,,,,,,,,,,,,9a7a6dd1-3513-4533-883a-cbe0b20882d3,1891,,,"[79.6, 1.7]",3922837,51,,,,1.6639327,,Right Foot,,,"[77.9, 19.9]",Ground Pass,,18.279222,,,,Sphephelo S''Miso Sithole,42527.0,,,,,,2,From Throw In,Themba Zwane,65726.0,Left Wing,91,South Africa,4976,['f3d8f464-f857-4d28-9f0a-50ec127d9d8a'],20,,,,,,,,,,,,,,,,,South Africa,4976,00:06:20.167,Pass,
,,,,,,,,,,,,,,,,,0.295438,,,,,,,,,,,,89ecfa22-059a-488e-b9b5-bf387044b65f,1894,,,"[81.1, 28.9]",3922837,51,,,,1.3775848,,Right Foot,,,"[82.0, 33.5]",Ground Pass,,4.6872168,,Incomplete,,Evidence Makgopa,65853.0,,,,,,2,From Throw In,Sphephelo S''Miso Sithole,42527.0,Left Defensive Midfield,91,South Africa,4976,"['8d0df146-a466-465f-acec-9595fd898007', 'fef222cb-2f38-41ec-b043-72291c862282']",23,,,,,,,,,,,,,,,,,South Africa,4976,00:06:23.425,Pass,
,,,,,,,,,,,,,,,,,2.395054,,,,,,,,,,,,6b5e68b8-ca5c-4712-afe2-4bbb7cfde01b,1901,,,"[27.8, 47.1]",3922837,51,True,,,0.13490644,,Right Foot,,,"[114.0, 58.8]",High Pass,,86.9904,,,,Victor James Osimhen,11277.0,,,,,Free Kick,2,From Free Kick,Frank Onyeka,24467.0,Right Defensive Midfield,92,Nigeria,775,['27e3055f-4c50-4c34-8734-901f4adc1589'],47,,,,,,,,,,,,,,,,,Nigeria,775,00:06:47.075,Pass,
,,,,,,,,,,,,,,,,,1.3278,,,,,,,,,,,,239c042d-ec6a-4bdc-8da0-13a4344add49,1907,,,"[120.0, 80.0]",3922837,52,,,,-1.7643095,,Right Foot,,,"[113.2, 45.3]",High Pass,,35.360004,,Incomplete,True,,,,,Outswinging,,Corner,2,From Corner,Ademola Lookman,3447.0,Left Wing,93,Nigeria,775,['80135e7b-189d-4430-b888-757951cf5f07'],50,,,,,,,,,,,,,,,,,Nigeria,775,00:07:50.251,Pass,
,,,,,,,,,,,,,,,,,2.980809,,,,,,,,,,,,0ed7a951-1961-4bce-b6c1-67441e9a0c8a,1912,,,"[86.0, 53.2]",3922837,52,,,,2.2261312,,Right Foot,,,"[65.4, 80.0]",Ground Pass,,33.80237,,Out,,,,,,,,,2,From Corner,Alex Iwobi,3647.0,Left Defensive Midfield,93,Nigeria,775,,54,,,,,,,,,,,,,,,,,Nigeria,775,00:07:54.979,Pass,
,,,,,,,,,,,,,,,,,1.15862,,,,,,,,,,,,8c351815-96b3-4ef0-a8a9-8812e25abd5e,1913,,,"[57.7, 0.1]",3922837,53,True,,,1.591412,,,,,"[57.5, 9.8]",Low Pass,,9.702062,,,,Teboho Mokoena,66716.0,,,,,Throw-in,2,From Throw In,Aubrey Maphosa Modiba,65733.0,Left Wing Back,94,South Africa,4976,['3a1293f2-6b29-4a4b-92e6-0f7e175e0b65'],1,,,,,,,,,,,,,,,,,South Africa,4976,00:08:01.976,Pass,
,,,,,,,,,,,,,,,,,0.827016,,,,,,,,,,,,22a578fd-9287-4a07-8110-24a025839d7f,1915,,,"[52.9, 8.8]",3922837,53,,,,-1.4887888,,Right Foot,,,"[53.5, 1.5]",Ground Pass,,7.324616,,,,Aubrey Maphosa Modiba,65733.0,,,,,,2,From Throw In,Teboho Mokoena,66716.0,Right Defensive Midfield,94,South Africa,4976,['a0d78be7-dd2a-4f5e-9af3-c103fe47d45e'],4,,,,,,,,,,,,,,,,,South Africa,4976,00:08:04.319,Pass,
,,,,,,,,,,,,,,,,,2.38456,,,,,,,,,,,,a0e9044c-63dc-4b2d-bbb5-89c13bccb993,1919,,,"[57.3, 1.7]",3922837,53,,,,0.02418883,,Left Foot,,,"[94.5, 2.6]",High Pass,,37.210884,,,,Themba Zwane,65726.0,,,,,,2,From Throw In,Aubrey Maphosa Modiba,65733.0,Left Wing Back,94,South Africa,4976,"['a613827d-c111-42a7-a344-876be396b0ba', '05fe9dfe-a868-4611-8f23-51b5794eb323']",6,,,,,,,,,,,,,,,,,South Africa,4976,00:08:06.528,Pass,True
