50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,"[25.8, 17.6]",,,,,,,,,,,,,,3.120385,,,,,,,,,cb9b7af4-e0bf-4a06-b143-37734584bd45,240,,,"[9.0, 25.9]",3920393,6,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Lubeni Haukongo,135004.0,Left Center Back,18,Namibia,4980,"['bc047c0d-f620-4c25-9175-432e746280b0', '0fcf92ae-6987-4f67-ab29-9272da0405eb']",59,,,,,,,,,,,,,,,,,Namibia,4980,00:06:59.537,Carry,
,,,,,"[42.6, 71.4]",,,,,,,,,,,,,,1.495632,,,,,,,,,95a7e73a-b837-454d-9234-0aae7c968a59,256,,,"[40.0, 70.3]",3920393,7,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Anis Ben Slimane,35592.0,Right Center Midfield,18,Namibia,4980,"['7382de1f-1d17-414c-b65e-b6e2bad8b022', '2a133634-cf2a-4346-b99a-b2f95a65507d', 'ff22266e-c2e4-4322-83db-670ffc71ac9f']",15,,,,,,,,,,,,,,,,,Tunisia,777,00:07:15.960,Carry,True
,,,,,"[78.2, 4.1]",,,,,,,,,,,,,,2.071361,,,,,,,,,6013011f-68bc-4270-8c2e-1344e21be585,261,,,"[80.1, 6.1]",3920393,7,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Deon Hotto Kavendji,64612.0,Left Midfield,18,Namibia,4980,"['7d802d1b-2d8e-4f89-ae01-356fb3c03439', '5273b612-b7f3-468b-b942-850ff6a2e29f', '748d3653-3cd8-4c80-9304-dde7a1e9db8e']",19,,,,,,,,,,,,,,,,,Namibia,4980,00:07:19.095,Carry,True
,,,,,"[92.8, 4.4]",,,,,,,,,,,,,,0.543041,,,,,,,,,bec05eb7-dfe6-4f97-b04f-de9503e980ba,281,,,"[92.8, 4.4]",3920393,8,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Ali Maâloul,5647.0,Left Back,21,Tunisia,777,"['6787e535-0ab7-4761-b355-732c4c0c6969', '9b006a27-4063-4d01-b85a-25f6095a09b4', 'df54b7bc-19f0-4ec2-8023-c9059227b915']",30,,,,,,,,,,,,,,,,,Tunisia,777,00:08:30.516,Carry,True
,,,,,"[82.2, 6.0]",,,,,,,,,,,,,,2.126872,,,,,,,,,b548a863-0d4d-4b92-8e42-e8738df994a3,284,,,"[85.6, 6.0]",3920393,8,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Mohamed Ali Ben Romdhane,102816.0,Left Center Midfield,21,Tunisia,777,"['6ac2483f-9b57-488f-b403-a98bca50a96c', '8486867b-c3a1-45de-ba99-9dd487047889']",31,,,,,,,,,,,,,,,,,Tunisia,777,00:08:31.597,Carry,
,,,,,"[66.7, 15.7]",,,,,,,,,,,,,,0.893522,,,,,,,,,cd05de9b-2376-46ce-a568-7e4ed84d366f,287,,,"[66.5, 16.6]",3920393,8,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Montassar Omar Talbi,32450.0,Left Center Back,21,Tunisia,777,"['671d1f4d-799e-4af9-9eee-379161a190d5', '0dad9afc-7b6e-4708-a7d8-86e8944eb41d']",35,,,,,,,,,,,,,,,,,Tunisia,777,00:08:35.269,Carry,
,,,,,"[64.8, 37.7]",,,,,,,,,,,,,,0.067813,,,,,,,,,f5c3d1d5-0d6d-4005-9e66-9699077795e1,290,,,"[64.8, 37.7]",3920393,8,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Yassine Meriah,5651.0,Right Center Back,21,Tunisia,777,"['1ef2c7d4-c3ac-4dce-a401-7fbccf158763', '80053942-f5de-45c3-aeba-de8f8668654a']",37,,,,,,,,,,,,,,,,,Tunisia,777,00:08:37.762,Carry,
,,,,,"[63.0, 13.1]",,,,,,,,,,,,,,0.945602,,,,,,,,,56741b1e-48b3-4e97-9bc3-81bc9a0785a0,293,,,"[63.0, 13.1]",3920393,8,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Montassar Omar Talbi,32450.0,Left Center Back,21,Tunisia,777,"['594330d7-0392-44c0-b6f1-61f64f051143', '58741105-96b4-404f-ac06-0cf1d07d0ebe']",38,,,,,,,,,,,,,,,,,Tunisia,777,00:08:38.944,Carry,
,,,,,"[68.5, 7.7]",,,,,,,,,,,,,,3.0732,,,,,,,,,6f72b9ce-e7ca-4ef7-9d67-1588975c1352,297,,,"[70.0, 6.8]",3920393,8,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Youssef Msakni,23910.0,Left Wing,21,Tunisia,777,"['28fa92cc-4ada-41e3-a323-f6f3e82e8a8a', '700f52a1-14b9-4f3a-be0d-f6182ec6c8ec', '1d3bc569-4aad-406d-bbf1-5dc4d1dbc7e5']",40,,,,,,,,,,,,,,,,,Tunisia,777,00:08:40.944,Carry,True
,,,,,"[50.6, 12.9]",,,,,,,,,,,,,,3.230894,,,,,,,,,8394fa59-2aaa-4071-ba78-978523960b91,300,,,"[49.8, 12.5]",3920393,8,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Montassar Omar Talbi,32450.0,Left Center Back,21,Tunisia,777,"['8704a409-a1bb-494b-a787-9000845b7b69', 'a357f4f3-e411-4ff2-9597-2bea55257caa']",45,,,,,,,,,,,,,,,,,Tunisia,777,00:08:45.825,Carry,
