50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.401012,,,,,,,,,,,703daa51-23b6-41ed-b8cf-fd5ee399df71,53,,,"[13.9, 62.7]",3923880,1,,,,-2.1320825,,Right Foot,,"[3.4, 46.0]",Ground Pass,,19.726631,,,,,Ronwen Williams,66721.0,,,,,,1,From Goal Kick,Siyanda Xulu,102722.0,Right Center Back,5,South Africa,4976,['eb0aa685-edc5-47e0-b19a-4e6152b72807'],32,,,,,,,,,,,,,,,,South Africa,4976,00:01:32.362,Pass,
,,,,,,,,,,,,,,,,,,1.817557,,,,,,,,,,,55c492e5-ffc2-4ac2-9178-c0d1a5293023,57,,,"[3.6, 46.3]",3923880,1,,,,1.2256386,,Right Foot,,"[10.0, 64.1]",Ground Pass,,18.915602,,,,,Siyanda Xulu,102722.0,,,,,,1,From Goal Kick,Ronwen Williams,66721.0,Goalkeeper,5,South Africa,4976,"['130c819d-5473-4742-85a8-4f7ab273d81a', '4330cdab-23f6-42e9-9c5d-a14a11dcaec3']",34,,,,,,,,,,,,,,,,South Africa,4976,00:01:34.798,Pass,True
,,,,,,,,,,,,,,,,,,0.64444,,,,,,,,,,,71fee2ff-ead9-4a97-b002-034eaa47e6a5,61,,,"[19.1, 66.3]",3923880,1,,,,-1.539061,,Right Foot,,"[19.5, 53.7]",Ground Pass,,12.606348,,,,,Teboho Mokoena,66716.0,,,,,,1,From Goal Kick,Siyanda Xulu,102722.0,Right Center Back,5,South Africa,4976,"['53a080c9-228a-4782-9025-13dbeb42d0d5', '338e16b2-1f24-4700-8d80-f0f3ccecc942']",38,,,,,,,,,,,,,,,,South Africa,4976,00:01:38.158,Pass,True
,,,,,,,,,,,,,,,,,,1.591404,,,,,,,,,,,d25ac721-1ee9-4a7c-9a50-9986f866c775,65,,,"[20.2, 52.7]",3923880,1,,,,-1.7928783,,Right Foot,,"[13.9, 24.8]",Ground Pass,,28.602448,,,,,Nkosinathi Sibisi,67974.0,,,,,,1,From Goal Kick,Teboho Mokoena,66716.0,Right Defensive Midfield,5,South Africa,4976,"['c92fa06a-ad7d-48a2-8274-a63548c2f18c', '9cee4818-84fc-40a5-aae0-90e81ebd98c9']",39,,,,,,,,,,,,,,,,South Africa,4976,00:01:39.703,Pass,True
,,,,,,,,,,,,,,,,,,1.221208,,,,,,,,,,,67a81ca2-3120-48e2-b151-b354993d4207,68,,,"[13.1, 25.3]",3923880,1,,,,2.0160973,,Right Foot,,"[6.8, 38.5]",Ground Pass,,14.626346,,,,,Ronwen Williams,66721.0,,,,,,1,From Goal Kick,Nkosinathi Sibisi,67974.0,Left Center Back,5,South Africa,4976,['af6e7a84-7d27-4778-80a6-f645475cb3e6'],42,,,,,,,,,,,,,,,,South Africa,4976,00:01:42.654,Pass,
,,,,,,,,,,,,,,,,,,1.083832,,,,,,,,,,,fa7c8aaf-b960-4993-9b5e-e41c2085338a,71,,,"[14.0, 40.5]",3923880,1,,,,-0.4655781,,Right Foot,,"[34.7, 30.1]",Ground Pass,,23.165707,,,,,Sphephelo S''Miso Sithole,42527.0,,,,,,1,From Goal Kick,Ronwen Williams,66721.0,Goalkeeper,5,South Africa,4976,['aa044c02-06e1-41bc-aac6-b883198766d0'],51,,,,,,,,,,,,,,,,South Africa,4976,00:01:51.763,Pass,
,,,,,,,,,,,,,,,,,,1.999029,,,,,,,,,,,e4ff7c85-d3f3-40e5-a02e-994f4ef40fa1,74,,,"[35.8, 29.5]",3923880,1,,,,-2.5715523,,Right Foot,,"[20.2, 19.5]",Ground Pass,,18.529976,,,,,Nkosinathi Sibisi,67974.0,,,,,,1,From Goal Kick,Sphephelo S''Miso Sithole,42527.0,Left Defensive Midfield,5,South Africa,4976,['b7cc948d-1871-4f2d-ae26-0de2fef1c4f1'],53,,,,,,,,,,,,,,,,South Africa,4976,00:01:53.631,Pass,
,,,,,,,,,,,,,,,,,,1.661447,,,,,,,,,,,b8b770f9-f8c9-424b-b46c-3406356943ad,77,,,"[19.9, 19.5]",3923880,1,,,,2.0636327,,Right Foot,,"[11.2, 35.7]",Ground Pass,,18.388311,,,,,Ronwen Williams,66721.0,,,,,,1,From Goal Kick,Nkosinathi Sibisi,67974.0,Left Center Back,5,South Africa,4976,['4a729e9d-ea38-4136-93ba-ccf1612cccbc'],56,,,,,,,,,,,,,,,,South Africa,4976,00:01:56.513,Pass,
,,,,,,,,,,,,,,,,,,2.411037,,,,,,,,,,,c1c03a43-9f16-4b5e-ab0c-480f86be7bbb,81,,,"[15.1, 35.5]",3923880,2,,,,-0.124132425,,Right Foot,,"[70.4, 28.6]",High Pass,,55.72881,,,Incomplete,,Evidence Makgopa,65853.0,,,,,,1,From Goal Kick,Ronwen Williams,66721.0,Goalkeeper,5,South Africa,4976,"['ae2b22d9-817f-470d-bf09-9d42913a4a1d', '385ac209-7ea4-4c7b-a71f-b01c2b35c367']",6,,,,,,,,,,,,,,,,South Africa,4976,00:02:06.240,Pass,
,,,,,,,,,,,,,,,,,,1.452156,,,,,,,,,,,a3938588-1b70-49dd-876a-7ab06b6af091,86,,,"[15.1, 34.6]",3923880,2,,,,-0.20509511,,Drop Kick,,"[55.0, 26.3]",High Pass,,40.754143,,,,,Themba Zwane,65726.0,,,,,,1,From Goal Kick,Ronwen Williams,66721.0,Goalkeeper,5,South Africa,4976,['bf3f3759-5f18-4ca9-8130-8acfda0541b3'],16,,,,,,,,,,,,,,,,South Africa,4976,00:02:16.268,Pass,
,,,,,,,,,,,,,,,,,,1.616485,,,,,,,,,,,aea4371b-f35b-4417-b3cd-49c86d9be0d5,89,,,"[57.1, 24.1]",3923880,2,,,,-0.9140371,,Right Foot,,"[74.6, 1.4]",Ground Pass,,28.66252,,,,,Mihlali Samson Mayambela,133003.0,,,,,,1,From Goal Kick,Themba Zwane,65726.0,Center Attacking Midfield,5,South Africa,4976,['d70c5066-3ae4-458a-b62f-81223a9062a5'],18,,,,,,,,,,,,,,,,South Africa,4976,00:02:18.758,Pass,
,,,,,,,,,,,,,,,,,,0.975029,,,,,,,,,,,4606b034-f8d1-4696-bf22-705e2bd1322e,95,,,"[95.4, 0.1]",3923880,2,,,,2.796037,,,,"[85.4, 3.7]",Low Pass,,10.628264,,,,,Aubrey Maphosa Modiba,65733.0,,,,,Throw-in,1,From Throw In,Mihlali Samson Mayambela,133003.0,Left Midfield,6,South Africa,4976,['625446f9-5889-4fbb-b3bb-5d9ef61ec9cf'],31,,,,,,,,,,,,,,,,South Africa,4976,00:02:31.935,Pass,
,,,,,,,,,,,,,,,,,,1.046687,,,,,,,,,,,9bb4bce1-699d-4ede-b366-bfd2d3d8e855,98,,,"[85.4, 3.7]",3923880,2,,,,-0.13010205,,Left Foot,,"[96.1, 2.3]",Ground Pass,,10.7912,,,,,Mihlali Samson Mayambela,133003.0,,,,,,1,From Throw In,Aubrey Maphosa Modiba,65733.0,Left Back,6,South Africa,4976,['0ef60248-afc0-4384-a78e-e67dd9634afc'],33,,,,,,,,,,,,,,,,South Africa,4976,00:02:33.906,Pass,
,,,,,,,,,,,,,,,,,,0.484089,,,,,,,,,,,9ddcfbb1-0627-4dc7-820d-19379f237c81,101,,,"[97.2, 2.3]",3923880,2,,,,1.6529639,,Right Foot,,"[96.5, 10.8]",Ground Pass,,8.528775,,,,,Themba Zwane,65726.0,,,,,,1,From Throw In,Mihlali Samson Mayambela,133003.0,Left Midfield,6,South Africa,4976,['166a2675-c778-4b1a-8a80-8f8a46d30c19'],36,,,,,,,,,,,,,,,,South Africa,4976,00:02:36.986,Pass,
