50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,1.537786,,,,,,,,,,,,145eb5f7-bf60-403a-9eb7-90ea9cfed8e2,56,,,"[42.6, 45.5]",3920415,1,,,,,1.300471,,Right Foot,,,"[49.5, 70.4]",Ground Pass,,25.838343,,,Youcef Atal,10040.0,,,,,,,1,From Free Kick,Aïssa Mandi,6648.0,Right Center Back,5,Algeria,4898,['6c9a31ec-7f16-4a6e-8610-3aa69aabf776'],28,,,,,,,,,,,,,,,,,,Algeria,4898,00:01:28.513,Pass,
,,,,,,,,,,,,,,,,,,,,1.101132,,,,,,,,,,,,ac6f753e-bd94-4a62-ac82-36502d94e5de,59,,,"[49.5, 70.4]",3920415,1,,,,,-0.79570705,,Right Foot,,,"[54.3, 65.5]",Ground Pass,,6.8593,,,Hichem Boudaoui,32015.0,,,,,,,1,From Free Kick,Youcef Atal,10040.0,Right Back,5,Algeria,4898,['f4c998c7-8b0b-445e-be08-a30278d0f656'],30,,,,,,,,,,,,,,,,,,Algeria,4898,00:01:30.597,Pass,
,,,,,,,,,,,,,,,,,,,,1.410429,,,,,,,,,,,,c537fb72-2887-48c1-94f8-2330af1d5deb,62,,,"[53.6, 65.2]",3920415,1,,,,,-3.0451188,,Left Foot,,,"[38.1, 63.7]",Ground Pass,,15.572412,,,Aïssa Mandi,6648.0,,,,,,,1,From Free Kick,Hichem Boudaoui,32015.0,Right Center Midfield,5,Algeria,4898,['2d02833a-065a-4731-ba35-340aad07f0cc'],31,,,,,,,,,,,,,,,,,,Algeria,4898,00:01:31.738,Pass,
,,,,,,,,,,,,,,,,,,,,2.041653,,,,,,,,,,,,feaa4649-d4ee-4005-af3c-e469b29ccf5e,66,,,"[50.5, 52.2]",3920415,1,,,,,-1.5888124,,Right Foot,,,"[50.1, 30.0]",Ground Pass,,22.203604,,,Mohamed Amine Tougai,160943.0,,,,,,,1,From Free Kick,Aïssa Mandi,6648.0,Right Center Back,5,Algeria,4898,['26e215c2-dbb6-4482-83a2-89e8bb583b8f'],38,,,,,,,,,,,,,,,,,,Algeria,4898,00:01:38.270,Pass,
,,,,,,,,,,,,,,,,,,,,1.490119,,,,,,,,,,,,8b6bc79b-8029-4886-b89e-d7a314052912,69,,,"[52.5, 26.5]",3920415,1,,,,,1.5419582,,Right Foot,,,"[53.1, 47.3]",Ground Pass,,20.808653,,,Aïssa Mandi,6648.0,,,,,,,1,From Free Kick,Mohamed Amine Tougai,160943.0,Left Center Back,5,Algeria,4898,['b8d71178-989e-4311-b572-ce0625063f33'],43,,,,,,,,,,,,,,,,,,Algeria,4898,00:01:43.128,Pass,
,,,,,,,,,,,,,,,,,,,,2.668289,,,,,,,,,,,,f45c14d6-6fa0-4a19-ab6e-6e094df7ef57,72,,,"[61.0, 51.0]",3920415,1,,,,,-0.8876049,,Right Foot,,,"[99.5, 3.7]",High Pass,,60.988033,,,Mohamed El Amine Amoura,141358.0,,,True,,,,1,From Free Kick,Aïssa Mandi,6648.0,Right Center Back,5,Algeria,4898,['e3e02107-6604-4aad-896f-904a5c1d53b5'],47,,,,,,,,,,,,,,,,,,Algeria,4898,00:01:47.999,Pass,
,,,,,,,,,,,,,,,,,,,,2.201357,,,,,,,,,,,,cb608544-b93d-41ce-9372-a0218be9a5ee,74,,,"[99.3, 3.7]",3920415,1,,,,,3.1277046,,Head,,,"[84.9, 3.9]",Low Pass,,14.401389,,,Rayan Aït Nouri,12111.0,,,,,,,1,From Free Kick,Mohamed El Amine Amoura,141358.0,Left Wing,5,Algeria,4898,['6fdb99fd-8e67-47db-8daa-c6908d396adf'],50,,,,,,,,,,,,,,,,,,Algeria,4898,00:01:50.760,Pass,
,,,,,,,,,,,,,,,,,,,,1.127893,,,,,,,,,,,,4d84ecbd-1a02-4800-8903-982f3971965a,77,,,"[84.4, 5.7]",3920415,1,,,,,-0.27416745,,Left Foot,,,"[94.0, 3.0]",Ground Pass,,9.972462,,,Mohamed El Amine Amoura,141358.0,,,,,,,1,From Free Kick,Rayan Aït Nouri,12111.0,Left Back,5,Algeria,4898,['b2df1303-7680-4ab8-94dc-d7df6c47b610'],54,,,,,,,,,,,,,,,,,,Algeria,4898,00:01:54.519,Pass,
,,,,,,,,,,,,,,,,,,,,1.007464,,,,,,,,,,,,ffec2855-6b3e-480e-a4fa-cefb1cc81272,81,,,"[94.0, 2.8]",3920415,1,,,,,0.48624262,,Right Foot,,,"[101.0, 6.5]",Ground Pass,,7.9177017,,,Houssem Aouar,4308.0,,,,,,,1,From Free Kick,Mohamed El Amine Amoura,141358.0,Left Wing,5,Algeria,4898,['da796290-2441-4245-8058-ab3cca8c9a0e'],55,,,,,,,,,,,,,,,,,,Algeria,4898,00:01:55.687,Pass,
,,,,,,,,,,,,,,,,,,,,1.648533,,,,,,,,,,,,d6747039-14fc-434c-b56d-5afc243eeb73,84,,,"[104.3, 3.2]",3920415,1,,,,,1.027091,,Right Foot,,,"[112.4, 16.6]",Ground Pass,,15.657906,,,Rayan Aït Nouri,12111.0,,,,,,,1,From Free Kick,Houssem Aouar,4308.0,Left Center Midfield,5,Algeria,4898,['99d0f8a7-4ba6-4c53-8bd3-aaf305127e25'],57,,,,,,,,,,,,,,,,,,Algeria,4898,00:01:57.815,Pass,
