50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.242099,,,,,,,,,,,,,9ade6121-9003-4ddd-b459-cae9e10cdbdc,48,,"[51.4, 14.7]",3920401,0,,,,,-1.0560123,,Right Foot,,,"[57.0, 4.8]",,Ground Pass,,11.374093,,,,Issiaga Sylla,4352.0,,,,,,,1,From Free Kick,Moriba Kourouma Kourouma,39073.0,Left Defensive Midfield,5,Guinea,4892,['d1227bbd-7ccd-47cc-9a7f-2e184ecbf835'],46,,,,,,,,,,,,,,,,,Guinea,4892,00:00:46.082,Pass,
,,,,,,,,,,,,,,,,,,1.950683,,,,,,,,,,,,,42a7163a-bdad-492a-b394-5c5e45074884,51,,"[57.0, 4.8]",3920401,0,,,,,2.739371,,Left Foot,,,"[38.9, 12.5]",,Ground Pass,,19.669773,,,,Julian Jeanvier,7360.0,,,,,,,1,From Free Kick,Issiaga Sylla,4352.0,Left Back,5,Guinea,4892,['d083393b-e17d-464b-868c-40bb9f7c7c62'],47,,,,,,,,,,,,,,,,,Guinea,4892,00:00:47.444,Pass,
,,,,,,,,,,,,,,,,,,1.200639,,,,,,,,,,,,,fb057de8-ab6e-4ebf-a79c-ab823a6114ea,54,,"[38.9, 12.5]",3920401,0,,,,,0.72799003,,Right Foot,,,"[48.1, 20.7]",,Ground Pass,,12.32396,,,,Abdoulaye Touré,3138.0,,,,,,,1,From Free Kick,Julian Jeanvier,7360.0,Left Center Back,5,Guinea,4892,['c28e3dbe-eb52-4276-972f-3ac804e21292'],50,,,,,,,,,,,,,,,,,Guinea,4892,00:00:50.356,Pass,
,,,,,,,,,,,,,,,,,,2.052016,,,,,,,,,,,,,fe7f72b4-aaff-4bc2-bd6f-c0b98d5114cb,57,,"[50.0, 32.0]",3920401,0,,,,,1.5707964,,Right Foot,,,"[50.0, 60.9]",,Ground Pass,,28.9,,,,Mouctar Diakhaby,4267.0,,,,,,,1,From Free Kick,Abdoulaye Touré,3138.0,Right Defensive Midfield,5,Guinea,4892,['28bab040-58c2-4624-ad0d-39e3e488a657'],54,,,,,,,,,,,,,,,,,Guinea,4892,00:00:54.858,Pass,
,,,,,,,,,,,,,,,,,,3.2442,,,,,,,,,,,,,c8233338-dba1-40ed-9a82-642b8245764a,61,,"[62.4, 65.8]",3920401,0,,,,,-0.86931276,,Right Foot,,,"[96.7, 25.2]",,High Pass,,53.14932,,,,Sekou Oumar Sylla,132711.0,,,True,,,,1,From Free Kick,Mouctar Diakhaby,4267.0,Right Center Back,5,Guinea,4892,"['030a3c9c-593c-490f-bb88-457c1c910d7a', '2d53ff09-aae6-477e-91f8-4b5a5f0412e0']",59,,,,,,,,,,,,,,,,,Guinea,4892,00:00:59.893,Pass,True
,,,,,,,,,,,,,,,,,,3.089403,,,,,,,,,,,,,07efc215-0e2d-4a2a-a569-51ef6dfd6301,69,,"[26.9, 47.3]",3920401,1,,,,,0.036237907,,Right Foot,,,"[93.1, 49.7]",,High Pass,,66.24349,,Incomplete,,Musa Barrow,6988.0,,,,,,Free Kick,1,From Free Kick,Baboucarr Gaye,185579.0,Goalkeeper,6,Gambia,4934,"['189091f4-0819-4bf2-91e6-bb0cee41a4d9', 'abc1c53e-a6f2-4780-ae1a-e17111392c3c']",29,,,,,,,,,,,,,,,,,Gambia,4934,00:01:29.217,Pass,
,,,,,,,,,,,,,,,,,,2.125772,,,,,,,,,,,,,189091f4-0819-4bf2-91e6-bb0cee41a4d9,71,,"[27.0, 30.4]",3920401,1,,,,,-0.25121558,,Head,,,"[38.3, 27.5]",,High Pass,,11.66619,,Unknown,,Sekou Oumar Sylla,132711.0,,,,,,Recovery,1,From Free Kick,Issiaga Sylla,4352.0,Left Back,6,Gambia,4934,"['07efc215-0e2d-4a2a-a569-51ef6dfd6301', '67efbc7f-71c8-4964-beed-d93b1b6d034d']",32,,,,,,,,,,,,,,,,,Guinea,4892,00:01:32.307,Pass,
,,,,,,,,,,,,,,,,,,1.251094,,,,,,,,,,,,,eba21f8d-e156-4496-b113-98112fbb285f,75,,"[31.4, 16.6]",3920401,1,,True,,,2.373584,,Left Foot,,,"[19.7, 27.9]",,Ground Pass,,16.265915,,,,Ibrahim Kone,182573.0,,,,,,Free Kick,1,From Free Kick,Julian Jeanvier,7360.0,Left Center Back,7,Guinea,4892,['0e27442e-2f5a-47ec-a753-5a1ebe4ee01a'],46,,,,,,,,,,,,,,,,,Guinea,4892,00:01:46.654,Pass,
,,,,,,,,,,,,,,,,,,1.52041,,,,,,,,,,,,,c048ca9c-c363-4a3a-8a9b-5b0b63cf244b,77,,"[21.0, 32.0]",3920401,1,,,,,1.3291658,,Left Foot,,,"[26.2, 53.1]",,Ground Pass,,21.731314,,,,Mouctar Diakhaby,4267.0,,,,,,,1,From Free Kick,Ibrahim Kone,182573.0,Goalkeeper,7,Guinea,4892,['5ac05f07-4b50-436e-b8ad-69f210accd83'],49,,,,,,,,,,,,,,,,,Guinea,4892,00:01:49.364,Pass,
,,,,,,,,,,,,,,,,,,1.167358,,,,,,,,,,,,,d247f067-1008-4508-8149-0de14e770c71,80,,"[38.3, 56.9]",3920401,1,,,,,0.7634237,,Right Foot,,,"[47.6, 65.8]",,Ground Pass,,12.872451,,,,Abdoulaye Touré,3138.0,,,,,,,1,From Free Kick,Mouctar Diakhaby,4267.0,Right Center Back,7,Guinea,4892,['bd7629b8-fbdd-40d9-8b28-1cbd00f3e4d5'],55,,,,,,,,,,,,,,,,,Guinea,4892,00:01:55.739,Pass,
