50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,2.161741,,,,,,,,,,,,,ea6a5866-bb4c-448e-a0e1-ab8398ab1e00,49,,,"[71.9, 31.0]",3922239,0,,,,1.0259986,,Right Foot,,"[92.2, 64.5]",,High Pass,,39.17065,,,Morgan Guilavogui,47351.0,,,,,,1,From Throw In,Amadou Diawara,8284.0,Left Defensive Midfield,3,Guinea,4892,['48525e9d-d4f4-4bb7-8f63-6377985974fe'],44,,,,,,,,,,,,,,,,,,Guinea,4892,00:00:44.662,Pass,
,,,,,,,,,,,,,,,,,,2.131357,,,,,,,,,,,,,82f6b77d-171c-442e-81fb-8df7d687aef9,52,,,"[94.0, 63.2]",3922239,0,,,,-0.77157414,,Right Foot,True,"[116.0, 41.8]",,Ground Pass,,30.691366,Incomplete,,Aguibou Camara,39559.0,,,,,,1,From Throw In,Morgan Guilavogui,47351.0,Right Midfield,3,Guinea,4892,"['ee446e18-ca99-485f-b72f-ac791cc5362d', '21bad9c9-3106-4008-8ef2-f40ead4aa231']",48,,,,,,,,,,,,,,,,,,Guinea,4892,00:00:48.201,Pass,
,,,,,,,,,,,,,,,,,,3.345293,,,,,,,,,,,,,891f6732-63d9-4726-8d50-c515f4a8f645,56,,,"[27.9, 54.9]",3922239,1,,,,0.45260704,,Right Foot,,"[78.9, 79.7]",,High Pass,,56.71014,Out,,Emilio Nsue López,13581.0,,,,,,1,From Throw In,Jesús Lázaro Owono Ngua Akeng,105765.0,Goalkeeper,3,Guinea,4892,['987cb5d6-2de7-4648-bb39-9e801f6e5304'],14,,,,,,,,,,,,,,,,,,Equatorial Guinea,4992,00:01:14.763,Pass,
,,,,,,,,,,,,,,,,,,0.92352,,,,,,,,,,,,,97f98d30-eaac-4e70-bacb-60ca566447d2,58,,,"[39.9, 0.1]",3922239,1,,,,0.5020902,,,,"[50.1, 5.7]",,Low Pass,,11.63615,,,Aguibou Camara,39559.0,,,,,Throw-in,1,From Throw In,Issiaga Sylla,4352.0,Left Back,4,Guinea,4892,['5a08a4ad-943b-464e-acbe-af0a38914c1a'],36,,,,,,,,,,,,,,,,,,Guinea,4892,00:01:36.545,Pass,
,,,,,,,,,,,,,,,,,,0.833245,,,,,,,,,,,,,f2d4cf23-d5b1-4ce8-88d3-780c81141a4e,61,,,"[49.5, 5.7]",3922239,1,,,,-2.8006136,,Other,,"[46.4, 4.6]",,Low Pass,,3.2893767,,,Issiaga Sylla,4352.0,,,,,,1,From Throw In,Aguibou Camara,39559.0,Left Center Forward,4,Guinea,4892,['f712601a-3d2b-4a0e-b4b1-37a9de482c1f'],37,,,,,,,,,,,,,,,,,,Guinea,4892,00:01:37.508,Pass,
,,,,,,,,,,,,,,,,,,0.178836,,,,,,,,,,,,,82b42d8c-11ca-42a3-b7a4-f246e96cccb3,65,,,"[48.5, 5.3]",3922239,1,,,,0.09966865,,Left Foot,,"[52.5, 5.7]",,Low Pass,,4.0199504,Incomplete,,Aguibou Camara,39559.0,,,,,,1,From Throw In,Issiaga Sylla,4352.0,Left Back,4,Guinea,4892,"['163a5909-0215-4e97-a8eb-90271514fe5e', '697b5d19-7f84-4ff4-b253-4e811130512f', '38ed6cd4-9728-45e6-9595-6788a6c0aacd']",39,,,,,,,,,,,,,,,,,,Guinea,4892,00:01:39.453,Pass,True
,,,,,,,,,,,,,,,,,,2.11445,,,,,,,,,,,,,f2d5d465-c357-4c04-b871-cbc76b1c7f87,71,,,"[61.9, 65.3]",3922239,1,,,,-1.4962223,,Left Foot,,"[63.2, 47.9]",,Ground Pass,,17.448496,,,Jannick Buyla Sam,40128.0,,,,,,1,Regular Play,Ibán Salvador Edu,30423.0,Right Wing,5,Equatorial Guinea,4992,['a6f3f4c2-79fb-4a47-ad77-a4c34ef74b15'],42,,,,,,,,,,,,,,,,,,Equatorial Guinea,4992,00:01:42.379,Pass,
,,,,,,,,,,,,,,,,,,0.758294,,,,,,,,,,,,,8483248e-9824-4eb4-90c0-389f6231b0c9,75,,,"[64.3, 47.4]",3922239,1,,,,-2.4149504,,Right Foot,,"[60.7, 44.2]",,Ground Pass,,4.816638,,,Ibán Salvador Edu,30423.0,,,,,,1,Regular Play,Jannick Buyla Sam,40128.0,Left Wing,5,Equatorial Guinea,4992,"['93c333c7-d8b6-467a-8aa1-b45036aa51a0', '85b4966b-67d1-46ba-9181-f3654c2869a9']",44,,,,,,,,,,,,,,,,,,Equatorial Guinea,4992,00:01:44.834,Pass,True
,,,,,,,,,,,,,,,,,,1.871959,,,,,,,,,,,,,25865648-291f-4fa5-928b-f4cd01e68596,78,,,"[67.0, 24.9]",3922239,1,,,,0.5974264,,Left Foot,,"[88.9, 39.8]",,Ground Pass,,26.48811,Incomplete,,José Ndong Machín Dicombo,23559.0,,,,,,1,Regular Play,Ibán Salvador Edu,30423.0,Right Wing,5,Equatorial Guinea,4992,"['15a3b127-fe6c-499f-b30e-cd6250137bbb', 'bd4696ab-559e-4f55-931b-5875574e4a86']",49,,,,,,,,,,,,,,,,,,Equatorial Guinea,4992,00:01:49.289,Pass,
,,,,,,,,,,,,,,,,,,0.729053,,,,,,,,,,,,,bd4696ab-559e-4f55-931b-5875574e4a86,81,,,"[31.2, 40.3]",3922239,1,,,,-0.22104706,,Right Foot,,"[40.1, 38.3]",,Ground Pass,,9.121951,,,Mory Konaté,35285.0,,,,,Recovery,1,Regular Play,Julian Jeanvier,7360.0,Left Center Back,6,Guinea,4892,"['25865648-291f-4fa5-928b-f4cd01e68596', '7a6cd818-352d-4e27-928d-07e3b998d136']",51,,,,,,,,,,,,,,,,,,Guinea,4892,00:01:51.161,Pass,
